winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,289,26,7,18.91,9.27,13,3,14,0,5,4,2618,2300,916,2055,196,550,590,818,531,1386,478,206,121,431,675,16,195,15,17,-13.19,-5.61,7,7,10,2,2,14,2320,2514,801,1848,212,586,506,665,393,1142,430,230,99,514,616
9,228,19,11,15.95,9.42,10,6,14,1,3,6,2156,1960,715,1638,157,467,569,757,312,1015,360,216,85,413,598,8,145,21,11,16.08,6.83,8,8,16,2,2,6,2326,2030,851,1767,215,571,409,633,346,1124,515,255,132,446,524
5,62,23,10,15.84,7.63,10,6,14,2,5,6,2622,2351,964,2057,196,508,498,736,486,1407,502,192,253,507,604,12,30,23,9,13.63,5.29,11,3,13,1,6,5,2299,2032,765,1654,194,517,575,762,353,1134,428,222,82,436,688
4,269,24,9,13.25,8.37,14,4,14,3,7,3,2391,2230,851,1925,231,648,458,676,449,1279,482,177,117,470,618,13,247,18,12,5.46,2.74,10,4,9,5,9,6,2265,2143,765,1626,210,554,525,789,354,1147,496,162,101,536,602
6,158,21,10,20.56,7.56,11,5,14,2,4,5,2472,2069,901,1940,204,523,466,654,409,1241,573,322,198,431,588,11,199,24,7,8.52,-2.8,15,3,11,1,10,5,2214,1863,801,1747,216,581,396,572,309,1022,456,283,58,352,572
3,323,26,6,16.08,4.61,15,1,14,1,10,2,2482,2115,850,1897,206,571,576,772,460,1259,523,172,96,407,500,14,292,26,6,2.86,-4.8,14,2,10,1,12,3,2556,2262,914,2116,312,916,416,606,486,1285,495,309,167,435,531
7,165,22,13,16.12,9.72,10,6,14,2,3,6,2367,2143,812,1795,179,477,564,767,373,1226,474,217,121,502,707,10,60,20,12,12.82,8.01,9,7,14,1,3,9,2405,2251,869,1961,159,487,508,759,461,1351,424,196,214,447,568
2,92,25,8,18.54,7.76,12,4,15,1,8,3,2484,2128,883,1856,287,735,431,613,352,1149,542,249,131,438,559,15,244,23,7,-1.65,-6.87,17,3,16,0,7,5,2185,1951,751,1636,194,542,489,694,338,1111,502,252,174,475,578
1,289,26,7,18.91,9.27,13,3,14,0,5,4,2618,2300,916,2055,196,550,590,818,531,1386,478,206,121,431,675,9,228,19,11,15.95,9.42,10,6,14,1,3,6,2156,1960,715,1638,157,467,569,757,312,1015,360,216,85,413,598
5,62,23,10,15.84,7.63,10,6,14,2,5,6,2622,2351,964,2057,196,508,498,736,486,1407,502,192,253,507,604,4,269,24,9,13.25,8.37,14,4,14,3,7,3,2391,2230,851,1925,231,648,458,676,449,1279,482,177,117,470,618
6,158,21,10,20.56,7.56,11,5,14,2,4,5,2472,2069,901,1940,204,523,466,654,409,1241,573,322,198,431,588,3,323,26,6,16.08,4.61,15,1,14,1,10,2,2482,2115,850,1897,206,571,576,772,460,1259,523,172,96,407,500
7,165,22,13,16.12,9.72,10,6,14,2,3,6,2367,2143,812,1795,179,477,564,767,373,1226,474,217,121,502,707,2,92,25,8,18.54,7.76,12,4,15,1,8,3,2484,2128,883,1856,287,735,431,613,352,1149,542,249,131,438,559
1,289,26,7,18.91,9.27,13,3,14,0,5,4,2618,2300,916,2055,196,550,590,818,531,1386,478,206,121,431,675,5,62,23,10,15.84,7.63,10,6,14,2,5,6,2622,2351,964,2057,196,508,498,736,486,1407,502,192,253,507,604
7,165,22,13,16.12,9.72,10,6,14,2,3,6,2367,2143,812,1795,179,477,564,767,373,1226,474,217,121,502,707,6,158,21,10,20.56,7.56,11,5,14,2,4,5,2472,2069,901,1940,204,523,466,654,409,1241,573,322,198,431,588
1,289,26,7,18.91,9.27,13,3,14,0,5,4,2618,2300,916,2055,196,550,590,818,531,1386,478,206,121,431,675,7,165,22,13,16.12,9.72,10,6,14,2,3,6,2367,2143,812,1795,179,477,564,767,373,1226,474,217,121,502,707
1,213,27,7,18.86,8.53,12,4,15,1,5,3,2392,2041,853,1912,250,638,436,629,414,1251,482,237,123,412,619,16,255,20,11,-9.2,-10.14,15,3,8,2,9,7,2238,2209,765,1683,161,484,547,782,396,1145,316,247,89,602,643
8,41,22,9,11.77,7.58,13,5,13,1,7,4,2301,2171,847,1819,198,530,409,601,350,1095,487,203,87,433,533,9,198,18,13,11.76,7.57,9,7,14,3,3,7,2246,2116,755,1656,248,696,488,634,290,989,456,238,100,440,580
12,34,27,6,9.11,2.23,14,2,13,0,10,5,2229,1986,786,1655,274,699,383,533,261,923,420,207,59,353,528,5,170,21,10,17.65,8.0,9,7,13,2,4,6,2151,1852,806,1718,173,507,366,543,374,1148,445,268,116,479,490
4,147,25,7,19.81,6.84,11,5,16,2,8,3,2612,2197,902,1950,272,752,536,770,442,1220,529,237,148,426,725,13,19,23,8,-0.84,-1.98,13,3,14,0,6,7,2204,2101,758,1648,192,553,496,719,339,1084,424,225,143,476,567
6,212,22,10,14.62,8.46,10,6,13,2,6,5,2224,2004,800,1784,157,496,467,719,397,1175,408,286,171,474,644,11,220,22,6,8.44,-1.45,14,0,11,2,10,3,1958,1681,668,1432,251,608,371,523,254,926,418,199,59,370,500
3,273,30,5,19.02,9.02,13,3,17,0,6,3,2785,2435,1020,2146,186,540,559,806,478,1425,523,298,247,494,592,14,152,23,7,5.78,-1.99,14,4,7,2,12,3,2274,2041,774,1730,166,480,560,711,342,1032,418,275,115,423,650
10,18,22,12,12.68,8.34,8,8,13,4,4,5,2408,2235,879,1890,198,573,452,685,417,1200,457,269,176,541,561,7,240,23,7,14.61,3.71,12,4,11,1,9,5,2111,1784,725,1637,239,658,422,615,339,1060,417,217,166,387,563
2,307,25,6,16.96,6.96,13,3,17,0,7,4,2412,2102,805,1778,191,560,611,813,459,1292,441,201,143,475,578,15,79,20,11,-0.9,-2.94,11,5,11,2,5,8,2543,2332,899,1933,167,474,578,791,437,1201,448,354,156,561,590
1,213,27,7,18.86,8.53,12,4,15,1,5,3,2392,2041,853,1912,250,638,436,629,414,1251,482,237,123,412,619,8,41,22,9,11.77,7.58,13,5,13,1,7,4,2301,2171,847,1819,198,530,409,601,350,1095,487,203,87,433,533
12,34,27,6,9.11,2.23,14,2,13,0,10,5,2229,1986,786,1655,274,699,383,533,261,923,420,207,59,353,528,4,147,25,7,19.81,6.84,11,5,16,2,8,3,2612,2197,902,1950,272,752,536,770,442,1220,529,237,148,426,725
3,273,30,5,19.02,9.02,13,3,17,0,6,3,2785,2435,1020,2146,186,540,559,806,478,1425,523,298,247,494,592,6,212,22,10,14.62,8.46,10,6,13,2,6,5,2224,2004,800,1784,157,496,467,719,397,1175,408,286,171,474,644
10,18,22,12,12.68,8.34,8,8,13,4,4,5,2408,2235,879,1890,198,573,452,685,417,1200,457,269,176,541,561,2,307,25,6,16.96,6.96,13,3,17,0,7,4,2412,2102,805,1778,191,560,611,813,459,1292,441,201,143,475,578
