winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,223,34,3,25.84,8.38,16,2,20,0,9,2,2854,2208,1017,2059,285,674,535,763,419,1277,587,263,118,375,519,16,304,20,14,-5.8,-4.93,9,7,11,3,5,10,2384,2363,802,1871,234,667,546,774,362,1186,430,240,76,461,657
8,102,27,7,11.66,1.37,16,2,14,0,10,3,2474,2124,876,1861,227,574,495,718,364,1188,483,224,110,376,581,9,321,21,12,15.05,8.23,9,9,13,4,7,5,2384,2159,796,1819,210,604,582,769,402,1223,450,208,125,392,578
5,331,21,12,16.15,11.03,11,7,12,2,4,6,2303,2134,783,1826,206,611,531,747,469,1227,491,154,136,397,598,12,58,22,12,13.76,6.58,9,7,15,2,3,7,2330,2086,810,1827,217,630,493,703,384,1177,445,272,161,449,624
4,142,29,9,20.3,8.91,10,6,15,0,3,7,2845,2412,1002,2183,281,707,560,789,445,1420,482,211,239,406,601,13,240,25,7,3.71,-1.61,13,2,12,0,10,5,2215,2017,788,1696,193,531,446,609,315,1105,427,191,134,389,551
11,163,22,15,14.89,8.51,9,9,14,4,4,7,2782,2546,973,2094,191,547,645,927,457,1329,574,265,134,455,622,6,343,24,8,11.88,4.41,15,1,14,1,7,4,2306,2067,784,1700,173,526,565,756,328,1130,424,174,98,386,551
3,292,27,8,18.85,8.79,12,6,16,3,6,3,2568,2216,936,1983,222,628,474,713,429,1308,566,304,231,433,544,14,127,20,14,3.41,2.9,12,6,10,3,6,8,2253,2192,769,1793,235,649,480,676,352,1172,431,212,145,477,684
7,329,24,11,20.12,7.74,11,7,14,2,5,6,2907,2474,1061,2260,305,821,480,712,488,1367,593,234,179,426,718,10,108,21,12,10.43,6.13,9,7,12,4,7,4,2267,2125,823,1822,156,456,465,667,407,1243,495,211,162,444,541
2,209,29,8,18.87,10.15,14,2,15,0,7,3,2868,2545,1044,2317,190,579,590,878,525,1578,573,232,204,493,597,15,150,27,6,2.23,-5.77,16,2,14,2,13,3,2730,2466,928,2009,229,635,645,999,479,1378,503,246,111,505,580
1,223,34,3,25.84,8.38,16,2,20,0,9,2,2854,2208,1017,2059,285,674,535,763,419,1277,587,263,118,375,519,8,102,27,7,11.66,1.37,16,2,14,0,10,3,2474,2124,876,1861,227,574,495,718,364,1188,483,224,110,376,581
4,142,29,9,20.3,8.91,10,6,15,0,3,7,2845,2412,1002,2183,281,707,560,789,445,1420,482,211,239,406,601,5,331,21,12,16.15,11.03,11,7,12,2,4,6,2303,2134,783,1826,206,611,531,747,469,1227,491,154,136,397,598
11,163,22,15,14.89,8.51,9,9,14,4,4,7,2782,2546,973,2094,191,547,645,927,457,1329,574,265,134,455,622,3,292,27,8,18.85,8.79,12,6,16,3,6,3,2568,2216,936,1983,222,628,474,713,429,1308,566,304,231,433,544
2,209,29,8,18.87,10.15,14,2,15,0,7,3,2868,2545,1044,2317,190,579,590,878,525,1578,573,232,204,493,597,7,329,24,11,20.12,7.74,11,7,14,2,5,6,2907,2474,1061,2260,305,821,480,712,488,1367,593,234,179,426,718
4,142,29,9,20.3,8.91,10,6,15,0,3,7,2845,2412,1002,2183,281,707,560,789,445,1420,482,211,239,406,601,1,223,34,3,25.84,8.38,16,2,20,0,9,2,2854,2208,1017,2059,285,674,535,763,419,1277,587,263,118,375,519
