winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,117,27,8,23.32,11.38,13,3,13,0,7,4,2725,2307,929,2046,247,678,620,880,479,1400,550,269,146,524,772,16,201,19,13,-11.1,-7.82,11,9,8,3,8,9,2292,2397,768,1856,175,551,581,877,410,1178,392,308,133,537,765
9,47,22,11,14.24,7.91,10,6,10,2,7,7,2583,2374,873,1998,305,848,532,777,411,1267,471,231,97,418,663,8,272,22,11,15.49,10.28,8,8,13,3,6,6,2668,2496,909,1980,257,697,593,872,421,1301,528,232,191,528,712
5,267,25,9,11.14,5.82,10,6,15,2,4,5,2475,2294,885,2029,185,552,520,727,442,1311,545,325,203,441,681,12,107,17,14,6.89,7.25,8,8,13,5,2,8,2254,2265,797,1703,177,507,483,666,335,999,557,183,74,516,605
4,129,26,7,20.23,9.03,12,4,14,1,8,4,2707,2286,1002,1996,183,465,520,789,443,1407,641,217,170,532,648,13,36,22,10,5.94,0.24,13,3,13,1,8,6,2650,2409,910,1842,217,547,613,865,373,1158,608,267,77,489,716
6,203,20,10,14.35,5.68,11,5,13,4,6,4,2338,2078,814,1763,219,570,491,714,370,1214,527,199,178,434,501,11,316,21,8,12.14,4.59,12,4,14,1,7,5,2130,1911,706,1653,178,587,540,768,391,1125,398,208,115,415,551
3,168,27,8,15.05,9.2,11,5,15,1,6,4,2496,2262,865,1958,224,655,542,829,416,1227,500,285,115,500,719,14,120,22,11,0.25,-4.09,12,6,12,2,8,6,2549,2375,912,1896,159,415,566,822,378,1239,481,259,183,557,717
10,33,24,8,12.55,3.98,11,3,13,1,7,6,2228,1946,755,1643,251,617,467,652,305,922,388,222,89,377,505,7,300,19,11,20.53,10.5,8,8,13,3,6,6,2296,1995,838,1815,177,494,443,609,342,1104,465,219,136,375,572
2,12,28,8,26.84,12.56,15,3,13,2,7,5,2926,2386,1015,2131,193,544,703,940,487,1433,585,283,159,546,630,15,78,21,10,0.99,-2.46,11,5,13,0,5,9,2564,2439,915,1931,230,584,504,650,359,1124,514,197,116,427,577
1,117,27,8,23.32,11.38,13,3,13,0,7,4,2725,2307,929,2046,247,678,620,880,479,1400,550,269,146,524,772,9,47,22,11,14.24,7.91,10,6,10,2,7,7,2583,2374,873,1998,305,848,532,777,411,1267,471,231,97,418,663
4,129,26,7,20.23,9.03,12,4,14,1,8,4,2707,2286,1002,1996,183,465,520,789,443,1407,641,217,170,532,648,5,267,25,9,11.14,5.82,10,6,15,2,4,5,2475,2294,885,2029,185,552,520,727,442,1311,545,325,203,441,681
3,168,27,8,15.05,9.2,11,5,15,1,6,4,2496,2262,865,1958,224,655,542,829,416,1227,500,285,115,500,719,6,203,20,10,14.35,5.68,11,5,13,4,6,4,2338,2078,814,1763,219,570,491,714,370,1214,527,199,178,434,501
2,12,28,8,26.84,12.56,15,3,13,2,7,5,2926,2386,1015,2131,193,544,703,940,487,1433,585,283,159,546,630,10,33,24,8,12.55,3.98,11,3,13,1,7,6,2228,1946,755,1643,251,617,467,652,305,922,388,222,89,377,505
1,117,27,8,23.32,11.38,13,3,13,0,7,4,2725,2307,929,2046,247,678,620,880,479,1400,550,269,146,524,772,4,129,26,7,20.23,9.03,12,4,14,1,8,4,2707,2286,1002,1996,183,465,520,789,443,1407,641,217,170,532,648
2,12,28,8,26.84,12.56,15,3,13,2,7,5,2926,2386,1015,2131,193,544,703,940,487,1433,585,283,159,546,630,3,168,27,8,15.05,9.2,11,5,15,1,6,4,2496,2262,865,1958,224,655,542,829,416,1227,500,285,115,500,719
