winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,156,32,4,23.5,9.38,15,1,15,0,7,2,3060,2552,1083,2248,217,580,677,933,473,1479,714,302,216,495,,16,250.0,17.0,19.0,-2.74,-3.71,9.0,9.0,12.0,5.0,3.0,11.0,2517.0,2482.0,853.0,2044.0,250.0,722.0,561.0,754.0,402.0,1361.0,465.0,199.0,149.0,550.0,
8,315,19,13,10.09,9.22,11,5,12,1,6,8,2144,2101,731,1675,211,593,471,655,328,1032,407,188,60,414,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
12,290,27,7,12.66,2.3,15,3,13,3,10,2,2726,2363,961,2016,259,639,545,724,373,1214,586,269,153,436,,5,152.0,26.0,7.0,17.16,4.77,13.0,3.0,16.0,0.0,5.0,6.0,2413.0,2004.0,871.0,1841.0,173.0,456.0,498.0,720.0,420.0,1170.0,462.0,279.0,113.0,455.0,
4,133,22,10,19.15,11.99,10,6,12,3,5,4,2460,2183,905,2021,219,692,431,638,492,1283,471,252,153,460,,13,294.0,25.0,8.0,9.38,-1.24,12.0,2.0,11.0,1.0,8.0,5.0,2564.0,2180.0,893.0,1989.0,275.0,785.0,503.0,754.0,448.0,1242.0,570.0,334.0,136.0,437.0,
11,258,28,8,9.79,1.67,14,4,13,0,9,5,2717,2425,976,2115,220,601,545,880,483,1396,547,262,171,493,,6,284.0,23.0,9.0,14.72,7.22,10.0,6.0,15.0,2.0,6.0,5.0,2532.0,2292.0,931.0,1999.0,146.0,388.0,524.0,768.0,419.0,1230.0,588.0,243.0,134.0,397.0,
3,102,22,10,14.68,9.24,10,6,12,2,6,6,2444,2271,871,1947,189,588,513,696,468,1226,495,281,114,455,,14,181.0,19.0,13.0,0.65,-1.94,10.0,6.0,11.0,4.0,5.0,8.0,2514.0,2349.0,941.0,2093.0,210.0,652.0,422.0,584.0,510.0,1281.0,465.0,258.0,158.0,456.0,
7,196,23,11,15.85,8.17,9,7,14,4,6,5,2565,2304,863,1910,278,773,561,743,354,1119,547,269,72,452,,10,163.0,19.0,12.0,14.9,9.6,10.0,6.0,15.0,2.0,4.0,5.0,2150.0,1978.0,764.0,1654.0,180.0,458.0,442.0,573.0,377.0,1163.0,438.0,155.0,93.0,461.0,
2,62,27,7,16.02,7.43,13,3,13,1,7,3,2646,2354,972,2012,154,391,548,787,464,1381,494,256,236,545,,15,106.0,26.0,7.0,-0.4,-8.9,17.0,1.0,10.0,0.0,11.0,4.0,2623.0,2344.0,933.0,1940.0,218.0,615.0,539.0,805.0,457.0,1241.0,470.0,265.0,115.0,489.0,
1,156,32,4,23.5,9.38,15,1,15,0,7,2,3060,2552,1083,2248,217,580,677,933,473,1479,714,302,216,495,,8,315.0,19.0,13.0,10.09,9.22,11.0,5.0,12.0,1.0,6.0,8.0,2144.0,2101.0,731.0,1675.0,211.0,593.0,471.0,655.0,328.0,1032.0,407.0,188.0,60.0,414.0,
4,133,22,10,19.15,11.99,10,6,12,3,5,4,2460,2183,905,2021,219,692,431,638,492,1283,471,252,153,460,,12,290.0,27.0,7.0,12.66,2.3,15.0,3.0,13.0,3.0,10.0,2.0,2726.0,2363.0,961.0,2016.0,259.0,639.0,545.0,724.0,373.0,1214.0,586.0,269.0,153.0,436.0,
11,258,28,8,9.79,1.67,14,4,13,0,9,5,2717,2425,976,2115,220,601,545,880,483,1396,547,262,171,493,,3,102.0,22.0,10.0,14.68,9.24,10.0,6.0,12.0,2.0,6.0,6.0,2444.0,2271.0,871.0,1947.0,189.0,588.0,513.0,696.0,468.0,1226.0,495.0,281.0,114.0,455.0,
2,62,27,7,16.02,7.43,13,3,13,1,7,3,2646,2354,972,2012,154,391,548,787,464,1381,494,256,236,545,,7,196.0,23.0,11.0,15.85,8.17,9.0,7.0,14.0,4.0,6.0,5.0,2565.0,2304.0,863.0,1910.0,278.0,773.0,561.0,743.0,354.0,1119.0,547.0,269.0,72.0,452.0,
1,156,32,4,23.5,9.38,15,1,15,0,7,2,3060,2552,1083,2248,217,580,677,933,473,1479,714,302,216,495,,4,133.0,22.0,10.0,19.15,11.99,10.0,6.0,12.0,3.0,5.0,4.0,2460.0,2183.0,905.0,2021.0,219.0,692.0,431.0,638.0,492.0,1283.0,471.0,252.0,153.0,460.0,
2,62,27,7,16.02,7.43,13,3,13,1,7,3,2646,2354,972,2012,154,391,548,787,464,1381,494,256,236,545,,11,258.0,28.0,8.0,9.79,1.67,14.0,4.0,13.0,0.0,9.0,5.0,2717.0,2425.0,976.0,2115.0,220.0,601.0,545.0,880.0,483.0,1396.0,547.0,262.0,171.0,493.0,
