winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,327,32,4,23.8,9.28,15,3,14,1,9,2,2779,2256,965,1948,311,843,538,681,316,1208,505,259,109,402,515,16,193,20,16,-4.29,-3.51,14,4,11,4,8,11,2446,2474,877,1977,261,730,431,640,276,1082,403,222,142,472,640
8,345,27,10,19.4,9.4,12,6,15,2,5,5,2678,2308,971,2135,283,788,453,703,460,1377,504,250,130,411,602,9,330,22,11,12.77,8.38,10,8,15,2,4,6,2610,2465,887,1813,290,720,546,741,240,1068,497,131,91,398,543
5,331,23,11,20.63,10.93,11,7,12,4,7,5,2246,1916,839,1823,232,602,336,474,297,1119,473,190,138,324,556,12,213,29,6,8.06,-0.55,15,3,13,1,11,3,2967,2624,1071,2231,336,917,489,708,422,1261,564,234,115,363,699
4,97,27,9,22.4,11.01,14,4,9,1,8,4,2804,2394,953,2118,278,776,620,851,416,1331,450,272,167,431,661,13,83,27,8,7.31,-2.11,14,4,13,2,8,5,2782,2438,960,1967,265,693,597,850,357,1269,516,293,162,519,698
11,284,26,10,11.48,6.4,10,8,14,3,6,5,2816,2633,975,2139,283,782,583,787,387,1286,550,252,190,398,571,6,287,30,5,18.71,4.45,17,1,18,0,8,3,2599,2100,914,1934,286,705,485,696,416,1335,566,200,117,377,506
3,22,27,8,19.75,11.87,12,6,15,2,6,4,2550,2228,921,1956,230,641,478,661,451,1329,544,180,166,469,617,14,201,28,6,4.66,-3.82,11,3,17,1,8,4,2678,2310,913,1957,252,747,600,843,436,1339,505,166,128,465,627
7,278,26,11,17.52,10.16,12,6,15,3,6,5,2707,2414,924,2197,248,733,611,874,464,1346,468,288,142,480,751,10,165,19,13,15.26,8.6,10,8,14,3,4,6,2631,2418,919,1888,336,783,457,585,280,1058,525,231,115,396,620
2,80,28,9,21.56,10.91,11,7,15,1,4,6,2991,2597,1019,2144,311,822,642,842,390,1341,484,226,172,421,675,15,317,22,15,-0.47,-3.36,10,8,10,4,6,10,2889,2667,982,2153,311,867,614,847,409,1362,484,221,129,462,654
8,345,27,10,19.4,9.4,12,6,15,2,5,5,2678,2308,971,2135,283,788,453,703,460,1377,504,250,130,411,602,1,327,32,4,23.8,9.28,15,3,14,1,9,2,2779,2256,965,1948,311,843,538,681,316,1208,505,259,109,402,515
4,97,27,9,22.4,11.01,14,4,9,1,8,4,2804,2394,953,2118,278,776,620,851,416,1331,450,272,167,431,661,5,331,23,11,20.63,10.93,11,7,12,4,7,5,2246,1916,839,1823,232,602,336,474,297,1119,473,190,138,324,556
3,22,27,8,19.75,11.87,12,6,15,2,6,4,2550,2228,921,1956,230,641,478,661,451,1329,544,180,166,469,617,11,284,26,10,11.48,6.4,10,8,14,3,6,5,2816,2633,975,2139,283,782,583,787,387,1286,550,252,190,398,571
7,278,26,11,17.52,10.16,12,6,15,3,6,5,2707,2414,924,2197,248,733,611,874,464,1346,468,288,142,480,751,2,80,28,9,21.56,10.91,11,7,15,1,4,6,2991,2597,1019,2144,311,822,642,842,390,1341,484,226,172,421,675
4,97,27,9,22.4,11.01,14,4,9,1,8,4,2804,2394,953,2118,278,776,620,851,416,1331,450,272,167,431,661,8,345,27,10,19.4,9.4,12,6,15,2,5,5,2678,2308,971,2135,283,788,453,703,460,1377,504,250,130,411,602
7,278,26,11,17.52,10.16,12,6,15,3,6,5,2707,2414,924,2197,248,733,611,874,464,1346,468,288,142,480,751,3,22,27,8,19.75,11.87,12,6,15,2,6,4,2550,2228,921,1956,230,641,478,661,451,1329,544,180,166,469,617
7,278,26,11,17.52,10.16,12,6,15,3,6,5,2707,2414,924,2197,248,733,611,874,464,1346,468,288,142,480,751,4,97,27,9,22.4,11.01,14,4,9,1,8,4,2804,2394,953,2118,278,776,620,851,416,1331,450,272,167,431,661
1,141,31,5,23.53,12.23,16,2,14,1,10,1,2995,2588,1071,2193,318,787,535,789,428,1393,584,250,162,456,639,16,41,23,13,-5.21,-4.68,11,5,11,0,6,9,2525,2506,873,2008,221,635,558,828,364,1280,461,202,118,513,688
9,177,20,15,13.67,10.5,10,8,14,2,2,7,2515,2404,905,1927,273,732,432,646,328,1275,591,151,162,490,699,8,175,21,12,14.48,9.57,10,8,14,2,4,6,2278,2116,813,1800,209,587,443,617,363,1176,389,213,125,417,513
5,132,24,11,20.51,11.94,12,6,12,3,5,6,2829,2529,1031,2186,344,860,423,604,318,1219,553,272,124,355,557,12,199,28,7,10.49,2.03,14,4,13,1,8,4,2792,2496,933,2082,320,837,606,859,386,1351,559,189,152,386,581
4,248,27,8,20.13,8.79,14,4,15,2,6,4,2790,2393,980,2044,315,782,515,680,344,1322,640,181,87,455,552,13,326,29,6,6.67,-3.27,16,0,16,1,11,3,2571,2174,943,1909,229,621,456,651,326,1192,476,199,151,392,555
11,251,25,10,12.88,4.62,13,5,13,3,7,5,2577,2288,916,2019,217,653,528,791,409,1301,467,227,206,389,725,6,69,25,10,17.27,8.95,10,8,13,4,7,4,2864,2549,1078,2137,304,766,404,592,289,1223,598,213,102,435,582
3,236,33,6,20.8,8.38,16,2,17,0,7,3,3076,2565,1091,2270,334,880,560,787,412,1431,614,253,248,454,614,14,131,22,13,1.08,-2.47,12,8,8,4,7,7,2813,2689,979,2155,342,862,513,668,338,1250,541,239,108,421,669
