winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,202,36,3,24.17,8.12,14,2,14,2,13,0,3454,2828,1250,2564,216,580,738,975,605,1695,656,318,174,560,658,16,184,19,15,-3.59,-5.12,11,7,8,7,10,7,2353,2301,822,1856,204,565,505,718,345,1152,437,246,121,486,671
9,16,23,12,12.48,6.73,9,7,15,1,2,7,2593,2392,936,2001,207,607,514,758,446,1274,505,241,182,531,662,8,123,25,8,15.78,6.08,14,4,17,2,7,3,2476,2156,839,1814,221,633,577,760,386,1247,436,233,125,449,575
5,211,25,8,16.15,7.03,14,4,17,0,5,4,2608,2297,914,2015,274,677,506,686,436,1371,608,205,125,429,497,12,98,23,11,6.07,-0.75,12,6,13,1,5,7,2356,2124,827,1778,205,591,497,707,340,1170,445,189,108,406,525
4,311,26,9,16.35,6.35,11,7,9,4,10,3,2325,1975,815,1716,214,581,481,661,274,1044,482,218,102,358,534,13,321,22,12,3.61,-1.45,10,4,12,3,6,6,2205,1990,795,1814,217,586,398,673,393,1195,435,284,124,439,591
6,216,23,12,11.97,7.85,9,7,14,3,4,6,2378,2234,831,1880,220,632,496,728,391,1240,436,226,135,451,595,11,243,21,13,9.63,3.98,9,7,8,5,9,6,2484,2292,859,1800,247,640,519,715,337,1086,502,242,154,432,598
3,150,27,9,19.0,8.0,14,4,15,2,8,3,2611,2215,932,2011,272,778,475,734,413,1338,542,289,178,491,659,14,25,25,9,1.6,-2.07,12,4,11,5,12,3,2767,2567,994,1956,271,690,508,768,335,1218,605,215,80,534,591
7,34,30,4,13.0,2.64,16,2,14,1,11,2,2339,1985,776,1729,319,839,468,635,308,1016,445,221,83,352,588,10,257,26,7,7.76,-1.21,16,2,17,1,7,4,2478,2158,840,1774,220,607,578,821,404,1221,509,201,100,457,569
2,281,31,5,18.41,7.84,14,2,16,0,9,2,2946,2519,1035,2258,312,875,564,856,501,1358,637,334,119,474,749,15,9,21,12,-1.87,-4.0,10,4,11,4,10,7,2140,2049,698,1586,260,638,484,655,321,1064,390,152,87,458,587
1,202,36,3,24.17,8.12,14,2,14,2,13,0,3454,2828,1250,2564,216,580,738,975,605,1695,656,318,174,560,658,9,16,23,12,12.48,6.73,9,7,15,1,2,7,2593,2392,936,2001,207,607,514,758,446,1274,505,241,182,531,662
4,311,26,9,16.35,6.35,11,7,9,4,10,3,2325,1975,815,1716,214,581,481,661,274,1044,482,218,102,358,534,5,211,25,8,16.15,7.03,14,4,17,0,5,4,2608,2297,914,2015,274,677,506,686,436,1371,608,205,125,429,497
3,150,27,9,19.0,8.0,14,4,15,2,8,3,2611,2215,932,2011,272,778,475,734,413,1338,542,289,178,491,659,6,216,23,12,11.97,7.85,9,7,14,3,4,6,2378,2234,831,1880,220,632,496,728,391,1240,436,226,135,451,595
2,281,31,5,18.41,7.84,14,2,16,0,9,2,2946,2519,1035,2258,312,875,564,856,501,1358,637,334,119,474,749,7,34,30,4,13.0,2.64,16,2,14,1,11,2,2339,1985,776,1729,319,839,468,635,308,1016,445,221,83,352,588
1,202,36,3,24.17,8.12,14,2,14,2,13,0,3454,2828,1250,2564,216,580,738,975,605,1695,656,318,174,560,658,4,311,26,9,16.35,6.35,11,7,9,4,10,3,2325,1975,815,1716,214,581,481,661,274,1044,482,218,102,358,534
3,150,27,9,19.0,8.0,14,4,15,2,8,3,2611,2215,932,2011,272,778,475,734,413,1338,542,289,178,491,659,2,281,31,5,18.41,7.84,14,2,16,0,9,2,2946,2519,1035,2258,312,875,564,856,501,1358,637,334,119,474,749
1,202,36,3,24.17,8.12,14,2,14,2,13,0,3454,2828,1250,2564,216,580,738,975,605,1695,656,318,174,560,658,3,150,27,9,19.0,8.0,14,4,15,2,8,3,2611,2215,932,2011,272,778,475,734,413,1338,542,289,178,491,659
1,134,37,3,26.9,8.2,13,3,19,0,8,3,3221,2460,1176,2314,271,683,598,852,482,1547,721,356,235,529,706,16,226,23,10,1.72,-3.01,14,2,13,1,8,7,2438,2245,846,1822,294,749,452,668,381,1129,521,231,108,484,591
8,188,27,8,10.23,4.02,12,4,20,2,6,5,2440,2181,844,1999,264,796,488,653,356,1209,510,278,106,379,605,9,135,28,7,7.47,0.41,13,3,16,0,8,5,2412,2165,839,1809,202,551,532,745,385,1166,485,300,134,516,653
12,304,22,13,11.0,7.69,9,9,13,3,4,7,2547,2431,868,2013,242,703,569,783,457,1257,466,283,98,503,727,5,55,24,10,18.05,9.08,10,6,14,2,7,5,2693,2372,1000,2191,271,728,422,677,536,1305,535,334,185,505,664
13,256,23,11,4.06,-1.62,13,5,13,4,8,6,2613,2420,928,2058,239,626,518,752,390,1148,489,320,119,385,526,4,302,26,8,10.96,5.54,10,6,19,0,4,6,2721,2537,928,1995,303,760,562,765,359,1197,606,207,118,494,623
11,133,21,12,15.79,7.79,10,6,14,2,3,5,2574,2274,916,2067,210,662,532,774,539,1362,511,249,113,501,666,6,263,21,12,13.89,8.59,11,7,10,5,7,4,2277,2102,820,1710,184,476,453,661,305,1106,409,188,145,482,530
3,322,31,5,19.59,6.73,16,2,16,2,10,2,2421,1958,841,1872,212,596,527,747,419,1292,455,221,120,438,517,14,36,24,9,5.64,-3.06,12,4,11,3,9,5,2700,2398,974,2060,285,741,467,665,391,1182,505,296,51,445,629
10,68,29,7,13.93,1.66,20,0,12,1,11,3,2803,2274,1032,2199,328,901,411,573,417,1302,615,290,114,426,654,7,105,25,8,14.81,2.15,13,1,13,1,7,3,2524,2106,892,1838,220,586,520,730,369,1235,479,253,153,473,584
2,100,28,6,18.73,7.23,15,3,16,0,8,4,2367,1976,855,1744,269,701,388,593,335,1190,527,236,163,458,600,15,159,24,9,0.06,-4.53,13,3,13,1,9,7,2450,2258,869,1928,248,637,464,640,371,1126,500,209,114,318,537
1,134,37,3,26.9,8.2,13,3,19,0,8,3,3221,2460,1176,2314,271,683,598,852,482,1547,721,356,235,529,706,8,188,27,8,10.23,4.02,12,4,20,2,6,5,2440,2181,844,1999,264,796,488,653,356,1209,510,278,106,379,605
12,304,22,13,11.0,7.69,9,9,13,3,4,7,2547,2431,868,2013,242,703,569,783,457,1257,466,283,98,503,727,13,256,23,11,4.06,-1.62,13,5,13,4,8,6,2613,2420,928,2058,239,626,518,752,390,1148,489,320,119,385,526
3,322,31,5,19.59,6.73,16,2,16,2,10,2,2421,1958,841,1872,212,596,527,747,419,1292,455,221,120,438,517,11,133,21,12,15.79,7.79,10,6,14,2,3,5,2574,2274,916,2067,210,662,532,774,539,1362,511,249,113,501,666
10,68,29,7,13.93,1.66,20,0,12,1,11,3,2803,2274,1032,2199,328,901,411,573,417,1302,615,290,114,426,654,2,100,28,6,18.73,7.23,15,3,16,0,8,4,2367,1976,855,1744,269,701,388,593,335,1190,527,236,163,458,600
1,134,37,3,26.9,8.2,13,3,19,0,8,3,3221,2460,1176,2314,271,683,598,852,482,1547,721,356,235,529,706,12,304,22,13,11.0,7.69,9,9,13,3,4,7,2547,2431,868,2013,242,703,569,783,457,1257,466,283,98,503,727
10,68,29,7,13.93,1.66,20,0,12,1,11,3,2803,2274,1032,2199,328,901,411,573,417,1302,615,290,114,426,654,3,322,31,5,19.59,6.73,16,2,16,2,10,2,2421,1958,841,1872,212,596,527,747,419,1292,455,221,120,438,517
1,134,37,3,26.9,8.2,13,3,19,0,8,3,3221,2460,1176,2314,271,683,598,852,482,1547,721,356,235,529,706,10,68,29,7,13.93,1.66,20,0,12,1,11,3,2803,2274,1032,2199,328,901,411,573,417,1302,615,290,114,426,654
1,164,38,2,23.73,5.76,16,0,19,1,10,0,3196,2477,1143,2454,302,865,608,991,565,1620,637,337,244,470,691,16,284,21,12,-2.87,-4.62,7,9,14,3,4,8,2422,2274,868,1820,201,577,485,741,352,1249,467,218,87,565,649
8,173,23,11,13.42,5.74,12,4,12,3,7,4,2489,2228,885,1922,235,703,484,749,410,1385,448,199,267,509,568,9,220,18,14,11.68,7.65,9,9,12,3,5,7,2450,2321,858,1788,279,711,455,656,327,1093,475,148,81,402,586
5,168,27,9,16.32,7.68,12,6,17,0,4,6,2564,2253,949,1976,179,483,487,661,440,1330,631,208,152,490,665,12,277,21,13,8.16,4.57,11,5,10,3,7,5,2457,2335,857,1829,266,721,477,645,302,1108,510,214,148,432,601
4,225,27,10,15.62,7.84,10,8,16,2,5,7,2731,2410,997,2185,225,671,512,768,533,1399,578,251,125,445,598,13,218,24,9,5.71,-0.26,16,2,12,1,8,6,2282,2047,785,1783,223,604,489,730,371,1182,445,206,132,431,554
6,157,25,10,18.62,8.09,11,7,15,2,5,5,2658,2269,929,2082,246,697,554,785,474,1287,515,325,132,451,733,11,136,18,13,9.19,7.09,12,4,14,4,4,6,2124,2034,735,1566,182,493,472,644,301,1038,395,206,149,490,586
3,272,28,8,16.31,6.95,13,5,16,1,7,5,2553,2216,901,2008,199,544,552,795,478,1409,525,158,187,442,613,14,65,22,6,0.76,-4.74,14,0,12,1,10,4,2136,1917,758,1562,228,558,392,515,258,939,427,170,88,381,510
7,166,23,11,12.38,7.13,8,8,14,2,4,6,2542,2309,867,1985,236,613,572,766,433,1293,451,202,157,454,638,10,245,25,7,11.39,0.36,12,2,15,1,6,5,2421,2037,845,1843,254,706,477,722,385,1215,468,230,169,439,557
2,292,31,7,18.13,8.59,13,3,17,1,7,3,2868,2467,1032,2285,309,800,495,725,496,1448,501,228,198,359,629,15,19,24,11,-2.21,-5.24,16,4,13,1,9,8,2590,2477,855,1917,273,715,607,850,362,1107,501,335,75,440,616
1,164,38,2,23.73,5.76,16,0,19,1,10,0,3196,2477,1143,2454,302,865,608,991,565,1620,637,337,244,470,691,8,173,23,11,13.42,5.74,12,4,12,3,7,4,2489,2228,885,1922,235,703,484,749,410,1385,448,199,267,509,568
5,168,27,9,16.32,7.68,12,6,17,0,4,6,2564,2253,949,1976,179,483,487,661,440,1330,631,208,152,490,665,4,225,27,10,15.62,7.84,10,8,16,2,5,7,2731,2410,997,2185,225,671,512,768,533,1399,578,251,125,445,598
3,272,28,8,16.31,6.95,13,5,16,1,7,5,2553,2216,901,2008,199,544,552,795,478,1409,525,158,187,442,613,6,157,25,10,18.62,8.09,11,7,15,2,5,5,2658,2269,929,2082,246,697,554,785,474,1287,515,325,132,451,733
2,292,31,7,18.13,8.59,13,3,17,1,7,3,2868,2467,1032,2285,309,800,495,725,496,1448,501,228,198,359,629,7,166,23,11,12.38,7.13,8,8,14,2,4,6,2542,2309,867,1985,236,613,572,766,433,1293,451,202,157,454,638
1,164,38,2,23.73,5.76,16,0,19,1,10,0,3196,2477,1143,2454,302,865,608,991,565,1620,637,337,244,470,691,5,168,27,9,16.32,7.68,12,6,17,0,4,6,2564,2253,949,1976,179,483,487,661,440,1330,631,208,152,490,665
2,292,31,7,18.13,8.59,13,3,17,1,7,3,2868,2467,1032,2285,309,800,495,725,496,1448,501,228,198,359,629,3,272,28,8,16.31,6.95,13,5,16,1,7,5,2553,2216,901,2008,199,544,552,795,478,1409,525,158,187,442,613
1,164,38,2,23.73,5.76,16,0,19,1,10,0,3196,2477,1143,2454,302,865,608,991,565,1620,637,337,244,470,691,2,292,31,7,18.13,8.59,13,3,17,1,7,3,2868,2467,1032,2285,309,800,495,725,496,1448,501,228,198,359,629
1,298,35,4,21.71,7.71,16,2,16,2,9,1,2867,2300,1029,2164,214,612,595,813,492,1432,562,285,167,491,569,16,174,17,16,-15.28,-9.5,12,6,8,4,6,8,2036,2174,698,1755,147,436,493,727,389,1107,379,206,90,473,582
9,283,25,11,16.2,7.46,8,8,16,4,4,5,2548,2216,909,1945,211,588,519,820,424,1402,486,158,145,458,611,8,30,27,8,11.82,1.33,14,2,16,0,8,5,2580,2213,906,1970,285,764,483,737,365,1351,587,207,135,492,618
