winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,77,35,5,25.21,9.21,13,3,17,0,5,5,3079,2441,1049,2375,301,782,682,899,569,1560,555,266,162,429,722,16,14,18,16,-8.29,-7.68,14,4,8,1,5,14,2166,2187,725,1778,141,466,575,861,422,1286,421,229,121,569,764
8,42,24,11,17.29,8.26,13,5,15,1,6,6,2703,2387,966,2028,228,609,543,717,395,1241,500,198,86,421,593,9,151,20,13,14.08,7.99,11,7,15,4,4,7,2505,2304,876,1960,262,777,491,700,478,1217,511,258,135,453,663
5,288,24,10,15.24,9.8,11,5,15,1,5,5,2426,2192,813,1846,210,626,590,892,400,1252,417,223,113,417,619,12,304,27,8,13.62,1.23,14,2,17,1,8,5,2559,2097,941,1928,242,585,435,574,362,1238,584,162,123,358,562
4,235,29,6,17.52,8.81,14,4,15,3,8,2,2467,2144,867,1957,187,588,546,755,351,1170,493,248,162,381,651,13,260,27,7,8.48,-1.17,17,1,17,0,9,5,2554,2226,930,2048,160,498,534,793,442,1310,486,298,119,418,471
11,221,27,9,11.39,1.78,15,3,15,0,9,6,2415,2069,922,2061,166,523,405,625,540,1394,554,282,105,457,560,6,215,23,12,13.14,6.22,10,8,17,3,3,6,2635,2393,918,1953,261,673,538,744,402,1250,585,194,104,362,530
3,21,28,8,17.97,8.03,11,5,15,1,6,4,2771,2362,993,2040,255,662,530,731,443,1408,508,237,242,491,639,14,251,25,8,3.71,-3.37,14,2,13,1,7,6,2616,2284,909,1963,287,775,511,727,410,1247,673,257,85,442,661
10,249,28,6,13.38,2.2,11,3,14,2,9,2,2668,2258,944,1950,284,699,496,652,370,1244,543,168,176,394,560,7,240,26,9,10.03,3.43,13,3,14,1,7,6,2427,2196,868,1943,250,704,441,630,304,1139,442,289,158,384,634
2,310,25,8,16.72,7.75,13,5,12,2,6,4,2700,2404,899,1962,252,676,650,861,441,1272,448,259,133,452,731,15,242,23,12,-3.71,-6.15,15,3,12,3,10,7,2399,2306,815,1868,197,546,572,859,412,1227,433,267,80,520,757
1,77,35,5,25.21,9.21,13,3,17,0,5,5,3079,2441,1049,2375,301,782,682,899,569,1560,555,266,162,429,722,8,42,24,11,17.29,8.26,13,5,15,1,6,6,2703,2387,966,2028,228,609,543,717,395,1241,500,198,86,421,593
4,235,29,6,17.52,8.81,14,4,15,3,8,2,2467,2144,867,1957,187,588,546,755,351,1170,493,248,162,381,651,5,288,24,10,15.24,9.8,11,5,15,1,5,5,2426,2192,813,1846,210,626,590,892,400,1252,417,223,113,417,619
3,21,28,8,17.97,8.03,11,5,15,1,6,4,2771,2362,993,2040,255,662,530,731,443,1408,508,237,242,491,639,11,221,27,9,11.39,1.78,15,3,15,0,9,6,2415,2069,922,2061,166,523,405,625,540,1394,554,282,105,457,560
10,249,28,6,13.38,2.2,11,3,14,2,9,2,2668,2258,944,1950,284,699,496,652,370,1244,543,168,176,394,560,2,310,25,8,16.72,7.75,13,5,12,2,6,4,2700,2404,899,1962,252,676,650,861,441,1272,448,259,133,452,731
1,77,35,5,25.21,9.21,13,3,17,0,5,5,3079,2441,1049,2375,301,782,682,899,569,1560,555,266,162,429,722,4,235,29,6,17.52,8.81,14,4,15,3,8,2,2467,2144,867,1957,187,588,546,755,351,1170,493,248,162,381,651
3,21,28,8,17.97,8.03,11,5,15,1,6,4,2771,2362,993,2040,255,662,530,731,443,1408,508,237,242,491,639,10,249,28,6,13.38,2.2,11,3,14,2,9,2,2668,2258,944,1950,284,699,496,652,370,1244,543,168,176,394,560
1,77,35,5,25.21,9.21,13,3,17,0,5,5,3079,2441,1049,2375,301,782,682,899,569,1560,555,266,162,429,722,3,21,28,8,17.97,8.03,11,5,15,1,6,4,2771,2362,993,2040,255,662,530,731,443,1408,508,237,242,491,639
1,137,35,3,21.13,6.82,14,2,18,0,7,2,3012,2468,1066,2228,231,697,649,971,538,1584,573,279,273,538,641,16,80,20,15,-0.83,-1.47,13,7,9,5,9,9,2424,2362,855,1978,177,575,537,815,445,1277,382,293,112,519,673
9,316,20,11,11.45,8.85,9,7,13,2,5,7,2257,2155,811,1869,134,435,501,762,463,1306,369,221,162,471,624,8,297,24,10,18.56,7.38,9,7,15,2,5,6,2761,2381,1005,2158,195,566,556,878,503,1425,489,269,194,464,670
12,65,29,5,8.76,-0.91,13,1,11,1,13,3,2596,2192,913,1894,326,759,393,538,349,1149,543,243,122,414,598,5,282,29,6,12.44,4.27,14,2,14,2,12,3,2273,1987,851,1942,204,605,367,533,377,1281,515,163,104,358,521
4,328,24,9,17.84,7.66,13,5,16,1,5,5,2214,1878,776,1750,246,690,416,568,320,1056,412,187,113,289,537,13,329,26,9,4.43,-2.57,15,3,11,1,10,6,2408,2134,825,1873,203,580,555,830,402,1243,469,242,74,416,621
11,318,26,10,15.64,7.49,11,7,17,2,4,6,2851,2519,1004,2212,191,568,652,905,476,1364,515,264,151,460,766,6,158,22,12,15.17,8.23,11,7,13,4,6,5,2485,2198,861,1890,274,664,489,660,343,1071,516,269,72,353,580
3,193,30,5,12.49,3.84,14,2,17,1,10,2,2655,2352,887,2023,273,739,608,909,458,1347,497,232,120,387,615,14,182,22,10,3.93,-2.35,10,6,14,2,7,7,2228,1960,791,1636,210,526,436,603,283,1048,396,206,106,390,571
10,179,23,11,17.39,6.36,10,6,16,2,4,6,2627,2252,926,2104,258,701,517,714,441,1200,522,371,160,432,656,7,55,21,11,15.71,7.9,9,7,14,2,5,6,2350,2065,851,1878,216,631,432,654,420,1178,453,301,151,480,564
2,320,31,7,19.16,10.26,13,5,12,2,7,4,2752,2414,942,2190,257,762,611,868,585,1467,589,213,155,451,686,15,184,27,10,-1.18,-6.15,15,1,11,1,12,7,2813,2606,960,2239,205,617,688,983,568,1488,461,243,152,499,782
1,137,35,3,21.13,6.82,14,2,18,0,7,2,3012,2468,1066,2228,231,697,649,971,538,1584,573,279,273,538,641,9,316,20,11,11.45,8.85,9,7,13,2,5,7,2257,2155,811,1869,134,435,501,762,463,1306,369,221,162,471,624
12,65,29,5,8.76,-0.91,13,1,11,1,13,3,2596,2192,913,1894,326,759,393,538,349,1149,543,243,122,414,598,4,328,24,9,17.84,7.66,13,5,16,1,5,5,2214,1878,776,1750,246,690,416,568,320,1056,412,187,113,289,537
11,318,26,10,15.64,7.49,11,7,17,2,4,6,2851,2519,1004,2212,191,568,652,905,476,1364,515,264,151,460,766,3,193,30,5,12.49,3.84,14,2,17,1,10,2,2655,2352,887,2023,273,739,608,909,458,1347,497,232,120,387,615
2,320,31,7,19.16,10.26,13,5,12,2,7,4,2752,2414,942,2190,257,762,611,868,585,1467,589,213,155,451,686,10,179,23,11,17.39,6.36,10,6,16,2,4,6,2627,2252,926,2104,258,701,517,714,441,1200,522,371,160,432,656
1,137,35,3,21.13,6.82,14,2,18,0,7,2,3012,2468,1066,2228,231,697,649,971,538,1584,573,279,273,538,641,12,65,29,5,8.76,-0.91,13,1,11,1,13,3,2596,2192,913,1894,326,759,393,538,349,1149,543,243,122,414,598
2,320,31,7,19.16,10.26,13,5,12,2,7,4,2752,2414,942,2190,257,762,611,868,585,1467,589,213,155,451,686,11,318,26,10,15.64,7.49,11,7,17,2,4,6,2851,2519,1004,2212,191,568,652,905,476,1364,515,264,151,460,766
2,320,31,7,19.16,10.26,13,5,12,2,7,4,2752,2414,942,2190,257,762,611,868,585,1467,589,213,155,451,686,1,137,35,3,21.13,6.82,14,2,18,0,7,2,3012,2468,1066,2228,231,697,649,971,538,1584,573,279,273,538,641
1,134,33,3,24.68,8.25,15,1,18,0,9,2,2937,2312,1033,2111,262,648,609,871,468,1457,609,301,232,470,658,16,141,22,11,-3.33,-7.79,10,4,15,2,7,8,2478,2331,842,1853,220,551,574,799,339,1201,495,203,85,429,589
9,212,30,5,12.03,4.27,15,3,14,0,9,3,2216,1929,747,1741,233,659,489,645,333,1130,367,198,70,372,556,8,189,25,9,12.57,4.82,11,5,15,4,9,3,2485,2168,899,1950,231,695,456,637,337,1149,551,266,117,395,691
5,169,28,9,15.33,8.17,14,4,15,2,8,4,2658,2361,974,2068,187,543,523,764,487,1426,606,242,123,514,666,12,192,22,12,2.06,1.66,11,5,12,3,7,8,2662,2639,919,1997,287,774,537,767,358,1212,484,203,111,437,595
4,162,24,9,17.75,7.95,13,3,15,1,7,3,2629,2254,966,2052,195,510,502,689,421,1270,545,256,154,383,554,13,115,19,16,6.74,3.48,7,9,10,5,4,9,2751,2624,958,2282,290,814,545,768,440,1185,435,329,103,315,652
6,286,28,9,16.05,7.75,11,5,15,1,5,5,2720,2413,991,2174,218,681,520,775,441,1353,530,290,136,490,733,11,253,25,9,11.34,4.21,11,5,14,1,9,7,2389,2101,875,1846,179,564,460,741,444,1257,458,251,156,453,552
14,218,22,15,4.56,-0.03,7,9,13,4,5,9,2763,2569,925,2153,278,759,635,883,443,1371,524,278,97,473,696,3,100,23,11,17.03,9.56,10,8,12,4,6,5,2500,2246,905,1815,212,548,478,672,333,1132,524,237,161,473,579
10,103,23,13,14.11,9.02,7,9,14,2,3,8,2621,2365,948,2064,213,587,512,779,464,1430,508,288,190,574,670,7,219,22,11,12.34,6.97,9,7,15,1,3,7,2437,2243,839,1861,274,784,485,679,327,1169,413,214,84,418,664
2,217,29,8,19.49,7.37,14,4,17,1,6,5,2740,2274,983,1999,276,708,498,716,325,1234,545,262,157,413,565,15,41,20,10,-0.13,-1.09,12,4,11,2,6,7,2028,1972,674,1522,205,544,475,698,268,984,414,202,92,460,572
9,212,30,5,12.03,4.27,15,3,14,0,9,3,2216,1929,747,1741,233,659,489,645,333,1130,367,198,70,372,556,1,134,33,3,24.68,8.25,15,1,18,0,9,2,2937,2312,1033,2111,262,648,609,871,468,1457,609,301,232,470,658
5,169,28,9,15.33,8.17,14,4,15,2,8,4,2658,2361,974,2068,187,543,523,764,487,1426,606,242,123,514,666,4,162,24,9,17.75,7.95,13,3,15,1,7,3,2629,2254,966,2052,195,510,502,689,421,1270,545,256,154,383,554
6,286,28,9,16.05,7.75,11,5,15,1,5,5,2720,2413,991,2174,218,681,520,775,441,1353,530,290,136,490,733,14,218,22,15,4.56,-0.03,7,9,13,4,5,9,2763,2569,925,2153,278,759,635,883,443,1371,524,278,97,473,696
2,217,29,8,19.49,7.37,14,4,17,1,6,5,2740,2274,983,1999,276,708,498,716,325,1234,545,262,157,413,565,10,103,23,13,14.11,9.02,7,9,14,2,3,8,2621,2365,948,2064,213,587,512,779,464,1430,508,288,190,574,670
5,169,28,9,15.33,8.17,14,4,15,2,8,4,2658,2361,974,2068,187,543,523,764,487,1426,606,242,123,514,666,9,212,30,5,12.03,4.27,15,3,14,0,9,3,2216,1929,747,1741,233,659,489,645,333,1130,367,198,70,372,556
6,286,28,9,16.05,7.75,11,5,15,1,5,5,2720,2413,991,2174,218,681,520,775,441,1353,530,290,136,490,733,2,217,29,8,19.49,7.37,14,4,17,1,6,5,2740,2274,983,1999,276,708,498,716,325,1234,545,262,157,413,565
5,169,28,9,15.33,8.17,14,4,15,2,8,4,2658,2361,974,2068,187,543,523,764,487,1426,606,242,123,514,666,6,286,28,9,16.05,7.75,11,5,15,1,5,5,2720,2413,991,2174,218,681,520,775,441,1353,530,290,136,490,733
1,281,30,5,21.72,7.21,15,3,17,2,8,1,2832,2324,1042,2021,244,624,504,745,417,1337,673,336,221,532,515,16,309,25,10,-1.26,-6.69,12,4,10,2,12,6,2457,2267,826,1884,166,524,639,930,433,1291,423,239,141,487,635
8,105,27,7,12.11,3.83,12,2,14,1,6,3,2614,2291,912,1856,182,516,608,916,358,1286,456,227,142,444,614,9,92,22,10,14.64,6.79,10,6,13,3,6,5,2183,1932,783,1734,186,557,431,669,406,1211,446,267,200,528,575
5,34,33,5,14.37,5.08,18,0,15,0,12,1,2611,2258,845,1911,260,761,661,896,353,1241,464,267,86,456,685,12,291,26,7,12.66,1.96,15,1,15,2,8,2,2484,2131,891,1879,201,586,501,744,323,1193,488,288,120,435,643
13,186,31,5,8.69,-3.89,17,1,15,0,11,4,2753,2175,978,1961,226,599,571,821,439,1319,556,347,196,527,618,4,308,24,9,15.24,7.86,12,4,14,2,7,3,2537,2274,859,1829,203,552,616,854,361,1197,436,188,171,448,632
6,332,26,9,16.23,5.94,14,2,15,0,7,5,2793,2433,961,2082,250,664,621,873,444,1415,494,235,132,452,662,11,173,21,14,15.64,7.32,9,9,14,3,4,7,2533,2242,912,1949,246,617,463,661,375,1237,583,273,199,427,579
3,229,25,9,14.3,7.39,13,5,17,1,5,4,2336,2101,809,1811,181,526,537,775,420,1269,536,177,139,421,594,14,216,26,9,-0.64,-2.96,17,1,13,1,10,7,2676,2504,920,2053,206,640,630,876,477,1344,461,236,169,485,632
7,30,30,6,18.82,3.0,13,3,15,1,10,4,2992,2392,1025,2120,292,700,650,823,367,1332,567,307,126,417,621,10,93,21,13,11.89,7.16,9,7,13,4,5,5,2455,2258,890,2006,203,648,472,671,455,1265,479,243,94,423,501
2,133,29,8,19.88,10.28,11,5,13,3,7,2,2949,2584,981,2182,253,703,734,1098,559,1437,541,274,187,529,828,15,207,24,9,-2.49,-4.72,13,5,12,2,9,6,2437,2303,798,1748,179,538,662,921,364,1220,394,144,94,485,590
1,281,30,5,21.72,7.21,15,3,17,2,8,1,2832,2324,1042,2021,244,624,504,745,417,1337,673,336,221,532,515,8,105,27,7,12.11,3.83,12,2,14,1,6,3,2614,2291,912,1856,182,516,608,916,358,1286,456,227,142,444,614
5,34,33,5,14.37,5.08,18,0,15,0,12,1,2611,2258,845,1911,260,761,661,896,353,1241,464,267,86,456,685,13,186,31,5,8.69,-3.89,17,1,15,0,11,4,2753,2175,978,1961,226,599,571,821,439,1319,556,347,196,527,618
6,332,26,9,16.23,5.94,14,2,15,0,7,5,2793,2433,961,2082,250,664,621,873,444,1415,494,235,132,452,662,3,229,25,9,14.3,7.39,13,5,17,1,5,4,2336,2101,809,1811,181,526,537,775,420,1269,536,177,139,421,594
2,133,29,8,19.88,10.28,11,5,13,3,7,2,2949,2584,981,2182,253,703,734,1098,559,1437,541,274,187,529,828,7,30,30,6,18.82,3.0,13,3,15,1,10,4,2992,2392,1025,2120,292,700,650,823,367,1332,567,307,126,417,621
5,34,33,5,14.37,5.08,18,0,15,0,12,1,2611,2258,845,1911,260,761,661,896,353,1241,464,267,86,456,685,1,281,30,5,21.72,7.21,15,3,17,2,8,1,2832,2324,1042,2021,244,624,504,745,417,1337,673,336,221,532,515
2,133,29,8,19.88,10.28,11,5,13,3,7,2,2949,2584,981,2182,253,703,734,1098,559,1437,541,274,187,529,828,6,332,26,9,16.23,5.94,14,2,15,0,7,5,2793,2433,961,2082,250,664,621,873,444,1415,494,235,132,452,662
5,34,33,5,14.37,5.08,18,0,15,0,12,1,2611,2258,845,1911,260,761,661,896,353,1241,464,267,86,456,685,2,133,29,8,19.88,10.28,11,5,13,3,7,2,2949,2584,981,2182,253,703,734,1098,559,1437,541,274,187,529,828
1,77,35,5,25.21,9.21,13,3,17,0,5,5,3079,2441,1049,2375,301,782,682,899,569,1560,555,266,162,429,722,2,320,31,7,19.16,10.26,13,5,12,2,7,4,2752,2414,942,2190,257,762,611,868,585,1467,589,213,155,451,686
5,34,33,5,14.37,5.08,18,0,15,0,12,1,2611,2258,845,1911,260,761,661,896,353,1241,464,267,86,456,685,5,169,28,9,15.33,8.17,14,4,15,2,8,4,2658,2361,974,2068,187,543,523,764,487,1426,606,242,123,514,666
1,77,35,5,25.21,9.21,13,3,17,0,5,5,3079,2441,1049,2375,301,782,682,899,569,1560,555,266,162,429,722,5,34,33,5,14.37,5.08,18,0,15,0,12,1,2611,2258,845,1911,260,761,661,896,353,1241,464,267,86,456,685
