winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,311,28,5,19.51,9.23,14,2,12,1,10,2,2449,2107,809,1942,288,769,543,717,459,1198,403,256,159,370,615,16,181,19,15,-2.99,-4.05,12,6,8,4,9,8,2191,2155,787,1785,217,644,400,597,296,1114,502,254,123,510,570
8,12,20,13,15.12,10.09,11,7,12,2,4,7,2433,2267,909,2037,142,445,473,667,453,1140,492,322,125,437,549,9,329,19,12,13.14,7.24,9,7,14,2,2,8,2205,2035,776,1796,199,573,454,684,400,1124,421,165,104,359,534
12,183,24,7,4.86,-0.96,10,4,13,1,8,5,2449,2202,876,1781,228,590,469,653,348,1096,565,229,95,431,563,5,191,27,6,10.16,2.26,13,3,17,1,10,3,2401,2103,866,1901,179,497,490,682,420,1268,514,179,160,426,537
4,27,28,8,13.79,6.1,11,5,14,2,9,3,2671,2383,949,1958,211,585,562,833,466,1277,639,222,161,472,586,13,226,24,8,6.93,-1.57,12,2,11,3,9,4,2377,2047,858,1763,215,553,446,598,320,1135,514,188,67,419,501
11,173,22,9,7.65,1.47,12,4,13,2,8,6,2294,2061,797,1832,204,609,496,719,452,1185,389,216,91,421,595,6,221,20,9,11.89,6.79,11,5,14,1,6,5,1995,1847,716,1586,174,485,389,545,420,1060,423,207,100,411,499
3,94,33,6,20.21,5.49,10,6,16,2,6,4,3052,2478,1061,2120,289,738,641,862,421,1402,650,297,207,561,623,14,262,24,7,4.88,-2.18,12,3,12,2,9,4,2283,2033,797,1760,267,728,422,600,346,1049,436,264,43,415,578
7,101,23,10,13.98,6.92,10,6,11,2,7,6,2177,1944,787,1682,223,628,380,538,354,1079,514,199,119,381,486,10,213,23,10,11.55,5.13,11,7,12,3,7,5,2165,1907,754,1662,219,642,438,608,279,1100,439,179,124,401,480
2,218,26,6,16.08,5.9,12,4,16,1,6,3,2363,2037,833,1791,262,718,435,606,321,1088,491,216,89,379,489,15,69,20,11,1.89,-3.04,10,5,14,1,3,9,2403,2137,855,1885,277,751,416,547,393,1215,567,151,51,399,570
1,311,28,5,19.51,9.23,14,2,12,1,10,2,2449,2107,809,1942,288,769,543,717,459,1198,403,256,159,370,615,8,12,20,13,15.12,10.09,11,7,12,2,4,7,2433,2267,909,2037,142,445,473,667,453,1140,492,322,125,437,549
4,27,28,8,13.79,6.1,11,5,14,2,9,3,2671,2383,949,1958,211,585,562,833,466,1277,639,222,161,472,586,12,183,24,7,4.86,-0.96,10,4,13,1,8,5,2449,2202,876,1781,228,590,469,653,348,1096,565,229,95,431,563
3,94,33,6,20.21,5.49,10,6,16,2,6,4,3052,2478,1061,2120,289,738,641,862,421,1402,650,297,207,561,623,11,173,22,9,7.65,1.47,12,4,13,2,8,6,2294,2061,797,1832,204,609,496,719,452,1185,389,216,91,421,595
7,101,23,10,13.98,6.92,10,6,11,2,7,6,2177,1944,787,1682,223,628,380,538,354,1079,514,199,119,381,486,2,218,26,6,16.08,5.9,12,4,16,1,6,3,2363,2037,833,1791,262,718,435,606,321,1088,491,216,89,379,489
1,311,28,5,19.51,9.23,14,2,12,1,10,2,2449,2107,809,1942,288,769,543,717,459,1198,403,256,159,370,615,4,27,28,8,13.79,6.1,11,5,14,2,9,3,2671,2383,949,1958,211,585,562,833,466,1277,639,222,161,472,586
3,94,33,6,20.21,5.49,10,6,16,2,6,4,3052,2478,1061,2120,289,738,641,862,421,1402,650,297,207,561,623,7,101,23,10,13.98,6.92,10,6,11,2,7,6,2177,1944,787,1682,223,628,380,538,354,1079,514,199,119,381,486
3,94,33,6,20.21,5.49,10,6,16,2,6,4,3052,2478,1061,2120,289,738,641,862,421,1402,650,297,207,561,623,1,311,28,5,19.51,9.23,14,2,12,1,10,2,2449,2107,809,1942,288,769,543,717,459,1198,403,256,159,370,615
1,78,32,4,21.77,8.77,14,2,14,1,8,2,2921,2453,979,2011,274,709,689,905,350,1204,546,337,202,496,621,16,274,20,13,-5.97,-6.69,15,3,11,0,6,11,2093,2070,787,1796,143,448,376,581,422,1234,391,249,122,561,574
8,100,27,3,9.63,-0.33,16,0,15,0,10,1,2360,2026,845,1814,182,511,488,755,421,1143,511,278,135,420,553,9,204,25,8,8.9,0.57,15,3,12,1,8,6,2250,1975,807,1867,216,639,420,601,389,1191,506,248,55,414,682
12,289,22,9,13.19,4.77,10,6,16,2,4,5,2130,1869,725,1627,203,563,477,702,325,993,509,266,94,416,668,5,282,23,12,11.68,8.16,7,9,14,5,3,5,2535,2412,913,2083,260,766,449,698,476,1338,541,313,221,532,625
4,150,27,9,17.54,8.77,14,2,14,2,7,4,2633,2299,972,2092,147,454,542,786,496,1447,547,298,236,555,567,13,125,23,8,6.86,-0.78,13,5,7,4,11,2,2475,2238,881,1835,196,488,517,748,413,1140,481,239,128,468,576
6,321,22,11,14.51,8.54,11,5,13,2,5,4,2334,2093,835,1875,337,967,327,439,258,915,576,266,93,287,419,11,270,22,11,8.93,4.62,12,6,11,2,7,7,1994,1864,707,1714,183,548,397,579,384,1073,404,278,105,473,653
14,214,26,8,4.01,-1.38,15,1,14,0,10,6,2573,2365,914,1981,226,616,519,779,458,1224,589,312,113,535,698,3,127,25,9,14.18,6.8,11,5,17,0,4,7,2254,2003,781,1811,191,570,501,706,372,1285,502,225,167,506,517
10,203,22,10,12.7,5.63,10,6,15,3,5,5,2383,2157,793,1704,288,777,509,678,284,1050,500,233,150,434,565,7,43,20,11,12.31,8.84,12,6,12,3,7,4,2128,2000,717,1598,169,452,525,716,301,1002,402,162,83,384,518
2,298,30,7,21.89,6.99,13,3,16,1,7,3,2781,2230,983,2132,269,722,546,751,518,1498,549,296,186,498,561,15,228,20,9,6.01,-2.31,12,2,12,4,8,4,1987,1744,710,1595,196,607,371,550,302,919,413,283,78,382,532
1,78,32,4,21.77,8.77,14,2,14,1,8,2,2921,2453,979,2011,274,709,689,905,350,1204,546,337,202,496,621,8,100,27,3,9.63,-0.33,16,0,15,0,10,1,2360,2026,845,1814,182,511,488,755,421,1143,511,278,135,420,553
