winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,327,36,4,26.64,10.24,14,4,12,1,9,3,3463,2807,1220,2440,464,1158,559,718,380,1436,655,259,162,426,645,16,250,23,13,-2.61,-4.08,12,6,12,2,7,10,2422,2336,850,2000,277,793,445,614,414,1244,442,226,105,441,596
9,7,20,16,12.34,10.64,8,10,12,4,2,8,2604,2543,910,1975,229,702,555,828,358,1290,458,228,192,513,676,8,330,21,12,14.35,6.72,10,8,14,4,6,5,2634,2382,931,1865,289,745,483,681,244,1078,542,191,74,395,523
5,337,26,11,19.88,9.36,11,7,14,3,5,5,2964,2575,1036,2374,322,911,570,744,513,1401,561,301,192,420,798,12,194,26,6,6.87,-3.53,16,2,14,2,10,3,2515,2117,870,1803,271,719,504,687,340,1186,471,216,104,384,559
13,166,25,11,4.21,0.44,12,6,15,2,6,8,3017,2849,1042,2232,362,1012,571,747,288,1287,615,252,209,476,617,4,342,25,8,16.58,5.46,14,4,13,3,9,2,2731,2364,957,2009,300,787,517,700,404,1336,610,154,127,385,580
6,97,21,13,16.67,10.08,11,7,12,5,5,4,2577,2353,893,2065,308,832,483,673,366,1198,445,237,164,335,591,11,291,26,8,8.87,2.61,14,4,13,1,9,4,2620,2407,884,1959,255,661,597,794,344,1208,472,239,118,391,674
3,313,27,10,19.38,9.6,11,7,17,1,4,6,2759,2397,964,2096,252,702,579,823,396,1332,529,262,158,454,669,14,295,28,7,2.67,-6.46,14,4,16,1,9,5,2819,2386,1000,2059,242,651,577,819,399,1248,498,361,107,540,765
10,36,21,14,16.92,10.55,9,9,14,3,3,7,2763,2540,1020,2155,287,805,436,562,319,1198,489,232,100,391,642,7,17,23,12,14.76,9.85,10,8,15,2,3,7,2819,2647,1005,2119,269,681,540,793,350,1208,501,218,163,381,700
2,248,30,7,23.41,8.74,15,3,16,1,8,2,2974,2431,1033,2097,353,840,555,747,311,1295,598,211,180,399,580,15,39,20,12,-0.92,-1.02,10,6,9,4,7,7,2318,2245,804,1721,167,500,543,745,276,1123,403,201,106,455,578
1,327,36,4,26.64,10.24,14,4,12,1,9,3,3463,2807,1220,2440,464,1158,559,718,380,1436,655,259,162,426,645,9,7,20,16,12.34,10.64,8,10,12,4,2,8,2604,2543,910,1975,229,702,555,828,358,1290,458,228,192,513,676
5,337,26,11,19.88,9.36,11,7,14,3,5,5,2964,2575,1036,2374,322,911,570,744,513,1401,561,301,192,420,798,13,166,25,11,4.21,0.44,12,6,15,2,6,8,3017,2849,1042,2232,362,1012,571,747,288,1287,615,252,209,476,617
3,313,27,10,19.38,9.6,11,7,17,1,4,6,2759,2397,964,2096,252,702,579,823,396,1332,529,262,158,454,669,6,97,21,13,16.67,10.08,11,7,12,5,5,4,2577,2353,893,2065,308,832,483,673,366,1198,445,237,164,335,591
