winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,342,35,1,16.65,1.74,18,0,17,0,12,0,2706,2141,896,1942,250,713,664,916,419,1381,491,247,184,374,611,16,37,14,20,-1.34,1.69,6,10,6,6,3,12,2141,2163,754,1850,218,654,415,603,377,1096,394,198,93,303,621
8,144,29,11,18.07,9.9,12,6,16,2,5,5,2992,2665,1004,2213,203,611,781,1146,562,1607,446,189,236,469,732,9,140,20,13,12.14,8.47,10,8,15,2,2,7,2280,2159,798,1840,198,598,486,741,406,1180,503,205,98,404,714
5,261,27,7,11.63,4.24,13,3,14,3,11,1,2374,2105,829,1869,190,601,526,755,345,1231,482,253,138,431,597,12,212,22,14,9.02,7.44,9,9,13,6,6,6,2561,2504,950,2060,160,525,501,762,422,1239,466,173,149,375,670
4,158,31,6,24.69,4.8,15,3,16,2,9,2,2998,2262,1051,2232,288,783,608,920,503,1396,568,370,173,391,723,13,163,25,8,6.04,-0.9,15,5,9,3,12,4,2540,2311,828,1837,208,564,676,1019,415,1234,433,273,200,468,799
11,303,24,13,17.34,7.84,11,7,14,3,4,7,2672,2283,927,2048,205,631,613,852,501,1424,472,192,172,388,617,6,171,24,9,10.61,6.0,10,6,11,2,7,4,2502,2350,900,1962,177,512,525,769,404,1267,499,226,178,446,649
14,174,27,9,5.33,-3.42,14,4,17,1,9,7,2836,2410,982,2061,290,756,582,791,407,1338,586,211,147,420,665,3,80,26,9,19.51,8.48,13,5,17,0,4,5,2745,2359,929,2020,316,801,571,783,410,1207,509,244,105,328,681
7,314,24,11,12.67,9.15,11,7,16,2,4,6,2598,2475,905,2095,178,545,610,909,528,1449,452,199,206,426,669,10,12,21,12,13.32,7.41,10,8,16,1,4,7,2486,2291,836,1852,268,688,546,787,281,1172,471,167,182,377,635
2,178,28,9,18.52,9.65,15,3,13,2,7,4,2736,2408,945,1982,319,794,527,691,316,1160,525,191,88,336,527,15,346,20,13,-4.32,-5.95,11,5,9,4,8,8,2205,2054,808,1804,196,544,393,592,352,1090,423,205,54,351,578
8,144,29,11,18.07,9.9,12,6,16,2,5,5,2992,2665,1004,2213,203,611,781,1146,562,1607,446,189,236,469,732,1,342,35,1,16.65,1.74,18,0,17,0,12,0,2706,2141,896,1942,250,713,664,916,419,1381,491,247,184,374,611
4,158,31,6,24.69,4.8,15,3,16,2,9,2,2998,2262,1051,2232,288,783,608,920,503,1396,568,370,173,391,723,5,261,27,7,11.63,4.24,13,3,14,3,11,1,2374,2105,829,1869,190,601,526,755,345,1231,482,253,138,431,597
