winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,208,32,6,21.34,7.07,14,2,17,1,8,2,3091,2549,1134,2473,194,580,629,922,570,1592,659,259,219,447,551,16,319,24,12,0.98,-5.19,13,3,10,4,10,6,2415,2193,848,1914,191,561,528,714,401,1166,475,221,86,445,627
8,68,29,6,12.92,3.41,14,4,14,2,10,3,2772,2439,975,1935,287,677,535,737,330,1163,616,169,82,421,592,9,6,21,12,13.76,7.18,9,7,12,3,4,6,2135,1918,778,1722,136,470,443,623,352,1066,402,239,137,423,607
12,274,22,14,9.2,7.29,12,6,14,2,5,8,2134,2037,772,1765,169,534,421,597,374,1115,423,200,137,485,552,5,292,24,8,10.44,4.94,13,3,10,1,10,4,2401,2225,861,1836,228,574,451,627,333,1019,493,230,134,401,567
13,223,29,8,7.17,0.17,11,5,16,1,8,6,2597,2311,901,2107,278,809,517,749,451,1136,488,347,103,481,723,4,174,24,10,13.19,8.98,13,5,15,1,5,6,2255,2090,808,1777,276,788,363,503,291,967,431,168,72,370,530
11,206,24,13,12.1,6.8,9,7,13,6,5,4,2697,2501,977,2134,198,557,545,774,456,1281,577,249,150,470,623,6,259,26,8,9.04,3.79,10,4,17,2,7,4,2416,2166,863,1903,197,578,493,703,360,1153,417,189,79,426,543
3,103,24,9,16.81,7.69,12,6,15,1,6,5,2278,1959,811,1743,186,536,470,673,367,1108,451,200,156,417,578,14,22,27,8,11.81,-1.22,16,2,13,1,10,6,2831,2363,975,2026,309,817,572,779,401,1151,606,255,78,430,631
10,241,22,13,13.88,8.05,10,8,13,4,5,5,2514,2310,889,2019,284,753,452,689,391,1039,470,226,110,306,620,7,255,27,6,11.26,0.78,14,2,16,1,8,3,2467,2068,857,1811,245,713,508,697,378,1152,520,227,102,383,527
2,138,32,7,21.72,9.93,16,2,16,0,8,2,2867,2407,1023,2169,222,643,597,863,449,1368,587,285,222,506,678,15,76,22,14,2.4,-0.01,11,7,13,4,6,8,2597,2432,903,2008,165,553,626,857,434,1124,463,272,165,450,684
1,208,32,6,21.34,7.07,14,2,17,1,8,2,3091,2549,1134,2473,194,580,629,922,570,1592,659,259,219,447,551,8,68,29,6,12.92,3.41,14,4,14,2,10,3,2772,2439,975,1935,287,677,535,737,330,1163,616,169,82,421,592
13,223,29,8,7.17,0.17,11,5,16,1,8,6,2597,2311,901,2107,278,809,517,749,451,1136,488,347,103,481,723,12,274,22,14,9.2,7.29,12,6,14,2,5,8,2134,2037,772,1765,169,534,421,597,374,1115,423,200,137,485,552
11,206,24,13,12.1,6.8,9,7,13,6,5,4,2697,2501,977,2134,198,557,545,774,456,1281,577,249,150,470,623,3,103,24,9,16.81,7.69,12,6,15,1,6,5,2278,1959,811,1743,186,536,470,673,367,1108,451,200,156,417,578
2,138,32,7,21.72,9.93,16,2,16,0,8,2,2867,2407,1023,2169,222,643,597,863,449,1368,587,285,222,506,678,10,241,22,13,13.88,8.05,10,8,13,4,5,5,2514,2310,889,2019,284,753,452,689,391,1039,470,226,110,306,620
1,208,32,6,21.34,7.07,14,2,17,1,8,2,3091,2549,1134,2473,194,580,629,922,570,1592,659,259,219,447,551,13,223,29,8,7.17,0.17,11,5,16,1,8,6,2597,2311,901,2107,278,809,517,749,451,1136,488,347,103,481,723
2,138,32,7,21.72,9.93,16,2,16,0,8,2,2867,2407,1023,2169,222,643,597,863,449,1368,587,285,222,506,678,11,206,24,13,12.1,6.8,9,7,13,6,5,4,2697,2501,977,2134,198,557,545,774,456,1281,577,249,150,470,623
2,138,32,7,21.72,9.93,16,2,16,0,8,2,2867,2407,1023,2169,222,643,597,863,449,1368,587,285,222,506,678,1,208,32,6,21.34,7.07,14,2,17,1,8,2,3091,2549,1134,2473,194,580,629,922,570,1592,659,259,219,447,551
1,141,38,2,24.73,7.93,16,0,18,0,8,1,3095,2423,1096,2248,225,595,678,938,472,1445,531,242,344,445,593,16,333,16,19,-2.66,0.51,7,9,8,7,3,8,2272,2383,769,1952,195,638,539,785,449,1173,385,195,146,534,691
8,129,23,11,13.32,7.32,12,6,16,2,4,7,2490,2286,847,1888,293,786,503,731,371,1173,484,196,96,419,547,9,65,20,14,12.27,8.07,8,10,13,4,3,7,2336,2193,858,1900,185,557,435,657,415,1151,457,199,233,418,492
12,321,29,7,8.79,0.63,15,3,13,1,10,3,2448,2154,837,2040,267,800,507,740,439,1115,433,379,131,411,646,5,335,27,6,17.42,3.8,16,2,14,1,10,1,2545,2060,912,1892,230,620,491,656,359,1157,485,209,130,403,553
4,127,27,9,18.63,7.8,11,7,18,1,5,6,2782,2392,949,1928,229,531,655,858,383,1130,487,233,115,463,632,13,196,26,10,8.73,0.08,10,4,14,3,7,5,2812,2459,970,2045,165,505,707,1058,518,1352,498,244,154,533,630
11,63,24,12,7.91,5.73,11,7,14,2,4,7,2429,2269,835,1874,199,572,560,810,351,1192,422,210,117,468,614,6,193,26,9,13.55,4.37,9,5,17,0,5,7,2671,2307,942,2062,291,799,496,734,408,1227,616,299,169,466,604
3,21,30,8,16.54,8.03,12,6,14,3,8,3,2839,2483,1004,2148,259,676,572,759,470,1280,570,286,178,522,674,14,272,27,8,7.34,-1.87,15,3,14,0,8,7,2689,2329,918,1963,284,728,569,783,363,1078,500,236,65,370,567
10,342,23,13,9.59,6.22,10,6,13,3,5,6,2543,2422,899,1986,176,501,569,819,378,1183,471,216,135,448,665,7,220,22,12,11.18,6.47,13,5,16,1,5,5,2257,2097,781,1800,221,665,474,673,345,1050,497,177,114,342,470
15,145,27,8,4.27,-5.14,11,3,12,1,12,6,2648,2288,902,2030,254,726,590,768,386,1104,456,269,106,391,629,2,79,27,7,17.05,8.4,13,3,13,3,8,1,2628,2334,874,1915,274,739,606,864,406,1152,423,210,136,415,626
1,141,38,2,24.73,7.93,16,0,18,0,8,1,3095,2423,1096,2248,225,595,678,938,472,1445,531,242,344,445,593,8,129,23,11,13.32,7.32,12,6,16,2,4,7,2490,2286,847,1888,293,786,503,731,371,1173,484,196,96,419,547
4,127,27,9,18.63,7.8,11,7,18,1,5,6,2782,2392,949,1928,229,531,655,858,383,1130,487,233,115,463,632,12,321,29,7,8.79,0.63,15,3,13,1,10,3,2448,2154,837,2040,267,800,507,740,439,1115,433,379,131,411,646
3,21,30,8,16.54,8.03,12,6,14,3,8,3,2839,2483,1004,2148,259,676,572,759,470,1280,570,286,178,522,674,11,63,24,12,7.91,5.73,11,7,14,2,4,7,2429,2269,835,1874,199,572,560,810,351,1192,422,210,117,468,614
10,342,23,13,9.59,6.22,10,6,13,3,5,6,2543,2422,899,1986,176,501,569,819,378,1183,471,216,135,448,665,15,145,27,8,4.27,-5.14,11,3,12,1,12,6,2648,2288,902,2030,254,726,590,768,386,1104,456,269,106,391,629
1,141,38,2,24.73,7.93,16,0,18,0,8,1,3095,2423,1096,2248,225,595,678,938,472,1445,531,242,344,445,593,4,127,27,9,18.63,7.8,11,7,18,1,5,6,2782,2392,949,1928,229,531,655,858,383,1130,487,233,115,463,632
