winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
1,136,27,5,18.83,8.55,13,3,11,2,7,2,2365,2036,862,1828,204,572,437,627,371.0,1160,504,249,110,468,584,16,89,15,17,-9.85,-7.94,10,8,8,4,3,12,2311,2372,747,1802,271,782,546,771,,1089,405,271,51,537,693
9,4,22,10,11.76,5.63,12,4,14,1,5,5,2414,2218,882,2006,213,646,437,656,401.0,1119,564,371,115,431,681,8,310,19,12,9.46,6.43,12,6,11,3,6,7,2543,2449,890,1911,201,569,562,788,382.0,1103,501,226,91,472,667
12,219,25,8,5.76,0.95,17,1,12,1,9,4,2272,2097,764,1633,195,546,549,746,304.0,1101,478,194,103,471,561,5,228,20,9,14.87,8.21,11,5,11,4,8,3,2060,1867,717,1592,228,629,398,553,342.0,976,455,264,143,433,469
4,134,24,9,17.1,9.44,12,4,13,1,5,5,2503,2218,895,1923,188,562,525,743,409.0,1303,572,232,165,485,661,13,119,24,8,6.0,-0.47,12,4,11,1,9,3,2223,2016,810,1797,158,410,445,700,423.0,1126,468,247,85,405,572
6,27,24,10,11.99,7.17,10,6,13,3,5,5,2312,2148,819,1799,128,393,546,804,425.0,1224,543,241,102,457,537,11,298,24,9,11.37,4.53,9,5,15,1,6,5,2134,1893,768,1630,196,506,402,556,355.0,1140,426,146,111,463,566
3,103,28,10,20.66,11.21,9,7,13,3,8,5,2911,2552,1029,2213,267,729,586,847,429.0,1422,579,338,172,578,795,14,206,21,10,6.87,3.2,12,6,13,3,5,6,2147,2015,723,1644,223,630,478,648,268.0,1068,410,165,63,388,517
10,188,25,9,14.91,5.82,13,5,15,0,5,8,2579,2257,901,1991,172,501,605,830,449.0,1322,478,218,154,445,624,7,167,18,12,12.15,8.38,12,4,12,2,5,6,2138,2025,748,1519,190,474,452,586,270.0,910,441,214,54,438,630
2,105,28,3,18.94,3.32,14,0,14,0,11,0,2536,2052,899,1765,195,491,543,724,348.0,1230,556,192,116,418,500,15,299,18,13,-0.09,0.01,11,5,10,5,4,6,2217,2201,765,1740,165,535,522,740,368.0,1183,474,210,97,500,692
9,4,22,10,11.76,5.63,12,4,14,1,5,5,2414,2218,882,2006,213,646,437,656,401.0,1119,564,371,115,431,681,1,136,27,5,18.83,8.55,13,3,11,2,7,2,2365,2036,862,1828,204,572,437,627,371.0,1160,504,249,110,468,584
4,134,24,9,17.1,9.44,12,4,13,1,5,5,2503,2218,895,1923,188,562,525,743,409.0,1303,572,232,165,485,661,12,219,25,8,5.76,0.95,17,1,12,1,9,4,2272,2097,764,1633,195,546,549,746,304.0,1101,478,194,103,471,561
