winnerSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls,loserSeed,ID,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
2,77,30,7,20.1,9.07,11,5,16,1,6,5,2867,2439,971,2186,267,766,658,904,490,1348,492,311,146,454,671,15,24,23,9,-3.27,-5.62,13,3,12,2,9,6,2239,2156,778,1764,192,575,491,733,357,1101,383,227,134,431,652
1,226,31,5,21.21,8.61,15,3,19,0,7,2,2787,2320,1040,2174,225,640,482,713,533,1433,633,246,139,436,585,8,216,23,12,13.78,7.44,9,7,14,2,4,6,2830,2608,948,2059,327,851,607,812,346,1223,446,266,82,431,745
4,328,27,8,14.45,4.65,12,4,14,1,7,4,2508,2165,847,1846,239,607,575,851,420,1378,464,185,178,511,653,12,324,20,13,12.43,8.43,10,8,13,3,4,7,2106,1948,735,1686,213,592,423,583,317,1020,393,163,86,330,532
3,306,30,8,17.45,8.72,13,5,16,2,8,3,2919,2560,990,2193,247,701,692,919,477,1449,551,300,128,505,735,6,300,26,9,18.64,7.19,13,5,16,2,6,4,2642,2241,967,1973,262,656,446,616,395,1151,541,292,110,440,598
2,77,30,7,20.1,9.07,11,5,16,1,6,5,2867,2439,971,2186,267,766,658,904,490,1348,492,311,146,454,671,7,294,23,12,14.83,8.09,9,7,13,2,4,6,2532,2296,917,2063,166,566,532,797,496,1359,448,217,187,442,674
1,226,31,5,21.21,8.61,15,3,19,0,7,2,2787,2320,1040,2174,225,640,482,713,533,1433,633,246,139,436,585,4,328,27,8,14.45,4.65,12,4,14,1,7,4,2508,2165,847,1846,239,607,575,851,420,1378,464,185,178,511,653
3,306,30,8,17.45,8.72,13,5,16,2,8,3,2919,2560,990,2193,247,701,692,919,477,1449,551,300,128,505,735,2,77,30,7,20.1,9.07,11,5,16,1,6,5,2867,2439,971,2186,267,766,658,904,490,1348,492,311,146,454,671
3,306,30,8,17.45,8.72,13,5,16,2,8,3,2919,2560,990,2193,247,701,692,919,477,1449,551,300,128,505,735,1,226,31,5,21.21,8.61,15,3,19,0,7,2,2787,2320,1040,2174,225,640,482,713,533,1433,633,246,139,436,585
1,202,34,4,25.46,8.35,13,3,14,1,8,2,3413,2735,1205,2509,264,682,739,983,556,1594,685,325,196,472,608,16,234,21,12,-4.55,-4.37,15,3,12,5,9,6,2491,2372,884,1917,163,463,560,825,418,1372,466,225,154,539,607
8,148,27,8,11.87,3.27,13,3,19,2,6,3,2617,2316,937,2093,213,572,530,740,475,1365,529,267,212,425,609,9,34,26,6,10.07,2.07,15,3,15,2,11,3,2168,1854,705,1609,257,731,501,692,328,1094,417,193,102,400,568
12,319,25,9,3.68,-1.23,15,3,13,0,7,7,2454,2278,871,1929,266,714,446,647,432,1251,454,193,111,452,587,5,121,24,10,14.38,6.73,11,7,14,3,5,6,2204,1944,859,1865,188,537,298,419,320,1127,595,199,122,420,521
4,105,28,6,17.95,3.55,14,0,11,2,9,1,2684,2142,967,1982,251,643,499,696,345,1276,512,246,174,386,551,13,2,23,13,3.37,-2.01,10,6,11,3,8,8,2403,2171,823,1969,258,776,499,705,424,1199,446,270,80,490,745
6,11,25,10,16.7,7.82,11,7,12,3,6,4,2428,2117,825,1718,288,778,490,665,288,1085,544,201,72,401,557,11,279,22,12,9.05,3.9,11,5,9,2,9,8,2333,2158,846,1908,258,703,383,547,376,1248,527,189,141,426,581
3,278,28,10,17.24,9.48,11,7,16,3,5,5,3046,2725,1110,2277,256,743,570,884,482,1505,687,296,194,583,580,14,275,24,8,1.1,-3.21,13,3,13,0,6,7,2099,1795,786,1795,177,561,350,539,311,1126,421,200,100,384,582
10,169,21,14,11.9,9.74,9,9,14,3,3,8,2341,2213,812,1910,305,912,412,544,336,1087,542,223,92,402,535,7,55,23,9,15.56,6.59,9,7,13,3,7,5,2507,2177,912,1971,256,684,427,621,462,1189,478,298,187,456,575
2,217,30,6,18.07,6.88,13,3,16,1,7,3,2833,2430,982,1997,242,689,627,929,435,1402,521,249,156,500,616,15,183,23,12,-2.29,-6.53,13,3,8,2,10,7,2333,2182,857,2047,181,537,438,675,508,1330,393,232,110,456,673
1,202,34,4,25.46,8.35,13,3,14,1,8,2,3413,2735,1205,2509,264,682,739,983,556,1594,685,325,196,472,608,8,148,27,8,11.87,3.27,13,3,19,2,6,3,2617,2316,937,2093,213,572,530,740,475,1365,529,267,212,425,609
4,105,28,6,17.95,3.55,14,0,11,2,9,1,2684,2142,967,1982,251,643,499,696,345,1276,512,246,174,386,551,12,319,25,9,3.68,-1.23,15,3,13,0,7,7,2454,2278,871,1929,266,714,446,647,432,1251,454,193,111,452,587
3,278,28,10,17.24,9.48,11,7,16,3,5,5,3046,2725,1110,2277,256,743,570,884,482,1505,687,296,194,583,580,4,11,25,10,16.7,7.82,11,7,12,3,6,4,2428,2117,825,1718,288,778,490,665,288,1085,544,201,72,401,557
2,217,30,6,18.07,6.88,13,3,16,1,7,3,2833,2430,982,1997,242,689,627,929,435,1402,521,249,156,500,616,10,169,21,14,11.9,9.74,9,9,14,3,3,8,2341,2213,812,1910,305,912,412,544,336,1087,542,223,92,402,535
1,202,34,4,25.46,8.35,13,3,14,1,8,2,3413,2735,1205,2509,264,682,739,983,556,1594,685,325,196,472,608,4,105,28,6,17.95,3.55,14,0,11,2,9,1,2684,2142,967,1982,251,643,499,696,345,1276,512,246,174,386,551
2,217,30,6,18.07,6.88,13,3,16,1,7,3,2833,2430,982,1997,242,689,627,929,435,1402,521,249,156,500,616,3,278,28,10,17.24,9.48,11,7,16,3,5,5,3046,2725,1110,2277,256,743,570,884,482,1505,687,296,194,583,580
1,202,34,4,25.46,8.35,13,3,14,1,8,2,3413,2735,1205,2509,264,682,739,983,556,1594,685,325,196,472,608,2,217,30,6,18.07,6.88,13,3,16,1,7,3,2833,2430,982,1997,242,689,627,929,435,1402,521,249,156,500,616
1,63,31,5,22.17,8.57,15,3,14,2,9,1,2819,2313,996,2102,165,484,662,976,511,1559,567,209,280,458,471,16,51,18,17,-6.25,-3.13,11,9,13,3,5,10,2657,2687,877,2002,289,821,614,935,438,1374,477,218,79,551,648
9,285,24,10,10.52,6.13,9,7,16,2,5,5,2440,2281,822,1831,202,560,594,856,422,1249,427,164,133,432,585,8,30,25,8,15.12,4.15,12,4,14,2,9,3,2544,2150,909,1879,238,624,488,669,302,1196,537,241,119,375,607
5,232,27,10,16.44,7.17,11,7,18,3,5,5,2555,2212,914,2071,244,704,483,687,363,1271,552,265,176,426,650,12,209,23,11,5.63,2.24,14,4,11,4,8,4,2290,2158,766,1692,217,628,541,718,297,1140,418,146,83,397,619
4,314,26,9,16.78,8.19,14,4,18,1,6,4,2750,2431,977,2136,146,433,650,929,532,1437,458,259,95,515,683,13,173,23,13,9.1,4.62,9,7,13,5,6,5,2677,2479,890,2058,296,819,601,847,407,1384,447,250,271,517,604
