,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
9,American NCAA,33,21,12,0.636,-1.87,-4,10,4,11,4,10,7,2140,2049,,,698,1586,0.44,260,638,0.408,484,655,0.739,321,1064,390,152,87,458,587
12,Arizona NCAA,34,19,15,0.559,14.55,10.22,8,10,11,6,6,7,2443,2276,,1375,843,1765,0.478,221,566,0.39,536,716,0.749,281,1052,526,189,120,414,556
16,Arkansas NCAA,35,23,12,0.657,12.48,6.73,9,7,15,1,2,7,2593,2392,,1405,936,2001,0.468,207,607,0.341,514,758,0.678,446,1274,505,241,182,531,662
19,Austin Peay NCAA,35,24,11,0.686,-2.21,-5.24,16,4,13,1,9,8,2590,2477,,,855,1917,0.446,273,715,0.382,607,850,0.714,362,1107,501,335,75,440,616
21,Baylor NCAA,32,21,11,0.656,11.46,5.75,9,7,12,4,6,4,2601,2396,,,899,1979,0.454,275,727,0.378,528,711,0.743,384,1196,388,237,138,403,665
22,Belmont NCAA,34,25,9,0.735,-0.12,-3.44,14,2,14,1,9,5,2714,2497,,1380,938,2078,0.451,357,979,0.365,481,689,0.698,424,1248,587,290,65,498,626
25,Boise State NCAA,34,25,9,0.735,1.6,-2.07,12,4,11,5,12,3,2767,2567,,,994,1956,0.508,271,690,0.393,508,768,0.661,335,1218,605,215,80,534,591
30,Brigham Young NCAA,35,27,8,0.771,11.82,1.33,14,2,16,0,8,5,2580,2213,,1405,906,1970,0.46,285,764,0.373,483,737,0.655,365,1351,587,207,135,492,618
34,Butler NCAA,34,30,4,0.882,13,2.64,16,2,14,1,11,2,2339,1985,,,776,1729,0.449,319,839,0.38,468,635,0.737,308,1016,445,221,83,352,588
36,Cal State Fullerton NCAA,33,24,9,0.727,5.64,-3.06,12,4,11,3,9,5,2700,2398,,1325,974,2060,0.473,285,741,0.385,467,665,0.702,391,1182,505,296,51,445,629
55,Clemson NCAA,34,24,10,0.706,18.05,9.08,10,6,14,2,7,5,2693,2372,,,1000,2191,0.456,271,728,0.372,422,677,0.623,536,1305,535,334,185,505,664
63,Connecticut NCAA,33,24,9,0.727,15.54,6.76,13,5,16,1,7,4,2556,2266,,,868,1880,0.462,168,465,0.361,652,905,0.72,449,1383,488,189,285,451,506
64,Coppin State NCAA,37,16,21,0.432,-14.51,-6.2,7,9,5,5,4,14,2212,2443,,1505,775,1940,0.399,147,466,0.315,515,721,0.714,409,1158,347,261,78,539,693
65,Cornell NCAA,28,22,6,0.786,0.76,-4.74,14,0,12,1,10,4,2136,1917,,1125,758,1562,0.485,228,558,0.409,392,515,0.761,258,939,427,170,88,381,510
68,Davidson NCAA,36,29,7,0.806,13.93,1.66,20,0,12,1,11,3,2803,2274,,,1032,2199,0.469,328,901,0.364,411,573,0.717,417,1302,615,290,114,426,654
75,Drake NCAA,33,28,5,0.848,14.08,4.15,15,3,14,1,10,3,2440,2050,,1330,816,1829,0.446,310,840,0.369,498,656,0.759,399,1128,485,252,85,390,492
77,Duke NCAA,34,28,6,0.824,21.52,9.28,13,3,15,1,6,2,2830,2361,,1365,964,2084,0.463,308,816,0.377,594,852,0.697,426,1255,497,295,133,462,654
98,George Mason NCAA,34,23,11,0.676,6.07,-0.75,12,6,13,1,5,7,2356,2124,,,827,1778,0.465,205,591,0.347,497,707,0.703,340,1170,445,189,108,406,525
100,Georgetown NCAA,34,28,6,0.824,18.73,7.23,15,3,16,0,8,4,2367,1976,,1370,855,1744,0.49,269,701,0.384,388,593,0.654,335,1190,527,236,163,458,600
104,Georgia NCAA,34,17,17,0.5,7.24,7.03,4,12,11,5,2,8,2314,2290,,,840,1956,0.429,204,619,0.33,430,633,0.679,451,1295,396,228,116,505,612
