,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
105,Gonzaga NCAA,33,25,8,0.758,14.81,2.15,13,1,13,1,7,3,2524,2106,,1340,892,1838,0.485,220,586,0.375,520,730,0.712,369,1235,479,253,153,473,584
123,Indiana NCAA,33,25,8,0.758,15.78,6.08,14,4,17,2,7,3,2476,2156,,1335,839,1814,0.463,221,633,0.349,577,760,0.759,386,1247,436,233,125,449,575
133,Kansas State NCAA,33,21,12,0.636,15.79,7.79,10,6,14,2,3,5,2574,2274,,1330,916,2067,0.443,210,662,0.317,532,774,0.687,539,1362,511,249,113,501,666
134,Kansas NCAA,40,37,3,0.925,26.9,8.2,13,3,19,0,8,3,3221,2460,,,1176,2314,0.508,271,683,0.397,598,852,0.702,482,1547,721,356,235,529,706
135,Kent State NCAA,35,28,7,0.8,7.47,0.41,13,3,16,0,8,5,2412,2165,,1405,839,1809,0.464,202,551,0.367,532,745,0.714,385,1166,485,300,134,516,653
136,Kentucky NCAA,31,18,13,0.581,9.19,7.09,12,4,14,4,4,6,2124,2034,,1260,735,1566,0.469,182,493,0.369,472,644,0.733,301,1038,395,206,149,490,586
150,Louisville NCAA,36,27,9,0.75,19,8,14,4,15,2,8,3,2611,2215,,1445,932,2011,0.463,272,778,0.35,475,734,0.647,413,1338,542,289,178,491,659
157,Marquette NCAA,35,25,10,0.714,18.62,8.09,11,7,15,2,5,5,2658,2269,,1410,929,2082,0.446,246,697,0.353,554,785,0.706,474,1287,515,325,132,451,733
159,Maryland-Baltimore County NCAA,33,24,9,0.727,0.06,-4.53,13,3,13,1,9,7,2450,2258,,1335,869,1928,0.451,248,637,0.389,464,640,0.725,371,1126,500,209,114,318,537
164,Memphis NCAA,40,38,2,0.95,23.73,5.76,16,0,19,1,10,0,3196,2477,,1610,1143,2454,0.466,302,865,0.349,608,991,0.614,565,1620,637,337,244,470,691
166,Miami (FL) NCAA,34,23,11,0.676,12.38,7.13,8,8,14,2,4,6,2542,2309,,1370,867,1985,0.437,236,613,0.385,572,766,0.747,433,1293,451,202,157,454,638
168,Michigan State NCAA,36,27,9,0.75,16.32,7.68,12,6,17,0,4,6,2564,2253,,1440,949,1976,0.48,179,483,0.371,487,661,0.737,440,1330,631,208,152,490,665
173,Mississippi State NCAA,34,23,11,0.676,13.42,5.74,12,4,12,3,7,4,2489,2228,,1375,885,1922,0.46,235,703,0.334,484,749,0.646,410,1385,448,199,267,509,568
174,Mississippi Valley State NCAA,33,17,16,0.515,-15.28,-9.5,12,6,8,4,6,8,2036,2174,,1325,698,1755,0.398,147,436,0.337,493,727,0.678,389,1107,379,206,90,473,582
184,Mount St. Mary's NCAA,34,19,15,0.559,-3.59,-5.12,11,7,8,7,10,7,2353,2301,,1365,822,1856,0.443,204,565,0.361,505,718,0.703,345,1152,437,246,121,486,671
188,Nevada-Las Vegas NCAA,35,27,8,0.771,10.23,4.02,12,4,20,2,6,5,2440,2181,,,844,1999,0.422,264,796,0.332,488,653,0.747,356,1209,510,278,106,379,605
202,North Carolina NCAA,39,36,3,0.923,24.17,8.12,14,2,14,2,13,0,3454,2828,,1580,1250,2564,0.488,216,580,0.372,738,975,0.757,605,1695,656,318,174,560,658
211,Notre Dame NCAA,33,25,8,0.758,16.15,7.03,14,4,17,0,5,4,2608,2297,,1325,914,2015,0.454,274,677,0.405,506,686,0.738,436,1371,608,205,125,429,497
216,Oklahoma NCAA,35,23,12,0.657,11.97,7.85,9,7,14,3,4,6,2378,2234,,1415,831,1880,0.442,220,632,0.348,496,728,0.681,391,1240,436,226,135,451,595
218,Oral Roberts NCAA,33,24,9,0.727,5.71,-0.26,16,2,12,1,8,6,2282,2047,,1330,785,1783,0.44,223,604,0.369,489,730,0.67,371,1182,445,206,132,431,554
220,Oregon NCAA,32,18,14,0.563,11.68,7.65,9,9,12,3,5,7,2450,2321,,1295,858,1788,0.48,279,711,0.392,455,656,0.694,327,1093,475,148,81,402,586
225,Pittsburgh NCAA,37,27,10,0.73,15.62,7.84,10,8,16,2,5,7,2731,2410,,1490,997,2185,0.456,225,671,0.335,512,768,0.667,533,1399,578,251,125,445,598
226,Portland State NCAA,33,23,10,0.697,1.72,-3.01,14,2,13,1,8,7,2438,2245,,1335,846,1822,0.464,294,749,0.393,452,668,0.677,381,1129,521,231,108,484,591
231,Purdue NCAA,34,25,9,0.735,13.1,5.9,15,3,16,2,6,5,2367,2122,,,806,1900,0.424,253,679,0.373,502,705,0.712,389,1124,451,286,147,436,671
243,Saint Joseph's NCAA,34,21,13,0.618,9.63,3.98,9,7,8,5,9,6,2484,2292,,1370,859,1800,0.477,247,640,0.386,519,715,0.726,337,1086,502,242,154,432,598
245,Saint Mary's (CA) NCAA,32,25,7,0.781,11.39,0.36,12,2,15,1,6,5,2421,2037,,1295,845,1843,0.458,254,706,0.36,477,722,0.661,385,1215,468,230,169,439,557
250,San Diego NCAA,36,22,14,0.611,3.39,1.45,11,3,13,5,7,6,2365,2296,,,868,1925,0.451,177,520,0.34,452,673,0.672,384,1206,476,250,113,538,629
256,Siena NCAA,34,23,11,0.676,4.06,-1.62,13,5,13,4,8,6,2613,2420,,1375,928,2058,0.451,239,626,0.382,518,752,0.689,390,1148,489,320,119,385,526
257,South Alabama NCAA,33,26,7,0.788,7.76,-1.21,16,2,17,1,7,4,2478,2158,,1330,840,1774,0.474,220,607,0.362,578,821,0.704,404,1221,509,201,100,457,569
263,Southern California NCAA,33,21,12,0.636,13.89,8.59,11,7,10,5,7,4,2277,2102,,1335,820,1710,0.48,184,476,0.387,453,661,0.685,305,1106,409,188,145,482,530
272,Stanford NCAA,36,28,8,0.778,16.31,6.95,13,5,16,1,7,5,2553,2216,,1460,901,2008,0.449,199,544,0.366,552,795,0.694,478,1409,525,158,187,442,613
277,Temple NCAA,34,21,13,0.618,8.16,4.57,11,5,10,3,7,5,2457,2335,,,857,1829,0.469,266,721,0.369,477,645,0.74,302,1108,510,214,148,432,601
281,Tennessee NCAA,36,31,5,0.861,18.41,7.84,14,2,16,0,9,2,2946,2519,,,1035,2258,0.458,312,875,0.357,564,856,0.659,501,1358,637,334,119,474,749
283,Texas A&M NCAA,36,25,11,0.694,16.2,7.46,8,8,16,4,4,5,2548,2216,,,909,1945,0.467,211,588,0.359,519,820,0.633,424,1402,486,158,145,458,611
284,Texas-Arlington NCAA,33,21,12,0.636,-2.87,-4.62,7,9,14,3,4,8,2422,2274,,,868,1820,0.477,201,577,0.348,485,741,0.655,352,1249,467,218,87,565,649
292,Texas NCAA,38,31,7,0.816,18.13,8.59,13,3,17,1,7,3,2868,2467,,,1032,2285,0.452,309,800,0.386,495,725,0.683,496,1448,501,228,198,359,629
298,UCLA NCAA,39,35,4,0.897,21.71,7.71,16,2,16,2,9,1,2867,2300,,1565,1029,2164,0.476,214,612,0.35,595,813,0.732,492,1432,562,285,167,491,569
302,Vanderbilt NCAA,34,26,8,0.765,10.96,5.54,10,6,19,0,4,6,2721,2537,,1395,928,1995,0.465,303,760,0.399,562,765,0.735,359,1197,606,207,118,494,623
304,Villanova NCAA,35,22,13,0.629,11,7.69,9,9,13,3,4,7,2547,2431,,1400,868,2013,0.431,242,703,0.344,569,783,0.727,457,1257,466,283,98,503,727
311,Washington State NCAA,35,26,9,0.743,16.35,6.35,11,7,9,4,10,3,2325,1975,,,815,1716,0.475,214,581,0.368,481,661,0.728,274,1044,482,218,102,358,534
314,West Virginia NCAA,37,26,11,0.703,17.97,7.16,11,7,13,2,4,5,2769,2352,,1500,983,2169,0.453,264,743,0.355,539,782,0.689,453,1332,571,257,188,413,710
317,Western Kentucky NCAA,36,29,7,0.806,9.34,0.24,16,2,13,1,10,3,2785,2403,,,993,2106,0.472,270,687,0.393,529,755,0.701,455,1262,458,288,135,514,768
321,Winthrop NCAA,34,22,12,0.647,3.61,-1.45,10,4,12,3,6,6,2205,1990,,1365,795,1814,0.438,217,586,0.37,398,673,0.591,393,1195,435,284,124,439,591
322,Wisconsin NCAA,36,31,5,0.861,19.59,6.73,16,2,16,2,10,2,2421,1958,,1440,841,1872,0.449,212,596,0.356,527,747,0.705,419,1292,455,221,120,438,517
326,Xavier NCAA,37,30,7,0.811,17.17,5.47,14,2,16,1,7,4,2780,2347,,1485,936,1973,0.474,282,721,0.391,626,836,0.749,412,1322,564,206,125,480,643
