,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
132,Iona NCAA,33,17,16,0.515,-4.78,-5.5,12,6,8,3,5,9,2532,2508,,1445,887,2039,0.435,191,603,0.317,578,848,0.682,402,1314,523,175,140,418,578
212,North Carolina Central NCAA,34,18,16,0.529,-11.53,-11.24,10,6,10,2,4,12,2429,2266,,1445,916,2133,0.429,270,800,0.338,484,694,0.697,379,1278,466,260,151,345,580
217,North Dakota State NCAA,35,19,16,0.543,-4.01,-2.07,9,7,10,3,4,9,2556,2541,,1250,807,1914,0.422,324,883,0.367,322,418,0.77,280,1041,428,208,128,386,587
98,Florida NCAA,36,20,16,0.556,15.42,11.22,9,9,9,6,5,6,2440,2289,,1200,822,1771,0.464,241,647,0.372,335,482,0.695,233,1009,398,171,87,380,485
30,Bradley NCAA,35,20,15,0.571,-0.08,-0.9,9,9,10,6,5,8,2329,2285,,1250,785,1819,0.432,259,749,0.346,433,614,0.705,290,1055,381,196,65,372,537
231,Ohio State NCAA,35,20,15,0.571,13.89,11,8,12,12,6,4,7,2419,2318,,1375,940,1995,0.471,229,642,0.357,397,543,0.731,304,1179,374,188,75,404,653
22,Baylor NCAA,34,20,14,0.588,13.38,9.26,10,8,13,5,5,6,2442,2302,,1405,839,1931,0.434,264,774,0.341,477,650,0.734,328,1215,494,206,85,438,623
159,Louisville NCAA,34,20,14,0.588,17.28,11.04,10,8,14,4,5,6,2536,2324,,1400,823,2026,0.406,264,756,0.349,388,585,0.663,418,1365,439,197,160,408,580
234,Oklahoma NCAA,34,20,14,0.588,15.3,12.21,7,11,11,4,5,7,2423,2318,,1250,800,1728,0.463,203,633,0.321,472,636,0.742,310,1091,465,185,164,384,536
275,Seton Hall NCAA,34,20,14,0.588,10.25,8.34,9,9,11,4,3,8,2508,2443,,1530,958,2126,0.451,295,840,0.351,450,624,0.721,361,1307,501,290,162,442,665
300,Syracuse NCAA,34,20,14,0.588,13.73,10.09,10,8,13,6,6,4,2370,2246,,1290,710,1681,0.422,198,566,0.35,520,698,0.745,285,1039,325,199,46,423,630
92,Fairleigh Dickinson NCAA,35,21,14,0.6,-6.09,-7.24,12,6,13,4,7,9,2620,2515,,1400,903,2061,0.438,225,703,0.32,596,875,0.681,392,1151,445,309,55,445,758
185,Mississippi NCAA,33,20,13,0.606,12.32,8.13,10,8,11,5,6,5,2485,2347,,1330,893,1938,0.461,285,751,0.379,369,515,0.717,335,1170,467,196,101,358,528
182,Minnesota NCAA,36,22,14,0.611,12.52,11.27,9,11,14,3,2,9,2543,2498,,1320,849,1800,0.472,251,723,0.347,365,552,0.661,196,957,519,249,101,336,488
295,St. John's (NY) NCAA,34,21,13,0.618,7.88,5.5,8,10,11,4,4,7,2623,2542,,1320,885,2035,0.435,254,724,0.351,493,698,0.706,430,1246,413,221,94,402,598
246,Prairie View NCAA,35,22,13,0.629,-7.29,-9.17,17,1,11,0,9,12,2627,2547,,1345,889,2011,0.442,308,840,0.367,390,518,0.753,369,1191,555,242,94,413,659
263,Saint Louis NCAA,36,23,13,0.639,5.06,2.23,10,8,15,2,4,8,2399,2297,,1375,888,2021,0.439,240,741,0.324,492,697,0.706,361,1213,459,235,132,423,638
264,Saint Mary's (CA) NCAA,34,22,12,0.647,12.58,4.4,11,5,14,3,5,5,2463,2185,,1290,775,1872,0.414,269,817,0.329,350,492,0.711,305,1051,434,207,94,440,621
102,Gardner-Webb NCAA,35,23,12,0.657,-2.61,-4.43,11,6,13,0,8,9,2718,2468,,1555,911,2120,0.43,272,819,0.332,658,1018,0.646,496,1483,521,306,124,604,790
133,Iowa State NCAA,35,23,12,0.657,18.07,9.3,9,9,12,4,5,6,2692,2385,,1265,796,1809,0.44,266,719,0.37,358,519,0.69,284,1081,402,182,75,447,615
134,Iowa NCAA,35,23,12,0.657,14.27,9.84,10,10,14,4,4,6,2740,2585,,1320,765,1735,0.441,235,696,0.338,459,640,0.717,346,1117,452,215,80,536,602
238,Oregon NCAA,38,25,13,0.658,13.95,6.13,10,8,13,4,5,7,2661,2364,,1340,937,2039,0.46,281,735,0.382,363,563,0.645,324,1188,536,202,117,392,590
12,Arizona State NCAA,34,23,11,0.676,10.28,6.04,12,6,13,3,6,5,2638,2494,,1380,881,1997,0.441,272,799,0.34,539,757,0.712,282,1250,426,199,114,466,696
170,Maryland NCAA,34,23,11,0.676,16.01,10.09,13,7,15,3,6,5,2429,2228,,1285,752,1710,0.44,180,544,0.331,393,588,0.668,313,980,372,216,86,511,716
183,Mississippi State NCAA,34,23,11,0.676,15.96,9.07,10,8,14,3,5,5,2628,2394,,1385,821,1914,0.429,208,635,0.328,400,539,0.742,333,1183,417,199,164,421,553
221,Northeastern NCAA,34,23,11,0.676,3.95,-0.7,14,4,11,2,8,6,2564,2406,,1325,841,1989,0.423,270,806,0.335,393,580,0.678,346,1191,387,194,136,413,635
347,Wisconsin NCAA,34,23,11,0.676,17.9,11.01,14,6,12,3,8,5,2333,2099,,1375,944,2100,0.45,289,809,0.357,446,620,0.719,264,1120,472,302,111,357,650
62,Colgate NCAA,35,24,11,0.686,1.23,-3.83,13,5,15,1,9,9,2648,2458,,1210,745,1696,0.439,201,588,0.342,414,607,0.682,313,1008,348,192,113,442,579
301,Temple NCAA,33,23,10,0.697,8.17,4.93,13,5,13,2,8,5,2465,2358,,1335,815,1937,0.421,233,715,0.326,501,695,0.721,410,1348,372,209,142,478,631
