,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
168,Mississippi State NCAA,35,27,8,0.771,14.42,7.33,10,6,14,1,7,5,2582,2334,,,943,1965,0.48,192,551,0.348,504,772,0.653,457,1359,566,294,123,583,
170,Mississippi NCAA,31,20,11,0.645,13.61,6.85,9,7,13,1,4,7,2232,1993,,,745,1618,0.46,235,618,0.38,507,687,0.738,334,1031,427,226,57,476,
173,Missouri NCAA,36,24,12,0.667,14.22,6.81,9,7,14,3,4,6,2877,2610,,,1031,2253,0.458,326,834,0.391,489,709,0.69,535,1415,539,264,154,511,
176,Montana NCAA,31,16,15,0.516,-4.2,-1.71,7,7,9,4,4,8,2218,2263,,1240,760,1670,0.455,213,596,0.357,485,721,0.673,306,1047,452,164,120,464,
181,Murray State NCAA,32,19,13,0.594,0.65,-1.94,10,6,11,4,5,8,2514,2349,,,941,2093,0.45,210,652,0.322,422,584,0.723,510,1281,465,258,158,456,
196,North Carolina State NCAA,34,23,11,0.676,15.85,8.17,9,7,14,4,6,5,2565,2304,,1360,863,1910,0.452,278,773,0.36,561,743,0.755,354,1119,547,269,72,452,
197,North Carolina-Wilmington NCAA,33,23,10,0.697,6.15,-0.09,14,4,11,2,9,7,2240,2034,,1330,784,1803,0.435,221,592,0.373,451,655,0.689,374,1136,453,274,104,403,
206,Notre Dame NCAA,33,22,11,0.667,15.7,6.17,10,6,9,4,7,4,2601,2256,,,934,2037,0.459,244,644,0.379,489,690,0.709,436,1351,629,259,163,435,
208,Ohio State NCAA,32,24,8,0.75,16.14,7.26,11,5,15,2,5,5,2362,2078,,,825,1702,0.485,175,466,0.376,537,795,0.675,351,1052,483,193,75,421,
210,Oklahoma State NCAA,32,23,9,0.719,14.39,6.8,10,6,13,2,5,5,2293,2050,,,835,1863,0.448,167,510,0.327,456,708,0.644,481,1279,460,247,110,486,
211,Oklahoma NCAA,36,31,5,0.861,21.04,7.7,13,3,16,0,7,4,2807,2327,,1455,1011,2281,0.443,236,674,0.35,549,716,0.767,543,1439,517,325,134,427,
215,Oregon NCAA,35,26,9,0.743,19.67,6.93,14,4,17,0,5,7,2994,2538,,,1014,2082,0.487,304,721,0.422,662,861,0.769,384,1280,580,261,114,482,
218,Pennsylvania NCAA,32,25,7,0.781,7.96,-1.51,11,3,13,3,10,2,2342,2039,,,815,1701,0.479,266,668,0.398,446,609,0.732,265,1035,561,209,108,421,
219,Pepperdine NCAA,31,22,9,0.71,8.59,3.36,13,1,11,1,7,6,2519,2319,,1265,906,1990,0.455,233,635,0.367,474,661,0.717,410,1176,445,229,159,449,
220,Pittsburgh NCAA,35,29,6,0.829,14.69,4.55,13,3,16,1,7,2,2530,2133,,,928,1974,0.47,220,682,0.323,454,751,0.605,464,1345,590,235,156,498,
244,San Diego State NCAA,33,21,12,0.636,7.69,6.02,7,7,12,3,6,8,2455,2339,,1335,906,1902,0.476,147,409,0.359,496,752,0.66,400,1219,472,225,123,508,
250,Siena NCAA,36,17,19,0.472,-2.74,-3.71,9,9,12,5,3,11,2517,2482,,1480,853,2044,0.417,250,722,0.346,561,754,0.744,402,1361,465,199,149,550,
257,Southern California NCAA,32,22,10,0.688,16.49,8.31,12,6,13,2,9,6,2494,2232,,1295,909,2063,0.441,201,580,0.347,475,686,0.692,455,1231,504,287,129,389,
258,Southern Illinois NCAA,36,28,8,0.778,9.79,1.67,14,4,13,0,9,5,2717,2425,,,976,2115,0.461,220,601,0.366,545,880,0.619,483,1396,547,262,171,493,
