,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
6,Alabama NCAA,29,17,12,0.586,13.36,9.4,7,9,13,2,1,8,2002,1887,,1165,695,1653,0.42,183,568,0.322,429,602,0.713,389,1079,352,187,112,380,527
11,Arizona State NCAA,32,20,12,0.625,15.01,9.27,11,7,12,3,4,6,2464,2257,,,886,1838,0.482,131,404,0.324,561,832,0.674,434,1162,506,173,139,437,626
12,Arizona NCAA,32,28,4,0.875,23.42,8.95,17,1,14,1,11,1,2725,2262,,1300,973,2111,0.461,228,645,0.353,551,777,0.709,479,1374,569,274,136,468,559
18,Auburn NCAA,34,22,12,0.647,12.68,8.34,8,8,13,4,4,5,2408,2235,,,879,1890,0.465,198,573,0.346,452,685,0.66,417,1200,457,269,176,541,561
19,Austin Peay NCAA,31,23,8,0.742,-0.84,-1.98,13,3,14,0,6,7,2204,2101,,1260,758,1648,0.46,192,553,0.347,496,719,0.69,339,1084,424,225,143,476,567
30,Brigham Young NCAA,32,23,9,0.719,13.63,5.29,11,3,13,1,6,5,2299,2032,,1285,765,1654,0.463,194,517,0.375,575,762,0.755,353,1134,428,222,82,436,688
34,Butler NCAA,33,27,6,0.818,9.11,2.23,14,2,13,0,10,5,2229,1986,,1340,786,1655,0.475,274,699,0.392,383,533,0.719,261,923,420,207,59,353,528
41,University of California NCAA,31,22,9,0.71,11.77,7.58,13,5,13,1,7,4,2301,2171,,,847,1819,0.466,198,530,0.374,409,601,0.681,350,1095,487,203,87,433,533
47,Central Michigan NCAA,32,25,7,0.781,6.85,1.79,14,4,12,1,9,5,2553,2346,,1280,864,1714,0.504,224,574,0.39,601,789,0.762,347,1079,504,237,120,577,658
