season,winnerName,winnerSeed,loserName,loserSeed
201314,Wichita State,1,Cal Poly,16
201314,Kentucky,8,Kansas State,9
201314,Saint Louis,5,NC State ,12
201314,Louisville,4,Manhattan,13
201314,Tennessee,11,Umass,6
201314,Mercer,14,Duke,3
201314,Texas,7,Arizona State,10
201314,Michigan,2,Wofford,15
201314,Kentucky,8,Wichita State,1
201314,Louisville,4,Saint Louis,5
201314,Tennessee,11,Mercer,14
201314,Michigan,2,Texas,7
201314,Kentucky,8,Louisville,4
201314,Michigan,2,Tennessee,11
201314,Kentucky,8,Michigan,2
201314,Florida,1,Albany (NY),16
201314,Pitt,9,Colorado,8
201314,Stephen F. Austin,12,VCU,5
201314,UCLA,4,Tulsa,13
201314,Dayton,11,Ohio State,6
201314,Syracuse,3,Western Michigan,14
201314,Stanford,10,New Mexico,7
201314,Kansas,2,Eastern Kentucky,15
201314,Florida,1,Pitt,9
201314,UCLA,4,Stephen F. Austin,12
201314,Dayton,11,Syracuse,3
201314,Stanford,10,Kansas,2
201314,Florida,1,UCLA,4
201314,Dayton,11,Stanford,10
201314,Florida,1,Dayton,11
201314,Virginia,1,Coastal Carolina,16
201314,Memphis,8,George Washington,9
201314,Harvard,12,Cincinnati,5
201314,Michigan State,4,Delaware,13
201314,UNC,6,Providence,11
201314,Iowa State,3,North Carolina Central,14
201314,Uconn,7,St. Joseph’s,10
201314,Vilanova,2,Milwaukee,15
201314,Virginia,1,Memphis,8
201314,Michigan State,4,Harvard,12
201314,Iowa State,3,UNC,6
201314,Uconn,7,Vilanova,2
201314,Michigan State,4,Virginia,1
201314,Uconn,7,Iowa State,3
201314,Uconn,7,Michigan State,4
201314,Arizona,1,Weber State,16
201314,Gonzaga,8,Oklahoma State,9
201314,North Dakota State,12,Oklahoma,5
201314,San Diego State,4,New Mexico State,13
201314,Baylor,6,Nebraska,11
201314,Creighton,3,Louisiana,14
201314,Oregon,7,BYU,10
201314,Wisconsin,2,American ,15
201314,Arizona,1,Gonzaga,8
201314,San Diego State,4,North Dakota State,12
201314,Baylor,6,Creighton,3
201314,Wisconsin,2,Oregon,7
201314,Arizona,1,San Diego State,4
201314,Wisconsin,2,Baylor,6
201314,Wisconsin,2,Arizona,1
201314,Uconn,7,Florida,1
201314,Kentucky,8,Wisconsin,2
201314,Uconn,7,Kentucky,8
