,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
13,Arizona NCAA,34,25,9,0.735,18.79,7.23,12,6,17,1,5,5,2735,2342,,1390,946,1970,0.48,221,580,0.381,622,863,0.721,394,1368,485,164,161,442,621
14,Little Rock NCAA,35,30,5,0.857,7.12,-1.76,17,3,14,0,12,4,2487,2129,,1415,886,1958,0.453,266,693,0.384,449,616,0.729,315,1195,451,230,106,355,640
20,Austin Peay NCAA,36,18,18,0.5,-6.04,-2.98,7,9,7,7,7,9,2740,2765,,1460,945,2049,0.461,223,645,0.346,627,936,0.67,422,1326,479,250,101,502,633
22,Baylor NCAA,34,22,12,0.647,16.13,9.76,10,8,15,5,6,5,2621,2366,,1375,933,2003,0.466,210,572,0.367,545,752,0.725,467,1267,603,269,135,432,660
35,Buffalo NCAA,35,20,15,0.571,1.34,0.9,10,8,10,5,5,9,2709,2634,,1410,915,2096,0.437,263,776,0.339,616,867,0.71,425,1363,441,240,124,475,748
36,Butler NCAA,33,22,11,0.667,16.46,7.55,10,8,13,3,5,5,2638,2344,,1325,918,1969,0.466,236,601,0.393,566,774,0.731,366,1188,468,227,107,335,646
38,Cal State Bakersfield NCAA,33,24,9,0.727,2.58,-5.15,11,3,14,1,7,7,2405,2104,,1330,875,1939,0.451,179,524,0.342,476,726,0.656,414,1263,516,263,165,405,707
45,University of California NCAA,34,23,11,0.676,15.39,7.87,12,6,18,0,4,7,2545,2289,,1375,890,1931,0.461,236,651,0.363,529,806,0.656,386,1349,430,139,159,419,706
54,Chattanooga NCAA,35,29,6,0.829,3.24,-3.46,15,3,13,1,10,4,2652,2364,,1410,897,1963,0.457,262,729,0.359,596,811,0.735,381,1241,504,272,165,437,596
56,Cincinnati NCAA,33,22,11,0.667,15.19,5.25,12,6,14,3,6,6,2418,2090,,1355,851,1980,0.43,252,725,0.348,464,658,0.705,441,1291,508,257,192,363,513
64,Colorado NCAA,34,22,12,0.647,12.04,7.64,10,8,16,1,4,7,2576,2407,,1370,865,2029,0.426,252,647,0.389,594,808,0.735,446,1434,461,177,167,454,638
66,Connecticut NCAA,36,25,11,0.694,15.89,6.28,11,7,14,3,6,4,2631,2285,,1460,944,2078,0.454,255,699,0.365,488,615,0.793,335,1300,489,210,182,385,657
72,Dayton NCAA,33,25,8,0.758,11.34,4.76,14,4,14,3,8,2,2393,2176,,1335,836,1836,0.455,221,643,0.344,500,749,0.668,327,1265,480,196,145,427,626
80,Duke NCAA,36,25,11,0.694,19.23,10.59,11,7,15,3,5,4,2920,2609,,1450,983,2136,0.46,328,851,0.385,626,866,0.723,426,1296,478,226,154,354,603
91,Fairleigh Dickinson NCAA,33,18,15,0.545,-10.9,-8.31,11,7,9,6,9,8,2558,2600,,1335,929,2029,0.458,238,657,0.362,462,663,0.697,347,1108,472,250,87,423,720
