season,winnerName,winnerSeed,loserName,loserSeed
200203,Texas,1,UNC Asheville,16
200203,Purdue,9,LSU,8
200203,Uconn,5,BYU,12
200203,Stanford,4,San Diego,13
200203,Maryland,6,UNC Wilmington,11
200203,Xavier,3,Troy,14
200203,Michigan State,7,Colorado,10
200203,Florida,2,Sam Houston State,15
200203,Texas,1,Purdue,9
200203,Uconn,5,Stanford,4
200203,Maryland,6,Xavier,3
200203,Michigan State,7,Florida,2
200203,Texas,1,Uconn,5
200203,Michigan State,7,Maryland,6
200203,Texas,1,Michigan State,7
200203,Oklahoma,1,South Carolina State,16
200203,California,8,NC State,9
200203,Butler,12,Mississippi State,5
200203,Louisville,4,Austin Peay,13
200203,Oklahoma State,6,Penn,11
200203,Syracuse,3,Manhattan,14
200203,Auburn,10,St. Joseph's,7
200203,Wake Forest,2,ETSU,15
200203,Oklahoma,1,California,8
200203,Butler,12,Louisville,4
200203,Syracuse,3,Oklahoma State,6
200203,Auburn,10,Wake Forest,2
200203,Oklahoma,1,Butler,12
200203,Syracuse,3,Auburn,10
200203,Syracuse,3,Oklahoma,1
200203,Kentucky,1,IUPUI,16
200203,Utah,9,Oregon,8
200203,Wisconsin,5,Weber State,12
200203,Tulsa,13,Dayton,4
200203,Missouri,6,Southern Illinois,11
200203,Marquette,3,Holy Cross,14
200203,Indiana,7,Alabama,10
200203,Pitt,2,Wagner,15
200203,Kentucky,1,Utah,9
200203,Wisconsin,5,Tulsa,13
200203,Marquette,3,Missouri,6
200203,Pitt,2,Indiana,7
200203,Kentucky,1,Wisconsin,5
200203,Marquette,3,Pitt,2
200203,Marquette,3,Kentucky,1
200203,Arizona,1,Vermont,16
200203,Gonzaga,9,Cincinnati,8
200203,Notre Dame,5,Milwaukee,12
200203,Illinois,4,Western Kentucky,13
200203,Central Michigan,11,Creighton,6
200203,Duke,3,Colorado State,14
200203,Arizona State,10,Memphis,7
200203,Kansas,2,Utah State,15
200203,Arizona,1,Gonzaga,9
200203,Notre Dame,5,Illinois,4
200203,Duke,3,Central Michigan,11
200203,Kansas,2,Arizona State,10
200203,Arizona,1,Notre Dame,5
200203,Kansas,2,Duke,3
200203,Kansas,2,Arizona,1
200203,Syracuse,3,Texas,1
200203,Kansas,2,Marquette,3
200203,Syracuse,3,Kansas,2
