,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
2,Akron NCAA,36,23,13,0.639,3.37,-2.01,10,6,11,3,8,8,2403,2171,,1455,823,1969,0.418,258,776,0.332,499,705,0.708,424,1199,446,270,80,490,745
5,Alabama State NCAA,32,22,10,0.688,-6.13,-11.2,16,2,10,1,8,7,2202,2025,,,816,1752,0.466,181,550,0.329,389,614,0.634,358,1130,445,182,153,435,558
9,American NCAA,32,24,8,0.75,-0.05,-5.49,13,1,13,1,11,6,2065,1891,,1290,751,1614,0.465,230,615,0.374,333,514,0.648,302,1046,421,176,79,422,581
11,Arizona State NCAA,35,25,10,0.714,16.7,7.82,11,7,12,3,6,4,2428,2117,,1420,825,1718,0.48,288,778,0.37,490,665,0.737,288,1085,544,201,72,401,557
12,Arizona NCAA,35,21,14,0.6,11.88,8.8,9,9,14,3,2,9,2529,2421,,1405,897,1892,0.474,212,548,0.387,523,709,0.738,387,1183,500,217,104,442,548
24,Binghamton NCAA,32,23,9,0.719,-3.27,-5.62,13,3,12,2,9,6,2239,2156,,1295,778,1764,0.441,192,575,0.334,491,733,0.67,357,1101,383,227,134,431,652
26,Boston College NCAA,34,22,12,0.647,10.36,7.23,9,7,15,4,5,5,2528,2397,,1370,885,2000,0.443,217,649,0.334,541,733,0.738,485,1259,503,208,147,457,614
30,Brigham Young NCAA,33,25,8,0.758,15.12,4.15,12,4,14,2,9,3,2544,2150,,1325,909,1879,0.484,238,624,0.381,488,669,0.729,302,1196,537,241,119,375,607
34,Butler NCAA,32,26,6,0.813,10.07,2.07,15,3,15,2,11,3,2168,1854,,1280,705,1609,0.438,257,731,0.352,501,692,0.724,328,1094,417,193,102,400,568
37,Cal State Northridge NCAA,31,17,14,0.548,2.65,-0.14,11,5,10,2,5,11,2282,2178,,1250,821,1808,0.454,215,609,0.353,425,611,0.696,403,1150,430,276,83,549,683
42,University of California NCAA,33,22,11,0.667,13.3,7.21,11,7,16,2,6,6,2472,2271,,1340,892,1848,0.483,210,492,0.427,478,633,0.755,333,1113,509,159,66,399,560
51,Chattanooga NCAA,35,18,17,0.514,-6.25,-3.13,11,9,13,3,5,10,2657,2687,,1415,877,2002,0.438,289,821,0.352,614,935,0.657,438,1374,477,218,79,551,648
55,Clemson NCAA,32,23,9,0.719,15.56,6.59,9,7,13,3,7,5,2507,2177,,1285,912,1971,0.463,256,684,0.374,427,621,0.688,462,1189,478,298,187,456,575
56,Cleveland State NCAA,37,26,11,0.703,6.97,2.12,12,6,13,2,8,8,2455,2203,,1480,882,2043,0.432,180,578,0.311,511,729,0.701,441,1267,512,320,118,454,680
63,Connecticut NCAA,36,31,5,0.861,22.17,8.57,15,3,14,2,9,1,2819,2313,,1475,996,2102,0.474,165,484,0.341,662,976,0.678,511,1559,567,209,280,458,471
65,Cornell NCAA,31,21,10,0.677,2.71,-4.01,11,3,14,0,5,8,2281,2007,,,821,1736,0.473,241,587,0.411,398,545,0.73,321,1105,482,203,121,398,556
69,Dayton NCAA,35,27,8,0.771,7.16,1.76,11,5,18,0,5,5,2339,2150,,1410,831,1972,0.421,190,579,0.328,487,752,0.648,484,1328,485,227,124,475,672
77,Duke NCAA,37,30,7,0.811,20.1,9.07,11,5,16,1,6,5,2867,2439,,1485,971,2186,0.444,267,766,0.349,658,904,0.728,490,1348,492,311,146,454,671
80,East Tennessee State NCAA,34,23,11,0.676,3.21,-1.87,14,6,11,2,9,6,2657,2383,,,944,2044,0.462,195,590,0.331,574,810,0.709,395,1290,429,287,131,477,622
92,Florida State NCAA,35,25,10,0.714,11.37,7.91,10,6,13,3,8,5,2392,2271,,1410,820,1886,0.435,216,631,0.342,536,739,0.725,399,1253,423,284,202,548,657
105,Gonzaga NCAA,34,28,6,0.824,17.95,3.55,14,0,11,2,9,1,2684,2142,,1370,967,1982,0.488,251,643,0.39,499,696,0.717,345,1276,512,246,174,386,551
