season,winnerName,winnerSeed,loserName,loserSeed
200910,Duke,1,Arkansas-Pine Bluff,16
200910,California,8,Louisville,9
200910,Texas A&M,5,Utah State,12
200910,Purdue,4,Siena,13
200910,Old Dominion,11,Notre Dame,6
200910,Baylor,3,Sam Houston State,14
200910,Saint Mary's,10,Richmond,7
200910,Villanova,2,Robert Morris,15
200910,Duke,1,California,8
200910,Purdue,4,Texas A&M,5
200910,Baylor,3,Old Dominion,11
200910,Saint Mary's,10,Villanova,2
200910,Duke,1,Purdue,4
200910,Baylor,3,Saint Mary's,10
200910,Duke,1,Baylor,3
200910,Kentucky,1,ETSU,16
200910,Wake Forest,9,Texas,8
200910,Cornell,12,Temple,5
200910,Wisconsin,4,Wofford,13
200910,Washington,11,Marquette,6
200910,New Mexico,3,Montana,14
200910,Missouri,10,Clemson,7
200910,West Virginia,2,Morgan State,15
200910,Kentucky,1,Wake Forest,9
200910,Cornell,12,Wisconsin,4
200910,Washington,11,New Mexico,3
200910,West Virginia,2,Missouri,10
200910,Kentucky,1,Cornell,12
200910,West Virginia,2,Washington,11
200910,West Virginia,2,Kentucky,1
200910,Kansas,1,Lehigh,16
200910,Northern Iowa,9,UNLV,8
200910,Michigan State,5,New Mexico State,12
200910,Maryland,4,Houston,13
200910,Tennessee,6,San Diego State,11
200910,Ohio,14,Georgetown,3
200910,Georgia Tech,10,Oklahoma State,7
200910,Ohio State,2,UCSB,15
200910,Northern Iowa,9,Kansas,1
200910,Michigan State,5,Maryland,4
200910,Tennessee,6,Ohio,14
200910,Ohio State,2,Georgia Tech,10
200910,Michigan State,5,Northern Iowa,9
200910,Tennessee,6,Ohio State,2
200910,Michigan State,5,Tennessee,6
200910,Syracuse,1,Vermont,16
200910,Gonzaga,8,Florida State,9
200910,Butler,5,UTEP,12
200910,Murray State,13,Vanderbilt,4
200910,Xavier,6,Minnesota,11
200910,Pitt,3,Oakland,14
200910,BYU,7,Florida,10
200910,Kansas State,2,North Texas,15
200910,Syracuse,1,Gonzaga,8
200910,Butler,5,Murray State,13
200910,Xavier,6,Pitt,3
200910,Kansas State,2,BYU,7
200910,Butler,5,Syracuse,1
200910,Kansas State,2,Xavier,6
200910,Butler,5,Kansas State,2
200910,Duke,1,West Virginia,2
200910,Butler,5,Michigan State,5
200910,Duke,1,Butler,5
