,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
6,Alabama NCAA,33,21,12,0.636,13.76,7.18,9,7,12,3,4,6,2135,1918,,1330,778,1722,0.452,136,470,0.289,443,623,0.711,352,1066,402,239,137,423,607
21,Baylor NCAA,38,30,8,0.789,16.54,8.03,12,6,14,3,8,3,2839,2483,,1525,1004,2148,0.467,259,676,0.383,572,759,0.754,470,1280,570,286,178,522,674
22,Belmont NCAA,35,27,8,0.771,11.81,-1.22,16,2,13,1,10,6,2831,2363,,1410,975,2026,0.481,309,817,0.378,572,779,0.734,401,1151,606,255,78,430,631
30,Brigham Young NCAA,35,26,9,0.743,11.25,1.55,12,4,13,3,8,3,2727,2358,,1400,977,2099,0.465,233,679,0.343,540,771,0.7,381,1223,599,296,154,473,637
44,University of California NCAA,34,24,10,0.706,13.79,4.53,13,5,17,1,5,6,2419,2104,,1360,893,1878,0.476,156,430,0.363,477,641,0.744,341,1095,540,159,106,411,489
55,Cincinnati NCAA,37,26,11,0.703,12.93,6.28,12,6,14,4,7,5,2522,2276,,1500,924,2194,0.421,260,763,0.341,414,643,0.644,489,1225,479,298,170,403,570
62,Colorado State NCAA,32,20,12,0.625,6.58,5.23,8,6,14,1,3,9,2243,2177,,1295,764,1621,0.471,189,473,0.4,526,685,0.768,266,939,389,172,60,408,606
63,Colorado NCAA,36,24,12,0.667,7.91,5.73,11,7,14,2,4,7,2429,2269,,1445,835,1874,0.446,199,572,0.348,560,810,0.691,351,1192,422,210,117,468,614
65,Connecticut NCAA,34,20,14,0.588,12.27,8.07,8,10,13,4,3,7,2336,2193,,1375,858,1900,0.452,185,557,0.332,435,657,0.662,415,1151,457,199,233,418,492
68,Creighton NCAA,35,29,6,0.829,12.92,3.41,14,4,14,2,10,3,2772,2439,,1410,975,1935,0.504,287,677,0.424,535,737,0.726,330,1163,616,169,82,421,592
70,Davidson NCAA,33,25,8,0.758,7.26,-1.68,16,2,13,2,8,5,2571,2238,,1330,879,1969,0.446,255,760,0.336,558,731,0.763,415,1167,455,184,116,388,673
76,Detroit Mercy NCAA,36,22,14,0.611,2.4,-0.01,11,7,13,4,6,8,2597,2432,,1445,903,2008,0.45,165,553,0.298,626,857,0.73,434,1124,463,272,165,450,684
79,Duke NCAA,34,27,7,0.794,17.05,8.4,13,3,13,3,8,1,2628,2334,,1370,874,1915,0.456,274,739,0.371,606,864,0.701,406,1152,423,210,136,415,626
95,Florida State NCAA,35,25,10,0.714,14.53,7.62,12,4,15,2,5,5,2443,2201,,1420,877,1923,0.456,216,611,0.354,473,669,0.707,398,1169,427,265,213,550,653
96,Florida NCAA,37,26,11,0.703,18.25,7.33,10,6,14,2,4,7,2808,2404,,1495,976,2106,0.463,357,939,0.38,499,700,0.713,416,1180,551,233,124,410,575
103,Georgetown NCAA,33,24,9,0.727,16.81,7.69,12,6,15,1,6,5,2278,1959,,1340,811,1743,0.465,186,536,0.347,470,673,0.698,367,1108,451,200,156,417,578
108,Gonzaga NCAA,33,26,7,0.788,13.86,3.25,13,3,15,1,6,4,2436,2086,,1325,823,1740,0.473,215,567,0.379,575,803,0.716,359,1095,455,223,105,433,514
113,Harvard NCAA,31,26,5,0.839,7.84,-1.56,12,2,11,1,12,3,2033,1724,,1245,695,1490,0.466,185,518,0.357,458,613,0.747,262,923,401,184,137,379,473
127,Indiana NCAA,36,27,9,0.75,18.63,7.8,11,7,18,1,5,6,2782,2392,,1440,949,1928,0.492,229,531,0.431,655,858,0.763,383,1130,487,233,115,463,632
128,Iona NCAA,33,25,8,0.758,8.36,-1.82,15,3,10,1,11,4,2736,2400,,1335,1021,2033,0.502,254,656,0.387,440,617,0.713,353,1042,638,241,71,414,559
129,Iowa State NCAA,34,23,11,0.676,13.32,7.32,12,6,16,2,4,7,2490,2286,,1360,847,1888,0.449,293,786,0.373,503,731,0.688,371,1173,484,196,96,419,547
