,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
2,Akron NCAA,33,26,7,0.788,8.11,0.18,14,2,15,1,7,4,2369,2071,,1340,852,1874,0.455,229,689,0.332,436,678,0.643,425,1145,485,231,189,458,577
7,Albany (NY) NCAA,35,24,11,0.686,-0.87,-4.53,9,7,11,4,11,5,2251,2123,,1405,761,1748,0.435,213,575,0.37,516,700,0.737,345,1022,394,192,71,468,564
12,Arizona NCAA,35,27,8,0.771,17.3,7.47,12,6,14,2,7,4,2570,2226,,1405,880,1933,0.455,269,725,0.371,541,722,0.749,393,1172,476,234,134,458,584
22,Belmont NCAA,33,26,7,0.788,10.37,-0.96,14,2,13,0,9,4,2533,2129,,1325,906,1844,0.491,279,729,0.383,442,604,0.732,306,966,516,322,88,440,604
25,Boise State NCAA,32,21,11,0.656,9.44,5.27,9,7,14,1,5,8,2343,2095,,1285,824,1790,0.46,249,637,0.391,446,597,0.747,323,988,423,212,54,385,599
33,Bucknell NCAA,34,28,6,0.824,6.95,-1.96,12,2,14,1,12,4,2277,1966,,1360,818,1807,0.453,157,438,0.358,484,652,0.742,308,1142,455,118,139,321,498
35,Butler NCAA,36,27,9,0.75,10.99,6.08,11,5,14,2,7,4,2495,2299,,1445,869,1931,0.45,239,688,0.347,518,744,0.696,419,1213,465,206,94,474,644
44,University of California NCAA,33,21,12,0.636,10.65,7.77,12,6,11,5,6,5,2218,2123,,1325,833,1875,0.444,134,443,0.302,418,585,0.715,361,1134,468,192,154,417,549
55,Cincinnati NCAA,34,22,12,0.647,14.46,6.93,9,9,13,5,4,5,2262,2006,,1375,791,1963,0.403,230,729,0.316,450,696,0.647,488,1219,415,240,208,432,605
62,Colorado State NCAA,35,26,9,0.743,13.65,5.89,11,5,16,1,6,6,2553,2229,,1405,881,1961,0.449,180,532,0.338,611,855,0.715,493,1297,445,162,74,389,600
63,Colorado NCAA,33,21,12,0.636,11.95,7.95,10,8,12,3,5,7,2230,2098,,1340,775,1788,0.433,178,517,0.344,502,732,0.686,378,1128,328,230,105,439,525
68,Creighton NCAA,36,28,8,0.778,16.44,5.16,13,5,15,2,7,5,2680,2274,,1440,942,1882,0.501,307,742,0.414,489,644,0.759,300,1172,609,174,92,443,588
70,Davidson NCAA,34,26,8,0.765,7.27,-3.45,17,1,12,1,9,4,2490,2110,,1365,837,1813,0.462,256,694,0.369,560,704,0.795,306,1048,473,189,101,371,601
79,Duke NCAA,36,30,6,0.833,21.43,9.54,14,4,16,0,5,4,2778,2350,,1440,960,2033,0.472,270,676,0.399,588,796,0.739,337,1119,515,232,135,383,645
93,Florida Gulf Coast NCAA,37,26,11,0.703,2.76,-2.07,13,5,15,1,6,9,2696,2469,,1495,976,2112,0.462,247,722,0.342,497,736,0.675,412,1226,523,331,139,545,649
96,Florida NCAA,37,29,8,0.784,23.86,6.83,14,4,15,0,7,5,2642,2012,,1480,960,2010,0.478,300,794,0.378,422,623,0.677,381,1179,540,265,120,401,518
103,Georgetown NCAA,32,25,7,0.781,15.84,7.59,14,4,16,1,6,3,2070,1806,,1300,737,1627,0.453,189,536,0.353,407,599,0.679,297,959,474,240,123,407,556
108,Gonzaga NCAA,35,32,3,0.914,20.47,4.18,16,0,15,1,10,1,2696,2095,,1400,961,1934,0.497,226,609,0.371,548,777,0.705,409,1195,530,277,96,393,551
113,Harvard NCAA,30,20,10,0.667,3.95,0.16,11,3,13,1,6,8,2049,1924,,1215,677,1425,0.475,191,480,0.398,504,697,0.723,219,796,392,218,126,399,457
125,Illinois NCAA,36,23,13,0.639,13.23,10.08,8,10,12,4,6,6,2465,2332,,1445,858,2084,0.412,280,873,0.321,469,646,0.726,427,1098,365,245,142,411,648
127,Indiana NCAA,36,29,7,0.806,24.9,8.38,14,4,17,2,7,2,2831,2236,,1451,951,1971,0.482,257,637,0.403,672,904,0.743,439,1270,514,256,130,469,598
128,Iona NCAA,34,20,14,0.588,4.04,-0.02,11,7,11,1,5,9,2733,2595,,1395,956,2106,0.454,283,771,0.367,538,689,0.781,395,1094,523,222,101,421,582
129,Iowa State NCAA,35,23,12,0.657,14.5,6.13,11,7,16,1,4,7,2779,2486,,1420,962,2111,0.456,346,924,0.374,509,696,0.731,422,1238,560,223,97,460,593
136,James Madison NCAA,36,21,15,0.583,-1.73,-2.28,11,7,10,4,4,9,2346,2326,,1450,818,1941,0.421,211,628,0.336,499,714,0.699,365,1064,423,272,166,401,620
137,Kansas State NCAA,35,27,8,0.771,13.53,6.53,14,4,15,1,7,3,2414,2115,,1400,872,2002,0.436,238,658,0.362,432,631,0.685,470,1145,557,247,129,403,631
138,Kansas NCAA,37,31,6,0.838,20.79,7.54,14,4,16,1,7,3,2782,2292,,1505,985,2049,0.481,216,594,0.364,596,809,0.737,399,1354,575,260,247,517,620
