,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
8,Albany (NY) NCAA,34,19,15,0.559,-3.31,-5.22,9,7,10,3,7,11,2239,2174,,1375,765,1733,0.441,163,453,0.36,546,728,0.75,343,1175,376,184,101,428,580
10,American NCAA,33,20,13,0.606,0.69,-3.25,13,5,11,3,9,9,2081,1951,,1325,748,1527,0.49,207,546,0.379,378,535,0.707,232,986,492,198,110,464,567
12,Arizona State NCAA,33,21,12,0.636,13.32,7.41,10,8,16,1,4,7,2486,2291,,1345,836,1852,0.451,268,688,0.39,546,787,0.694,281,1172,471,167,182,377,635
13,Arizona NCAA,38,33,5,0.868,23.36,9.04,15,3,18,0,8,3,2769,2225,,1540,996,2123,0.469,204,561,0.364,573,870,0.659,465,1449,574,223,173,387,630
22,Baylor NCAA,38,26,12,0.684,15.8,10.11,9,9,13,4,5,5,2843,2577,,1540,959,2108,0.455,280,725,0.386,645,949,0.68,525,1456,563,197,202,440,648
31,Brigham Young NCAA,35,23,12,0.657,11.63,5.72,13,5,14,1,5,7,2931,2706,,1425,1012,2186,0.463,177,499,0.355,730,1055,0.692,463,1432,544,251,103,395,690
37,Cal Poly NCAA,34,14,20,0.412,-1.34,1.69,6,10,6,6,3,12,2141,2163,,1360,754,1850,0.408,218,654,0.333,415,603,0.688,377,1096,394,198,93,303,621
56,Cincinnati NCAA,34,27,7,0.794,15.26,5.28,15,3,18,1,7,3,2325,1986,,1360,805,1893,0.425,196,585,0.335,519,733,0.708,457,1224,425,268,188,377,596
60,Coastal Carolina NCAA,34,21,13,0.618,-5.21,-6.31,11,5,14,5,6,7,2458,2326,,1375,861,1969,0.437,212,628,0.338,524,758,0.691,434,1336,362,216,96,473,668
64,Colorado NCAA,35,23,12,0.657,10.8,8.8,10,8,16,2,5,6,2457,2387,,1415,814,1871,0.435,181,569,0.318,648,903,0.718,401,1305,397,207,115,466,576
66,Connecticut NCAA,40,32,8,0.8,17.23,8.63,12,6,14,3,6,4,2873,2529,,1610,971,2163,0.449,287,741,0.387,644,829,0.777,387,1389,488,281,230,457,719
69,Creighton NCAA,35,27,8,0.771,18.03,7.17,14,4,16,0,7,4,2756,2376,,1400,957,1927,0.497,356,859,0.414,486,654,0.743,293,1192,614,139,49,342,618
72,Dayton NCAA,37,26,11,0.703,10.55,5.34,10,6,13,4,7,4,2671,2478,,1490,935,2018,0.463,243,644,0.377,558,819,0.681,414,1289,485,222,96,442,736
74,Delaware NCAA,35,25,10,0.714,2.73,-1.1,14,2,10,2,11,7,2782,2648,,1405,936,2108,0.444,252,727,0.347,658,925,0.711,385,1264,377,208,123,334,660
80,Duke NCAA,35,26,9,0.743,19.51,8.48,13,5,17,0,4,5,2745,2359,,1405,929,2020,0.46,316,801,0.395,571,783,0.729,410,1207,509,244,105,328,681
