,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
85,Eastern Kentucky NCAA,34,24,10,0.706,0.6,-4.34,11,5,12,2,8,6,2677,2411,,1365,881,1810,0.487,315,807,0.39,600,798,0.752,243,884,498,299,67,359,707
97,Florida NCAA,39,36,3,0.923,20.69,8.54,18,0,17,0,10,2,2727,2253,,1560,945,2056,0.46,255,711,0.359,582,871,0.668,437,1385,509,274,118,418,611
103,George Washington NCAA,33,24,9,0.727,10.6,4.42,11,5,14,1,6,5,2415,2211,,1324,839,1812,0.463,187,514,0.364,550,845,0.651,394,1229,461,235,135,428,595
109,Gonzaga NCAA,36,29,7,0.806,15.56,5.36,15,3,15,0,8,4,2761,2372,,1421,972,1963,0.495,255,643,0.397,562,793,0.709,343,1291,525,235,142,419,659
115,Harvard NCAA,32,27,5,0.844,10.79,-0.47,13,1,11,1,11,3,2343,1952,,1300,786,1691,0.465,184,478,0.385,587,811,0.724,335,1092,449,243,155,365,566
132,Iowa State NCAA,36,28,8,0.778,18.52,9.88,11,7,15,1,4,6,2989,2678,,1465,1062,2239,0.474,301,840,0.358,564,814,0.693,375,1387,663,214,106,380,623
133,Iowa NCAA,33,20,13,0.606,18.58,7.43,9,9,13,4,4,6,2689,2321,,1339,919,1984,0.463,191,546,0.35,660,898,0.735,447,1332,532,234,164,371,603
140,Kansas State NCAA,33,20,13,0.606,12.14,8.47,10,8,15,2,2,7,2280,2159,,1335,798,1840,0.434,198,598,0.331,486,741,0.656,406,1180,503,205,98,404,714
141,Kansas NCAA,35,25,10,0.714,20.25,11.4,14,4,14,1,5,6,2764,2454,,1410,955,1937,0.493,189,556,0.34,665,935,0.711,416,1336,523,204,196,463,732
144,Kentucky NCAA,40,29,11,0.725,18.07,9.9,12,6,16,2,5,5,2992,2665,,1615,1004,2213,0.454,203,611,0.332,781,1146,0.682,562,1607,446,189,236,469,732
154,Louisiana NCAA,35,23,12,0.657,2.91,-0.28,11,7,13,2,6,9,2835,2633,,1430,988,2127,0.465,246,670,0.367,613,913,0.671,464,1329,472,250,144,459,734
158,Louisville NCAA,37,31,6,0.838,24.69,4.8,15,3,16,2,9,2,2998,2262,,1480,1051,2232,0.471,288,783,0.368,608,920,0.661,503,1396,568,370,173,391,723
163,Manhattan NCAA,33,25,8,0.758,6.04,-0.9,15,5,9,3,12,4,2540,2311,,1350,828,1837,0.451,208,564,0.369,676,1019,0.663,415,1234,433,273,200,468,799
171,Massachusetts NCAA,33,24,9,0.727,10.61,6,10,6,11,2,7,4,2502,2350,,1325,900,1962,0.459,177,512,0.346,525,769,0.683,404,1267,499,226,178,446,649
173,Memphis NCAA,34,24,10,0.706,13.02,7.14,12,6,15,2,5,5,2614,2397,,1370,958,2009,0.477,182,552,0.33,516,801,0.644,427,1268,591,294,159,449,612
174,Mercer NCAA,36,27,9,0.75,5.33,-3.42,14,4,17,1,9,7,2836,2410,,1492,982,2061,0.476,290,756,0.384,582,791,0.736,407,1338,586,211,147,420,665
177,Michigan State NCAA,38,29,9,0.763,19.35,9.38,12,6,12,4,7,3,2870,2491,,1535,1024,2159,0.474,307,783,0.392,515,728,0.707,395,1400,637,259,174,430,721
178,Michigan NCAA,37,28,9,0.757,18.52,9.65,15,3,13,2,7,4,2736,2408,,1490,945,1982,0.477,319,794,0.402,527,691,0.763,316,1160,525,191,88,336,527
180,Milwaukee NCAA,35,21,14,0.6,-1.53,-0.44,7,9,7,6,10,6,2465,2469,,1415,808,1888,0.428,245,754,0.325,604,823,0.734,343,1182,476,200,85,469,630
193,Mount St. Mary's NCAA,33,16,17,0.485,-6.32,-4.44,9,7,10,3,6,13,2504,2566,,1330,843,1923,0.438,296,834,0.355,522,706,0.739,328,1053,389,232,99,388,616
197,Nebraska NCAA,32,19,13,0.594,10.13,8.5,11,7,15,1,3,8,2137,2085,,1280,719,1684,0.427,188,564,0.333,511,713,0.717,278,1059,304,222,99,349,660
201,New Mexico State NCAA,36,26,10,0.722,6.16,-2.58,12,4,14,1,8,7,2771,2415,,1455,936,1918,0.488,194,523,0.371,705,1027,0.686,428,1346,474,169,224,457,614
202,New Mexico NCAA,34,27,7,0.794,12.72,4.84,15,3,13,2,8,2,2516,2248,,1380,847,1851,0.458,197,593,0.332,625,863,0.724,360,1296,522,162,172,361,577
210,North Carolina Central NCAA,34,28,6,0.824,3.97,-8.03,16,1,14,0,11,5,2513,2023,,1380,847,1832,0.462,184,545,0.338,635,872,0.728,403,1197,500,262,137,389,660
212,North Carolina State NCAA,36,22,14,0.611,9.02,7.44,9,9,13,6,6,6,2561,2504,,1460,950,2060,0.461,160,525,0.305,501,762,0.657,422,1239,466,173,149,375,670
214,North Carolina NCAA,34,24,10,0.706,15.24,8.42,13,5,15,3,6,5,2604,2372,,1370,953,2057,0.463,146,434,0.336,552,882,0.626,483,1350,523,249,161,406,690
215,North Dakota State NCAA,33,26,7,0.788,6.31,-0.02,12,2,12,1,10,5,2492,2164,,1325,888,1759,0.505,176,483,0.364,540,719,0.751,307,1081,382,206,145,325,588
229,Ohio State NCAA,35,25,10,0.714,17.84,8.12,10,8,17,3,5,5,2432,2092,,1410,843,1875,0.45,200,617,0.324,546,793,0.689,346,1187,421,270,157,394,577
231,Oklahoma State NCAA,34,21,13,0.618,19.02,8.34,8,10,13,3,3,7,2728,2365,,1391,898,1941,0.463,239,656,0.364,693,964,0.719,332,1203,463,260,160,356,680
232,Oklahoma NCAA,33,23,10,0.697,14.91,8.97,12,6,14,3,5,4,2704,2508,,1335,909,2034,0.447,285,752,0.379,601,802,0.749,398,1242,483,224,108,376,625
236,Oregon NCAA,34,24,10,0.706,15.75,8.05,10,8,15,3,5,5,2783,2521,,1385,928,1977,0.469,259,666,0.389,668,865,0.772,356,1159,492,263,113,389,725
241,Pittsburgh NCAA,36,26,10,0.722,17.46,7.54,11,7,13,5,7,2,2586,2229,,1466,895,1944,0.46,183,522,0.351,613,861,0.712,432,1291,563,254,107,373,620
247,Providence NCAA,35,23,12,0.657,11.37,7.85,10,8,13,3,5,6,2566,2443,,1450,849,1984,0.428,218,628,0.347,650,831,0.782,432,1278,476,194,173,406,603
260,Saint Joseph's NCAA,34,24,10,0.706,9.05,5.08,11,5,11,4,8,4,2433,2298,,1365,840,1789,0.47,250,660,0.379,503,780,0.645,319,1218,476,151,154,409,544
261,Saint Louis NCAA,34,27,7,0.794,11.63,4.24,13,3,14,3,11,1,2374,2105,,1375,829,1869,0.444,190,601,0.316,526,755,0.697,345,1231,482,253,138,431,597
266,San Diego State NCAA,36,31,5,0.861,14.95,4.86,16,2,15,1,9,2,2530,2052,,1450,873,2009,0.435,186,519,0.358,598,902,0.663,470,1364,356,274,183,355,600
294,Stanford NCAA,36,23,13,0.639,13.42,9,10,8,12,4,6,5,2616,2457,,1445,896,1950,0.459,208,571,0.364,616,877,0.702,347,1257,415,191,154,409,655
295,Stephen F. Austin NCAA,35,32,3,0.914,4.82,-6.76,18,0,15,0,14,2,2661,2219,,1410,922,1992,0.463,248,718,0.345,569,800,0.711,451,1186,574,257,104,393,730
298,Syracuse NCAA,34,28,6,0.824,16.05,7.25,14,4,16,2,8,2,2311,2012,,1370,819,1873,0.437,167,505,0.331,506,715,0.708,446,1200,402,271,171,306,546
303,Tennessee NCAA,37,24,13,0.649,17.34,7.84,11,7,14,3,4,7,2672,2283,,1490,927,2048,0.453,205,631,0.325,613,852,0.719,501,1424,472,192,172,388,617
311,Texas Southern NCAA,34,19,15,0.559,-8.41,-10.07,12,6,9,2,6,11,2584,2512,,1380,857,1854,0.462,217,603,0.36,653,910,0.718,386,1246,476,155,124,454,561
314,Texas NCAA,35,24,11,0.686,12.67,9.15,11,7,16,2,4,6,2598,2475,,1405,905,2095,0.432,178,545,0.327,610,909,0.671,528,1449,452,199,206,426,669
319,Tulsa NCAA,34,21,13,0.618,6.23,1.17,13,3,11,3,6,7,2471,2299,,1370,835,1899,0.44,197,603,0.327,604,894,0.676,368,1231,427,232,127,394,725
320,UCLA NCAA,37,28,9,0.757,18.4,7.62,12,6,16,2,5,5,3003,2604,,1490,1073,2196,0.489,229,603,0.38,628,839,0.749,368,1308,636,341,111,379,652
327,Villanova NCAA,34,29,5,0.853,18.97,7.5,16,2,15,1,10,2,2651,2261,,1385,870,1907,0.456,304,855,0.356,607,848,0.716,379,1263,523,236,141,406,672
328,Virginia Commonwealth NCAA,35,26,9,0.743,14.55,4.78,12,4,15,0,6,5,2624,2282,,1420,922,2196,0.42,260,744,0.349,520,772,0.674,479,1317,459,391,150,423,686
331,Virginia NCAA,37,30,7,0.811,18.38,7.86,16,2,15,2,7,4,2449,2060,,1486,855,1884,0.454,206,559,0.369,533,792,0.673,379,1312,484,193,150,362,594
336,Weber State NCAA,31,19,12,0.613,-0.92,-4.23,14,6,13,2,5,9,2254,2061,,1260,732,1541,0.475,222,566,0.392,568,767,0.741,265,1065,407,131,123,382,558
341,Western Michigan NCAA,33,23,10,0.697,1.73,-1.45,14,4,13,2,6,7,2373,2235,,1340,779,1684,0.463,195,593,0.329,620,856,0.724,323,1143,376,194,111,464,602
342,Wichita State NCAA,36,35,1,0.972,16.65,1.74,18,0,17,0,12,0,2706,2141,,1445,896,1942,0.461,250,713,0.351,664,916,0.725,419,1381,491,247,184,374,611
345,Wisconsin NCAA,38,30,8,0.789,19.69,10.19,12,6,14,3,8,3,2793,2432,,1525,927,2019,0.459,297,790,0.376,642,861,0.746,337,1266,468,183,127,307,574
346,Wofford NCAA,33,20,13,0.606,-4.32,-5.95,11,5,9,4,8,8,2205,2054,,1325,808,1804,0.448,196,544,0.36,393,592,0.664,352,1090,423,205,54,351,578
349,Xavier NCAA,34,21,13,0.618,11.84,8.14,10,8,15,2,4,6,2442,2316,,1370,869,1850,0.47,174,500,0.348,530,770,0.688,379,1213,497,196,97,421,674
