season,winnerName,winnerSeed,loserName,loserSeed
201415,Villanova,1,Lafayette,16
201415,NC State,8,LSU,9
201415,Northern Iowa,5,Wyoming,12
201415,Louisville,4,UC-Irvine,13
201415,Dayton,11,Providence,6
201415,Oklahoma,3,Albany (NY),14
201415,Michigan State,7,Georgia,10
201415,Virginia,2,Belmont,15
201415,NC State,8,Villanova,1
201415,Louisville,4,Northern Iowa,5
201415,Oklahoma,3,Dayton,11
201415,Michigan State,7,Virginia,2
201415,Louisville,4,NC State,8
201415,Michigan State,7,Oklahoma,3
201415,Michigan State,7,Louisville,4
201415,Kentucky,1,Hampton,16
201415,Cincinnati,8,Purdue,9
201415,West Virginia,5,Buffalo,12
201415,Maryland,4,Valparaiso,13
201415,Butler,6,Texas,11
201415,Notre Dame,3,Northeastern,14
201415,Wichita State,7,Indiana,10
201415,Kansas,2,New Mexico State,15
201415,Kentucky,1,Cincinnati,8
201415,West Virginia,5,Maryland,4
201415,Notre Dame,3,Butler,6
201415,Wichita State,7,Kansas,2
201415,Kentucky,1,West Virginia,5
201415,Notre Dame,3,Wichita State,7
201415,Kentucky,1,Notre Dame,3
201415,Duke,1,Robert Morris,16
201415,San Diego State,8,St. John’s (NY),9
201415,Utah,5,Stephen F. Austin,12
201415,Georgetown,4,Eastern Washington,13
201415,UCLA,11,SMU,6
201415,Alabama-Birmingham,14,Iowa State,3
201415,Iowa ,7,Davidson,10
201415,Gonzaga,2,North Dakota State,15
201415,Duke,1,San Diego State,8
201415,Utah,5,Georgetown,4
201415,UCLA,11,Alabama-Birmingham,14
201415,Gonzaga,2,Iowa ,7
201415,Duke,1,Utah,5
201415,Gonzaga,2,UCLA,11
201415,Duke,1,Gonzaga,2
201415,Wisconsin,1,Coastal Carolina,16
201415,Oregon,8,Oklahoma State,9
201415,Arkansas,5,Wofford,12
201415,UNC,4,Harvard,13
201415,Xavier,6,Ole Miss,11
201415,Georgia State,14,Baylor,3
201415,Ohio State,10,VCU,7
201415,Arizona,2,Texas Southern,15
201415,Wisconsin,1,Oregon,8
201415,UNC,4,Arkansas,5
201415,Xavier,6,Georgia State,14
201415,Arizona,2,Ohio State,10
201415,Wisconsin,1,UNC,4
201415,Arizona,2,Xavier,6
201415,Wisconsin,1,Arizona,2
201415,Duke,1,Michigan State,7
201415,Wisconsin,1,Kentucky,1
201415,Duke,1,Wisconsin,1
