,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force NCAA,31,24,7,0.774,10.2,2.49,12,4,16,0,6,5,1990,1695,,1240,683,1413,0.483,276,684,0.404,348,467,0.745,204,763,445,249,67,335,472
4,Alabama-Birmingham NCAA,31,24,7,0.774,9.64,1.57,12,2,14,1,7,5,2306,2035,,1240,822,1816,0.453,222,647,0.343,440,680,0.647,337,971,482,337,111,395,560
6,Alabama NCAA,31,18,13,0.581,10.79,8.08,10,6,14,4,3,7,2178,2094,,1250,758,1662,0.456,174,505,0.345,488,689,0.708,389,1135,379,195,152,421,433
7,Albany (NY) NCAA,32,21,11,0.656,-0.44,-4.25,13,3,10,3,8,7,2194,2065,,1295,743,1660,0.448,223,589,0.379,485,682,0.711,349,1077,403,209,81,451,606
12,Arizona NCAA,33,20,13,0.606,15.12,10.09,11,7,12,2,4,7,2433,2267,,1345,909,2037,0.446,142,445,0.319,473,667,0.709,453,1140,492,322,125,437,549
16,Arkansas NCAA,32,22,10,0.688,15.01,6.17,10,6,15,1,3,5,2359,2076,,1290,841,1837,0.458,179,533,0.336,498,720,0.692,390,1118,495,266,194,428,541
22,Belmont NCAA,31,20,11,0.645,-3.53,-6.72,15,5,10,2,7,8,2499,2356,,1260,897,1819,0.493,261,692,0.377,444,643,0.691,364,1099,518,240,110,503,612
27,Boston College NCAA,36,28,8,0.778,13.79,6.1,11,5,14,2,9,3,2671,2383,,,949,1958,0.485,211,585,0.361,562,833,0.675,466,1277,639,222,161,472,586
30,Bradley NCAA,33,22,11,0.667,11.78,5.38,11,7,13,1,5,8,2359,2148,,,848,1933,0.439,185,551,0.336,478,666,0.718,419,1241,533,294,151,497,614
33,Bucknell NCAA,32,27,5,0.844,7.29,-2.29,14,0,14,1,11,3,2114,1785,,1290,726,1560,0.465,196,503,0.39,466,670,0.696,308,1032,457,279,55,474,561
43,University of California NCAA,31,20,11,0.645,12.31,8.84,12,6,12,3,7,4,2128,2000,,1265,717,1598,0.449,169,452,0.374,525,716,0.733,301,1002,402,162,83,384,518
64,Connecticut NCAA,34,30,4,0.882,21.22,6.57,14,2,16,0,8,2,2781,2283,,1380,988,2088,0.473,188,514,0.366,617,874,0.706,533,1488,541,225,298,489,531
69,Davidson NCAA,31,20,11,0.645,1.89,-3.04,10,5,14,1,3,9,2403,2137,,,855,1885,0.454,277,751,0.369,416,547,0.761,393,1215,567,151,51,399,570
78,Duke NCAA,36,32,4,0.889,21.77,8.77,14,2,14,1,8,2,2921,2453,,1445,979,2011,0.487,274,709,0.386,689,905,0.761,350,1204,546,337,202,496,621
94,Florida NCAA,39,33,6,0.846,20.21,5.49,10,6,16,2,6,4,3052,2478,,1565,1061,2120,0.5,289,738,0.392,641,862,0.744,421,1402,650,297,207,561,623
99,George Mason NCAA,35,27,8,0.771,12.11,2.77,15,3,12,1,8,5,2429,2102,,,897,1863,0.481,206,579,0.356,429,646,0.664,352,1221,507,249,123,449,529
100,George Washington NCAA,30,27,3,0.9,9.63,-0.33,16,0,15,0,10,1,2360,2026,,,845,1814,0.466,182,511,0.356,488,755,0.646,421,1143,511,278,135,420,553
101,Georgetown NCAA,33,23,10,0.697,13.98,6.92,10,6,11,2,7,6,2177,1944,,1330,787,1682,0.468,223,628,0.355,380,538,0.706,354,1079,514,199,119,381,486
106,Gonzaga NCAA,33,29,4,0.879,12.32,5.02,14,0,17,0,8,2,2643,2402,,,897,1879,0.477,182,500,0.364,667,853,0.782,411,1239,459,234,94,434,625
109,Hampton NCAA,32,16,16,0.5,-10.17,-12.56,10,8,7,7,5,8,2120,2047,,1280,762,1840,0.414,177,561,0.316,419,677,0.619,442,1258,390,241,99,516,658
122,Illinois NCAA,33,26,7,0.788,17.2,6.29,11,5,15,1,5,4,2311,1937,,1320,848,1853,0.458,241,668,0.361,374,582,0.643,403,1179,500,203,79,406,584
124,Indiana NCAA,31,19,12,0.613,12.1,7.36,9,7,10,3,5,7,2231,2084,,1240,797,1730,0.461,276,699,0.395,361,523,0.69,319,1053,466,196,72,446,574
125,Iona NCAA,31,23,8,0.742,6.86,-0.78,13,5,7,4,11,2,2475,2238,,1245,881,1835,0.48,196,488,0.402,517,748,0.691,413,1140,481,239,128,468,576
127,Iowa NCAA,34,25,9,0.735,14.18,6.8,11,5,17,0,4,7,2254,2003,,1380,781,1811,0.431,191,570,0.335,501,706,0.71,372,1285,502,225,167,506,517
135,Kansas NCAA,33,25,8,0.758,20.02,7.6,13,3,14,2,6,2,2480,2024,,1325,912,1923,0.474,205,539,0.38,451,671,0.672,433,1305,589,323,185,516,599
137,Kent State NCAA,34,25,9,0.735,6.27,0,15,3,12,2,8,5,2458,2239,,1375,844,1887,0.447,237,660,0.359,533,745,0.715,377,1130,452,265,82,451,682
138,Kentucky NCAA,35,22,13,0.629,13.12,8.88,9,7,10,5,5,4,2477,2316,,1400,903,2020,0.447,265,758,0.35,406,601,0.676,449,1265,495,206,106,464,595
