,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
7,Albany (NY) NCAA,33,23,10,0.697,-1.6,-4.75,13,3,11,2,11,7,2241,2147,,1330,798,1762,0.453,227,607,0.374,418,579,0.722,364,1112,436,191,82,437,634
12,Arizona NCAA,31,20,11,0.645,16.24,10.76,11,7,11,5,7,4,2417,2247,,1250,846,1770,0.478,172,505,0.341,553,737,0.75,380,1158,511,189,103,427,425
16,Arkansas NCAA,35,21,14,0.6,13.77,8.75,7,9,13,3,2,8,2487,2311,,1405,881,1910,0.461,212,613,0.346,513,730,0.703,392,1233,521,240,221,532,612
22,Belmont NCAA,33,23,10,0.697,-0.39,-4.71,14,4,9,2,10,6,2390,2128,,1330,848,1836,0.462,288,811,0.355,406,587,0.692,373,1228,513,201,105,528,605
26,Boston College NCAA,33,21,12,0.636,13.76,9.21,10,6,14,4,5,6,2453,2303,,1330,842,1763,0.478,196,562,0.349,573,791,0.724,394,1142,483,188,191,455,505
30,Brigham Young NCAA,34,25,9,0.735,11.38,3.95,13,3,17,0,6,7,2654,2347,,,972,1981,0.491,256,617,0.415,454,688,0.66,414,1273,542,205,118,456,662
34,Butler NCAA,36,29,7,0.806,14.34,3.94,13,3,14,2,8,4,2434,2056,,1465,780,1792,0.435,321,871,0.369,553,728,0.76,326,1068,437,195,64,341,688
45,Central Connecticut State NCAA,34,22,12,0.647,-3.63,-6.48,16,2,13,4,9,5,2344,2247,,1365,790,1822,0.434,262,688,0.381,502,688,0.73,401,1180,424,204,115,481,544
65,Creighton NCAA,33,22,11,0.667,12.57,6.24,13,5,12,2,5,8,2220,2011,,,740,1662,0.445,205,607,0.338,535,710,0.754,340,1080,441,210,83,417,552
67,Davidson NCAA,34,29,5,0.853,8.31,-2.26,17,1,13,1,10,3,2765,2336,,,969,2157,0.449,328,888,0.369,499,663,0.753,465,1378,559,272,91,495,602
76,Duke NCAA,33,22,11,0.667,18.85,10.49,8,8,15,4,5,4,2323,2047,,1335,822,1754,0.469,198,520,0.381,481,698,0.689,379,1165,433,241,157,509,577
81,Eastern Kentucky NCAA,33,21,12,0.636,-4.19,-5.28,13,7,11,3,8,8,2151,2089,,,782,1691,0.462,264,758,0.348,323,475,0.68,280,930,477,263,84,446,449
88,Florida A&M NCAA,35,21,14,0.6,-9.73,-7.49,12,6,11,2,6,9,2467,2467,,,846,1881,0.45,209,581,0.36,566,855,0.662,,1291,477,245,63,623,648
92,Florida NCAA,40,35,5,0.875,23.82,7.34,13,3,18,0,5,4,3193,2504,,,1125,2138,0.526,297,727,0.409,646,936,0.69,447,1504,614,266,194,565,626
98,George Washington NCAA,32,23,9,0.719,5.61,0.64,11,5,13,1,6,5,2247,2067,,1280,824,1799,0.458,171,465,0.368,428,611,0.7,389,1090,462,292,142,444,603
99,Georgetown NCAA,37,30,7,0.811,19.62,9.48,13,3,14,3,9,3,2555,2146,,1485,923,1826,0.505,235,635,0.37,474,667,0.711,409,1250,545,192,189,497,609
102,Georgia Tech NCAA,32,20,12,0.625,17.17,9.36,8,8,17,1,1,8,2515,2222,,,935,1909,0.49,201,540,0.372,444,652,0.681,445,1166,491,316,114,503,665
104,Gonzaga NCAA,34,23,11,0.676,12.15,3.77,11,3,12,2,6,5,2668,2383,,1380,933,1932,0.483,230,583,0.395,572,762,0.751,353,1271,492,212,123,473,654
113,Holy Cross NCAA,34,25,9,0.735,3.32,-3.06,13,1,14,1,10,6,2171,1954,,,738,1695,0.435,191,544,0.351,504,687,0.734,386,1091,463,324,123,521,621
120,Illinois NCAA,35,23,12,0.657,14.18,7.09,9,7,14,3,3,6,2245,1997,,,790,1830,0.432,241,691,0.349,424,680,0.624,437,1231,488,205,99,491,604
122,Indiana NCAA,32,21,11,0.656,16.78,8.35,10,6,15,0,3,8,2246,1976,,,783,1755,0.446,252,661,0.381,428,603,0.71,375,1082,424,206,140,396,657
128,Jackson State NCAA,35,21,14,0.6,-12.28,-9.94,12,6,8,2,8,10,2490,2572,,,878,2107,0.417,194,620,0.313,540,759,0.711,470,1250,469,289,107,537,724
133,Kansas NCAA,38,33,5,0.868,22.62,6.86,14,2,16,2,8,2,2978,2344,,1535,1106,2241,0.494,231,584,0.396,535,811,0.66,486,1507,651,350,246,539,718
135,Kentucky NCAA,34,22,12,0.647,17.12,11.41,9,7,14,2,4,6,2496,2302,,,890,1868,0.476,231,650,0.355,485,690,0.703,370,1235,537,201,161,493,547
142,Long Beach State NCAA,32,24,8,0.75,2.24,-2.07,12,2,12,1,9,5,2575,2408,,1280,906,1994,0.454,273,728,0.375,490,698,0.702,410,1171,454,237,91,445,560
148,Louisville NCAA,34,24,10,0.706,16.08,7.69,12,4,16,4,6,2,2433,2144,,,845,1946,0.434,250,751,0.333,493,727,0.678,456,1249,495,251,144,434,698
155,Marquette NCAA,34,24,10,0.706,14.14,6.95,10,6,16,4,6,4,2443,2207,,,851,1951,0.436,217,651,0.333,524,783,0.669,488,1251,475,295,115,496,691
159,Maryland NCAA,34,25,9,0.735,19.06,7.59,10,6,17,3,6,4,2685,2295,,1365,971,2032,0.478,196,509,0.385,547,787,0.695,437,1325,587,253,233,544,612
162,Memphis NCAA,37,33,4,0.892,19.72,3.91,16,0,19,0,9,2,2918,2333,,1485,1024,2249,0.455,278,792,0.351,592,953,0.621,550,1468,537,344,217,493,732
165,Miami (OH) NCAA,33,18,15,0.545,4.81,2.78,10,6,11,2,3,11,1962,1895,,,720,1565,0.46,169,508,0.333,353,498,0.709,260,998,421,187,135,434,560
166,Michigan State NCAA,35,23,12,0.657,16.3,8.45,8,8,18,1,2,8,2276,2001,,,806,1718,0.469,182,486,0.374,482,671,0.718,394,1217,560,180,162,521,652
186,Nevada-Las Vegas NCAA,37,30,7,0.811,12.98,5.37,12,4,19,1,8,5,2772,2470,,,979,2202,0.445,289,802,0.36,525,733,0.716,460,1293,548,289,197,410,670
187,Nevada NCAA,34,29,5,0.853,10.58,1.09,14,2,15,1,10,2,2632,2296,,1375,949,1961,0.484,253,623,0.406,481,636,0.756,399,1300,569,183,148,451,571
