,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
189,New Mexico State NCAA,34,25,9,0.735,5.04,0.01,11,5,19,1,6,7,2652,2462,,1365,906,1890,0.479,199,513,0.388,641,975,0.657,459,1285,472,242,94,573,698
192,Niagara NCAA,35,23,12,0.657,-3.41,-4.7,13,5,9,6,9,4,2654,2609,,1415,889,2125,0.418,274,799,0.343,602,824,0.731,517,1342,467,224,55,473,611
200,North Carolina NCAA,38,31,7,0.816,26.41,9.3,11,5,16,1,7,4,3258,2608,,,1187,2379,0.499,215,600,0.358,669,940,0.712,522,1551,696,309,173,524,647
201,North Texas NCAA,34,23,11,0.676,-3.11,-6.59,10,8,13,3,7,7,2617,2420,,1385,926,2030,0.456,226,610,0.37,539,821,0.657,484,1356,430,224,151,537,689
208,Notre Dame NCAA,32,24,8,0.75,16.94,4.97,11,5,18,0,4,5,2592,2176,,,869,1893,0.459,287,735,0.39,567,763,0.743,405,1229,552,271,110,414,582
210,Ohio State NCAA,39,35,4,0.897,21.54,9.03,15,1,19,0,7,3,2905,2417,,,1029,2178,0.472,287,794,0.361,560,797,0.703,433,1390,583,265,218,443,534
214,Old Dominion NCAA,33,24,9,0.727,7.83,0.44,15,3,15,2,8,5,2290,2046,,,788,1828,0.431,235,678,0.347,479,663,0.722,400,1208,483,252,114,406,620
215,Oral Roberts NCAA,34,23,11,0.676,4.54,-1.04,12,2,12,2,6,8,2440,2206,,1370,824,1767,0.466,204,565,0.361,588,827,0.711,372,1204,459,212,154,513,601
217,Oregon NCAA,37,29,8,0.784,15.95,6.3,11,7,16,2,6,5,2807,2450,,1490,963,2131,0.452,350,897,0.39,531,698,0.761,432,1273,513,254,74,461,606
220,Pennsylvania NCAA,31,22,9,0.71,4.16,-1.64,13,1,12,3,9,4,2297,2100,,,836,1712,0.488,188,520,0.362,437,658,0.664,324,1024,539,263,92,433,573
222,Pittsburgh NCAA,37,29,8,0.784,16.99,8.53,12,4,16,2,8,3,2637,2324,,,961,2035,0.472,229,599,0.382,486,735,0.661,445,1320,647,194,133,441,613
228,Purdue NCAA,34,22,12,0.647,14.65,8.89,9,7,16,1,2,8,2376,2154,,1360,843,1834,0.46,219,614,0.357,471,695,0.678,388,1121,465,269,89,475,674
260,Southern California NCAA,37,25,12,0.676,13.78,7.87,11,7,15,3,4,6,2656,2413,,,946,1988,0.476,207,523,0.396,557,779,0.715,349,1277,472,206,148,540,660
261,Southern Illinois NCAA,36,29,7,0.806,13.59,7.53,15,3,13,0,10,4,2266,2023,,,762,1702,0.448,224,612,0.366,518,748,0.693,346,1076,414,237,116,504,728
269,Stanford NCAA,31,18,13,0.581,11.16,9.06,10,8,12,5,5,6,2156,2081,,1265,778,1738,0.448,174,499,0.349,426,625,0.682,395,1193,460,144,184,459,571
278,Tennessee NCAA,35,24,11,0.686,14.97,9.15,10,6,16,0,3,7,2831,2627,,1415,981,2189,0.448,327,896,0.365,542,830,0.653,473,1254,546,336,108,496,704
279,Texas A&M-Corpus Christi NCAA,33,26,7,0.788,3.07,-4.8,14,2,13,1,8,5,2615,2302,,,912,1747,0.522,192,478,0.402,599,847,0.707,374,1173,595,257,95,537,631
280,Texas A&M NCAA,34,27,7,0.794,21.27,5.13,13,3,18,1,7,3,2570,2021,,1370,908,1823,0.498,215,510,0.422,539,753,0.716,345,1209,591,224,111,415,663
288,Texas Tech NCAA,34,21,13,0.618,9.71,7.16,9,7,13,3,6,5,2437,2349,,1370,842,1858,0.453,208,505,0.412,545,737,0.739,321,1042,452,231,62,396,592
289,Texas NCAA,35,25,10,0.714,15.6,6.12,12,4,15,1,6,5,2860,2528,,1440,963,2164,0.445,308,792,0.389,626,850,0.736,482,1391,479,262,197,434,611
295,UCLA NCAA,36,30,6,0.833,20.9,9.84,15,3,16,0,6,4,2503,2081,,,923,1922,0.48,240,638,0.376,417,630,0.662,386,1158,507,263,116,440,569
299,Vanderbilt NCAA,34,22,12,0.647,12.76,7.79,10,6,14,3,5,6,2594,2387,,,904,1984,0.456,317,843,0.376,469,643,0.729,346,1146,578,257,93,422,584
301,Villanova NCAA,33,22,11,0.667,16.13,9.16,9,7,10,4,9,4,2392,2132,,1320,775,1827,0.424,248,704,0.352,594,761,0.781,438,1196,419,267,107,450,645
302,Virginia Commonwealth NCAA,35,28,7,0.8,9.5,0.2,16,2,15,2,11,2,2626,2298,,,901,1971,0.457,244,609,0.401,580,797,0.728,427,1165,475,268,106,394,643
304,Virginia Tech NCAA,34,22,12,0.647,14.35,8.26,10,6,13,2,5,6,2428,2181,,1375,886,1894,0.468,163,449,0.363,493,747,0.66,366,1131,449,285,159,371,619
305,Virginia NCAA,32,21,11,0.656,12.89,7.96,11,5,16,1,4,6,2463,2267,,1285,812,1860,0.437,257,706,0.364,582,784,0.742,422,1248,412,149,103,437,644
308,Washington State NCAA,34,26,8,0.765,13.33,6,13,5,12,2,8,4,2273,2024,,,826,1777,0.465,196,527,0.372,425,593,0.717,271,1043,472,226,155,355,549
310,Weber State NCAA,32,20,12,0.625,-4.03,-3.33,11,5,13,2,6,8,2266,2214,,,772,1579,0.489,180,456,0.395,542,807,0.672,307,1050,437,212,78,515,611
318,Winthrop NCAA,34,29,5,0.853,9.17,-1.2,14,0,15,0,12,3,2545,2088,,1365,923,1935,0.477,278,773,0.36,421,675,0.624,422,1279,567,268,126,445,584
319,Wisconsin NCAA,36,30,6,0.833,19.28,6.95,13,3,19,0,7,3,2527,2083,,1445,867,1886,0.46,210,597,0.352,583,848,0.688,404,1258,494,207,116,407,551
321,Wright State NCAA,33,23,10,0.697,1.94,-0.31,13,3,14,1,7,8,2125,2051,,1335,766,1750,0.438,180,519,0.347,413,564,0.732,334,1060,402,196,50,400,574
323,Xavier NCAA,34,25,9,0.735,14.18,3.39,13,3,16,1,5,5,2595,2228,,1365,849,1784,0.476,269,689,0.39,628,847,0.741,367,1146,508,191,120,430,604
