game/away/names/seo,game/away/names/short,game/away/score,game/away/seed,game/away/winner,game/bracketRegion,game/bracketRound,game/home/names/seo,game/home/names/short,game/home/score,game/home/seed,game/home/winner
hampton,Hampton,74,16,true,,First Four&#174;,manhattan,Manhattan,64,16,false
byu,BYU,90,11,false,,First Four&#174;,ole-miss,Ole Miss,94,11,true
robert-morris,Robert Morris,81,16,true,,First Four&#174;,north-florida,North Florida,77,16,false
dayton,Dayton,56,11,true,,First Four&#174;,boise-st,Boise St.,55,11,false
northeastern,Northeastern,65,14,false,MIDWEST,Second Round,notre-dame,Notre Dame,69,3,true
uab,UAB,60,14,true,SOUTH,Second Round,iowa-st,Iowa St.,59,3,false
georgia-st,Georgia St.,57,14,true,WEST,Second Round,baylor,Baylor,56,3,false
texas-southern,Texas Southern,72,15,false,WEST,Second Round,arizona,Arizona,93,2,true
texas,Texas,48,11,false,MIDWEST,Second Round,butler,Butler,56,6,true
ucla,UCLA,60,11,true,SOUTH,Second Round,smu,SMU,59,6,false
ole-miss,Ole Miss,57,11,false,WEST,Second Round,xavier,Xavier,76,6,true
ohio-st,Ohio St.,75,10,true,WEST,Second Round,vcu,VCU,72,7,false
lafayette,Lafayette,52,16,false,EAST,Second Round,villanova,Villanova,93,1,true
purdue,Purdue,65,9,false,MIDWEST,Second Round,cincinnati,Cincinnati,66,8,true
harvard,Harvard,65,13,false,WEST,Second Round,north-carolina,North Carolina,67,4,true
stephen-f-austin,Stephen F. Austin,50,12,false,SOUTH,Second Round,utah,Utah,57,5,true
lsu,LSU,65,9,false,EAST,Second Round,north-carolina-st,North Carolina St.,66,8,true
wofford,Wofford,53,12,false,WEST,Second Round,arkansas,Arkansas,56,5,true
hampton,Hampton,56,16,false,MIDWEST,Second Round,kentucky,Kentucky,79,1,true
eastern-wash,Eastern Wash.,74,13,false,SOUTH,Second Round,georgetown,Georgetown,84,4,true
new-mexico-st,New Mexico St.,56,15,false,MIDWEST,Second Round,kansas,Kansas,75,2,true
georgia,Georgia,63,10,false,EAST,Second Round,michigan-st,Michigan St.,70,7,true
wyoming,Wyoming,54,12,false,EAST,Second Round,uni,UNI,71,5,true
