game/away/names/seo,game/away/names/short,game/away/score,game/away/seed,game/away/winner,game/bracketRegion,game/bracketRound,game/home/names/seo,game/home/names/short,game/home/score,game/home/seed,game/home/winner
long-island,Long Island,61,16,false,,First Four&#174;,radford,Radford,71,16,true
st-bonaventure,St. Bonaventure,65,11,true,,First Four&#174;,ucla,UCLA,58,11,false
texas-southern,Texas Southern,64,16,true,,First Four&#174;,nc-central,N.C. Central,46,16,false
syracuse,Syracuse,60,11,true,,First Four&#174;,arizona-st,Arizona St.,56,11,false
oklahoma,Oklahoma,78,10,false,MIDWEST,First Round,rhode-island,Rhode Island,83,7,true
wright-st,Wright St.,47,14,false,SOUTH,First Round,tennessee,Tennessee,73,3,true
unc-greensboro,UNC Greensboro,64,13,false,WEST,First Round,gonzaga,Gonzaga,68,4,true
penn,Penn,60,16,false,MIDWEST,First Round,kansas,Kansas,76,1,true
iona,Iona,67,15,false,MIDWEST,First Round,duke,Duke,89,2,true
loyola-il,Loyola (IL),64,11,true,SOUTH,First Round,miami-fl,Miami (FL),62,6,false
south-dakota-st,South Dakota St.,73,12,false,WEST,First Round,ohio-st,Ohio St.,81,5,true
north-carolina-st,North Carolina St.,83,9,false,MIDWEST,First Round,seton-hall,Seton Hall,94,8,true
radford,Radford,61,16,false,EAST,First Round,villanova,Villanova,87,1,true
davidson,Davidson,73,12,false,SOUTH,First Round,kentucky,Kentucky,78,5,true
stephen-f-austin,Stephen F. Austin,60,14,false,EAST,First Round,texas-tech,Texas Tech,70,3,true
san-diego-st,San Diego St.,65,11,false,WEST,First Round,houston,Houston,67,6,true
alabama,Alabama,86,9,true,EAST,First Round,virginia-tech,Virginia Tech,83,8,false
buffalo,Buffalo,89,13,true,SOUTH,First Round,arizona,Arizona,68,4,false
st-bonaventure,St. Bonaventure,62,11,false,EAST,First Round,florida,Florida,77,6,true
montana,Montana,47,14,false,WEST,First Round,michigan,Michigan,61,3,true
providence,Providence,69,10,false,WEST,First Round,texas-am,Texas A&M,73,7,true
cal-st-fullerton,Cal St. Fullerton,48,15,false,EAST,First Round,purdue,Purdue,74,2,true
marshall,Marshall,81,13,true,EAST,First Round,wichita-st,Wichita St.,75,4,false
georgia-st,Georgia St.,53,15,false,SOUTH,First Round,cincinnati,Cincinnati,68,2,true
lipscomb,Lipscomb,66,15,false,WEST,First Round,north-carolina,North Carolina,84,2,true
butler,Butler,79,10,true,EAST,First Round,arkansas,Arkansas,62,7,false
murray-st,Murray St.,68,12,false,EAST,First Round,west-virginia,West Virginia,85,5,true
texas,Texas,83,10,false,SOUTH,First Round,nevada,Nevada,87,7,true
kansas-st,Kansas St.,69,9,true,SOUTH,First Round,creighton,Creighton,59,8,false
bucknell,Bucknell,78,14,false,MIDWEST,First Round,michigan-st,Michigan St.,82,3,true
col-of-charleston,Col. of Charleston,58,13,false,MIDWEST,First Round,auburn,Auburn,62,4,true
texas-southern,Texas Southern,83,16,false,WEST,First Round,xavier,Xavier,102,1,true
umbc,UMBC,74,16,true,SOUTH,First Round,virginia,Virginia,54,1,false
syracuse,Syracuse,57,11,true,MIDWEST,First Round,tcu,TCU,52,6,false
new-mexico-st,New Mexico St.,68,12,false,MIDWEST,First Round,clemson,Clemson,79,5,true
florida-st,Florida St.,67,9,true,WEST,First Round,missouri,Missouri,54,8,false
alabama,Alabama,58,9,false,EAST,Second Round,villanova,Villanova,81,1,true
rhode-island,Rhode Island,62,7,false,MIDWEST,Second Round,duke,Duke,87,2,true
buffalo,Buffalo,75,13,false,SOUTH,Second Round,kentucky,Kentucky,95,5,true
loyola-il,Loyola (IL),63,11,true,SOUTH,Second Round,tennessee,Tennessee,62,3,false
seton-hall,Seton Hall,79,8,false,MIDWEST,Second Round,kansas,Kansas,83,1,true
ohio-st,Ohio St.,84,5,false,WEST,Second Round,gonzaga,Gonzaga,90,4,true
florida,Florida,66,6,false,EAST,Second Round,texas-tech,Texas Tech,69,3,true
houston,Houston,63,6,false,WEST,Second Round,michigan,Michigan,64,3,true
butler,Butler,73,10,false,EAST,Second Round,purdue,Purdue,76,2,true
syracuse,Syracuse,55,11,true,MIDWEST,Second Round,michigan-st,Michigan St.,53,3,false
texas-am,Texas A&M,86,7,true,WEST,Second Round,north-carolina,North Carolina,65,2,false
nevada,Nevada,75,7,true,SOUTH,Second Round,cincinnati,Cincinnati,73,2,false
clemson,Clemson,84,5,true,MIDWEST,Second Round,auburn,Auburn,53,4,false
umbc,UMBC,43,16,false,SOUTH,Second Round,kansas-st,Kansas St.,50,9,true
florida-st,Florida St.,75,9,true,WEST,Second Round,xavier,Xavier,70,1,false
marshall,Marshall,71,13,false,EAST,Second Round,west-virginia,West Virginia,94,5,true
loyola-il,Loyola (IL),69,11,true,SOUTH,Sweet 16&#174;,nevada,Nevada,68,7,false
texas-am,Texas A&M,72,7,false,WEST,Sweet 16&#174;,michigan,Michigan,99,3,true
kansas-st,Kansas St.,61,9,true,SOUTH,Sweet 16&#174;,kentucky,Kentucky,58,5,false
florida-st,Florida St.,75,9,true,WEST,Sweet 16&#174;,gonzaga,Gonzaga,60,4,false
clemson,Clemson,76,5,false,MIDWEST,Sweet 16&#174;,kansas,Kansas,80,1,true
west-virginia,West Virginia,78,5,false,EAST,Sweet 16&#174;,villanova,Villanova,90,1,true
syracuse,Syracuse,65,11,false,MIDWEST,Sweet 16&#174;,duke,Duke,69,2,true
texas-tech,Texas Tech,78,3,true,EAST,Sweet 16&#174;,purdue,Purdue,65,2,false
loyola-il,Loyola (IL),78,11,true,SOUTH,Elite Eight&#174;,kansas-st,Kansas St.,62,9,false
florida-st,Florida St.,54,9,false,WEST,Elite Eight&#174;,michigan,Michigan,58,3,true
texas-tech,Texas Tech,59,3,false,EAST,Elite Eight&#174;,villanova,Villanova,71,1,true
duke,Duke,81,2,false,MIDWEST,Elite Eight&#174;,kansas,Kansas,85,1,true
loyola-il,Loyola (IL),57,11,false,,FINAL FOUR&#174;,michigan,Michigan,69,3,true
kansas,Kansas,79,1,false,,FINAL FOUR&#174;,villanova,Villanova,95,1,true
michigan,Michigan,62,3,false,,Championship,villanova,Villanova,79,1,true
