game/away/names/seo,game/away/names/short,game/away/score,game/away/seed,game/away/winner,game/bracketRegion,game/bracketRound,game/home/names/seo,game/home/names/short,game/home/score,game/home/seed,game/home/winner
fairleigh-dickinson,Fairleigh Dickinson,65,16,false,,FIRST FOUR&#174;,fgcu,FGCU,96,16,true
wichita-st,Wichita St.,70,11,true,,FIRST FOUR&#174;,vanderbilt,Vanderbilt,50,11,false
holy-cross,Holy Cross,59,16,true,,FIRST FOUR&#174;,southern-u,Southern U.,55,16,false
tulsa,Tulsa,62,11,false,,FIRST FOUR&#174;,michigan,Michigan,67,11,true
unc-wilmington,UNC Wilmington,85,13,false,WEST,First Round,duke,Duke,93,4,true
butler,Butler,71,9,true,MIDWEST,First Round,texas-tech,Texas Tech,61,8,false
uconn,UConn,74,9,true,SOUTH,First Round,colorado,Colorado,67,8,false
iona,Iona,81,13,false,MIDWEST,First Round,iowa-st,Iowa St.,94,4,true
yale,Yale,79,12,true,WEST,First Round,baylor,Baylor,75,5,false
hampton,Hampton,45,16,false,MIDWEST,First Round,virginia,Virginia,81,1,true
austin-peay,Austin Peay,79,16,false,SOUTH,First Round,kansas,Kansas,105,1,true
ualr,UALR,85,12,true,MIDWEST,First Round,purdue,Purdue,83,5,false
buffalo,Buffalo,72,14,false,SOUTH,First Round,miami-fl,Miami (FL),79,3,true
fgcu,FGCU,67,16,false,EAST,First Round,north-carolina,North Carolina,83,1,true
chattanooga,Chattanooga,74,12,false,EAST,First Round,indiana,Indiana,99,5,true
fresno-st,Fresno St.,69,14,false,MIDWEST,First Round,utah,Utah,80,3,true
wichita-st,Wichita St.,65,11,true,SOUTH,First Round,arizona,Arizona,55,6,false
stony-brook,Stony Brook,57,13,false,EAST,First Round,kentucky,Kentucky,85,4,true
providence,Providence,70,9,true,EAST,First Round,southern-california,Southern California,69,8,false
gonzaga,Gonzaga,68,11,true,MIDWEST,First Round,seton-hall,Seton Hall,52,6,false
syracuse,Syracuse,70,10,true,MIDWEST,First Round,dayton,Dayton,51,7,false
unc-asheville,UNC Asheville,56,15,false,SOUTH,First Round,villanova,Villanova,86,2,true
vcu,VCU,75,10,true,WEST,First Round,oregon-st,Oregon St.,67,7,false
hawaii,Hawaii,77,13,true,SOUTH,First Round,california,California,66,4,false
middle-tenn,Middle Tenn.,90,15,true,MIDWEST,First Round,michigan-st,Michigan St.,81,2,false
temple,Temple,70,10,false,SOUTH,First Round,iowa,Iowa,72,7,true
bakersfield,Bakersfield,68,15,false,WEST,First Round,oklahoma,Oklahoma,82,2,true
south-dakota-st,South Dakota St.,74,12,false,SOUTH,First Round,maryland,Maryland,79,5,true
pittsburgh,Pittsburgh,43,10,false,EAST,First Round,wisconsin,Wisconsin,47,7,true
stephen-f-austin,Stephen F. Austin,70,14,true,EAST,First Round,west-virginia,West Virginia,56,3,false
green-bay,Green Bay,65,14,false,WEST,First Round,texas-am,Texas A&M,92,3,true
holy-cross,Holy Cross,52,16,false,WEST,First Round,oregon,Oregon,91,1,true
weber-st,Weber St.,53,15,false,EAST,First Round,xavier,Xavier,71,2,true
uni,UNI,75,11,true,WEST,First Round,texas,Texas,72,6,false
michigan,Michigan,63,11,false,EAST,First Round,notre-dame,Notre Dame,70,6,true
cincinnati,Cincinnati,76,9,false,WEST,First Round,saint-josephs,Saint Joseph's,78,8,true
wichita-st,Wichita St.,57,11,false,SOUTH,Second Round,miami-fl,Miami (FL),65,3,true
yale,Yale,64,12,false,WEST,Second Round,duke,Duke,71,4,true
indiana,Indiana,73,5,true,EAST,Second Round,kentucky,Kentucky,67,4,false
ualr,UALR,61,12,false,MIDWEST,Second Round,iowa-st,Iowa St.,78,4,true
butler,Butler,69,9,false,MIDWEST,Second Round,virginia,Virginia,77,1,true
gonzaga,Gonzaga,82,11,true,MIDWEST,Second Round,utah,Utah,59,3,false
providence,Providence,66,9,false,EAST,Second Round,north-carolina,North Carolina,85,1,true
uconn,UConn,61,9,false,SOUTH,Second Round,kansas,Kansas,73,1,true
iowa,Iowa,68,7,false,SOUTH,Second Round,villanova,Villanova,87,2,true
stephen-f-austin,Stephen F. Austin,75,14,false,EAST,Second Round,notre-dame,Notre Dame,76,6,true
vcu,VCU,81,10,false,WEST,Second Round,oklahoma,Oklahoma,85,2,true
middle-tenn,Middle Tenn.,50,15,false,MIDWEST,Second Round,syracuse,Syracuse,75,10,true
hawaii,Hawaii,60,13,false,SOUTH,Second Round,maryland,Maryland,73,5,true
uni,UNI,88,11,false,WEST,Second Round,texas-am,Texas A&M,92,3,true
wisconsin,Wisconsin,66,7,true,EAST,Second Round,xavier,Xavier,63,2,false
saint-josephs,Saint Joseph's,64,8,false,WEST,Second Round,oregon,Oregon,69,1,true
miami-fl,Miami (FL),69,3,false,SOUTH,Sweet 16&#174;,villanova,Villanova,92,2,true
texas-am,Texas A&M,63,3,false,WEST,Sweet 16&#174;,oklahoma,Oklahoma,77,2,true
maryland,Maryland,63,5,false,SOUTH,Sweet 16&#174;,kansas,Kansas,79,1,true
duke,Duke,68,4,false,WEST,Sweet 16&#174;,oregon,Oregon,82,1,true
iowa-st,Iowa St.,71,4,false,MIDWEST,Sweet 16&#174;,virginia,Virginia,84,1,true
wisconsin,Wisconsin,56,7,false,EAST,Sweet 16&#174;,notre-dame,Notre Dame,61,6,true
gonzaga,Gonzaga,60,11,false,MIDWEST,Sweet 16&#174;,syracuse,Syracuse,63,10,true
indiana,Indiana,86,5,false,EAST,Sweet 16&#174;,north-carolina,North Carolina,101,1,true
oklahoma,Oklahoma,80,2,true,WEST,Elite Eight&#174;,oregon,Oregon,68,1,false
villanova,Villanova,64,2,true,SOUTH,Elite Eight&#174;,kansas,Kansas,59,1,false
syracuse,Syracuse,68,10,true,MIDWEST,Elite Eight&#174;,virginia,Virginia,62,1,false
notre-dame,Notre Dame,74,6,false,EAST,Elite Eight&#174;,north-carolina,North Carolina,88,1,true
villanova,Villanova,95,2,true,,FINAL FOUR&#174;,oklahoma,Oklahoma,51,2,false
syracuse,Syracuse,66,10,false,,FINAL FOUR&#174;,north-carolina,North Carolina,83,1,true
villanova,Villanova,77,2,true,,Championship,north-carolina,North Carolina,74,1,false
