season,winnerName,winnerSeed,loserName,loserSeed
201112,North Carolina,1,Vermont,16
201112,Creighton,8,Alabama,9
201112,South Florida,12,Temple,5
201112,Ohio,13,Michigan,4
201112,North Carolina State,11,San Diego State,6
201112,Georgetown,3,Belmont,14
201112,Purdue,10,Saint Mary's (CA),7
201112,Kansas,2,Detroit Mercy,15
201112,North Carolina,1,Creighton,8
201112,Ohio,13,South Florida,12
201112,North Carolina State,11,Georgetown,3
201112,Kansas,2,Purdue,10
201112,North Carolina,1,Ohio,13
201112,Kansas,2,North Carolina State,11
201112,Kansas,2,North Carolina,1
201112,Kentucky,1,Western Kentucky,16
201112,Iowa State,8,Connecticut,9
201112,Virginia Commonwealth,12,Wichita State,5
201112,Indiana,4,New Mexico State,13
201112,Colorado,11,Nevada-Las Vegas,6
201112,Baylor,3,South Dakota State,14
201112,Xavier,10,Notre Dame,7
201112,Lehigh,15,Duke,2
201112,Kentucky,1,Iowa State,8
201112,Indiana,4,Virginia Commonwealth,12
201112,Baylor,3,Colorado,11
201112,Xavier,10,Lehigh,15
201112,Kentucky,1,Indiana,4
201112,Baylor,3,Xavier,10
201112,Kentucky,1,Baylor,3
201112,Michigan State,1,Long Island University,16
201112,Saint Louis,9,Memphis,8
201112,New Mexico,5,Long Beach State,12
201112,Louisville,4,Davidson,13
201112,Murray State,6,Colorado State,11
201112,Marquette,3,Brigham Young,14
201112,Florida,7,Virginia,10
201112,Norfolk State,15,Missouri,2
201112,Michigan State,1,Saint Louis,9
201112,Louisville,4,New Mexico,5
201112,Marquette,3,Murray State,6
201112,Florida,7,Norfolk State,15
201112,Louisville,4,Michigan State,1
201112,Florida,7,Marquette,3
201112,Louisville,4,Florida,7
201112,Syracuse,1,North Carolina-Asheville,16
201112,Kansas State,8,Southern Mississippi,9
201112,Vanderbilt,5,Harvard,12
201112,Wisconsin,4,Montana,13
201112,Cincinnati,6,Texas,11
201112,Florida State,3,St. Bonaventure,14
201112,Gonzaga,7,West Virginia,10
201112,Ohio State,2,Loyola (MD),15
201112,Syracuse,1,Kansas State,8
201112,Wisconsin,4,Vanderbilt,5
201112,Cincinnati,6,Florida State,3
201112,Ohio State,2,Gonzaga,7
201112,Syracuse,1,Wisconsin,4
201112,Ohio State,2,Cincinnati,6
201112,Ohio State,2,Syracuse,1
201112,Kentucky,1,Louisville,4
201112,Kansas,2,Ohio State,2
201112,Kentucky,1,Kansas,2
