season,winnerName,winnerSeed,loserName,loserSeed
200506,Villanova,1,Monmouth,16
200506,Arizona,8,Wisconsin,9
200506,Montana,12,Nevada,5
200506,Boston College,4,Pacific,13
200506,Milwaukee,11,Oklahoma,6
200506,Florida,3,South Alabama,14
200506,Georgetown,7,Northern Iowa,10
200506,Ohio State,2,Davidson,15
200506,Villanova,1,Arizona,8
200506,Boston College,4,Montana,12
200506,Florida,3,Milwaukee,11
200506,Georgetown,7,Ohio State,2
200506,Villanova,1,Boston College,4
200506,Florida,3,Georgetown,7
200506,Florida,3,Villanova,1
200506,Duke,1,Southern,16
200506,George Washington,8,North Carolina-Wilmington,9
200506,Texas A&M,12,Syracuse,5
200506,Louisiana State,4,Iona,13
200506,West Virginia,6,Southern Illinois,11
200506,Northwestern State,14,Iowa,3
200506,North Carolina State,10,University of California,7
200506,Texas,2,Pennsylvania,15
200506,Duke,1,George Washington,8
200506,Louisiana State,4,Texas A&M,12
200506,West Virginia,6,Northwestern State,14
200506,Texas,2,North Carolina State,10
200506,Louisiana State,4,Duke,1
200506,Texas,2,West Virginia,6
200506,Louisiana State,4,Texas,2
200506,Memphis,1,Oral Roberts,16
200506,Bucknell,9,Arkansas,8
200506,Pittsburgh,5,Kent State,12
200506,Bradley,13,Kansas,4
200506,Indiana,6,San Diego State,11
200506,Gonzaga,3,Xavier,14
200506,Alabama,10,Marquette,7
200506,UCLA,2,Belmont,15
200506,Memphis,1,Bucknell,9
200506,Bradley,13,Pittsburgh,5
200506,Gonzaga,3,Indiana,6
200506,UCLA,2,Alabama,10
200506,Memphis,1,Bradley,13
200506,UCLA,2,Gonzaga,3
200506,UCLA,2,Memphis,1
200506,Connecticut,1,Albany (NY),16
200506,Kentucky,8,Alabama-Birmingham,9
200506,Washington,5,Utah State,12
200506,Illinois,4,Air Force,13
200506,George Mason,11,Michigan State,6
200506,North Carolina,3,Murray State,14
200506,Wichita State,7,Seton Hall,10
200506,Tennessee,2,Winthrop,15
200506,Connecticut,1,Kentucky,8
200506,Washington,5,Illinois,4
200506,George Mason,11,North Carolina,3
200506,Wichita State,7,Tennessee,2
200506,Connecticut,1,Washington,5
200506,George Mason,11,Wichita State,7
200506,George Mason,11,Connecticut,1
200506,Florida,3,George Mason,11
200506,UCLA,2,Louisiana State,4
200506,Florida,3,UCLA,2
