season,winnerName,winnerSeed,loserName,loserSeed
200001,Illinois,1,Northwestern State,16
200001,Charlotte,9,Tennessee,8
200001,Syracuse,5,Hawaii,12
200001,Kansas,4,Cal State Northridge,13
200001,Notre Dame,6,Xavier,11
200001,Mississippi,3,Iona,14
200001,Butler,10,Wake Forest,7
200001,Arizona,2,Eastern Illinois,15
200001,Illinois,1,Charlotte,9
200001,Kansas,4,Syracuse,5
200001,Mississippi,3,Notre Dame,6
200001,Arizona,2,Butler,10
200001,Illinois,1,Kansas,4
200001,Arizona,2,Mississippi,3
200001,Arizona,2,Illinois,1
200001,Duke,1,Monmouth,16
200001,Missouri,9,Georgia,8
200001,Utah State,12,Ohio State,5
200001,UCLA,4,Hofstra,13
200001,Southern California,6,Oklahoma State,11
200001,Boston College,3,Southern Utah,14
200001,Iowa,7,Creighton,10
200001,Kentucky,2,Holy Cross,15
200001,Duke,1,Missouri,9
200001,UCLA,4,Utah State,12
200001,Southern California,6,Boston College,3
200001,Kentucky,2,Iowa,7
200001,Duke,1,UCLA,4
200001,Southern California,6,Kentucky,2
200001,Duke,1,Southern California,6
200001,Michigan State,1,Alabama State,16
200001,Fresno State,9,University of California,8
200001,Gonzaga,12,Virginia,5
200001,Indiana State,13,Oklahoma,4
200001,Temple,11,Texas,6
200001,Florida,3,Western Kentucky,14
200001,Penn State,7,Providence,10
200001,North Carolina,2,Princeton,15
200001,Michigan State,1,Fresno State,9
200001,Gonzaga,12,Indiana State,13
200001,Temple,11,Florida,3
200001,Penn State,7,North Carolina,2
200001,Michigan State,1,Gonzaga,12
200001,Temple,11,Penn State,7
200001,Michigan State,1,Temple,11
200001,Stanford,1,North Carolina-Greensboro,16
200001,Saint Joseph’s,9,Georgia Tech,8
200001,Cincinnati,5,Brigham Young,12
200001,Kent State,13,Indiana State,4
200001,Georgia State,11,Wisconsin,6
200001,Maryland,3,George Mason,14
200001,Georgetown,10,Arkansas,7
200001,Hampton,15,Iowa State,2
200001,Stanford,1,Saint Joseph’s,9
200001,Cincinnati,5,Kent State,13
200001,Maryland,3,Georgia State,11
200001,Georgetown,10,Hampton,15
200001,Stanford,1,Cincinnati,5
200001,Maryland,3,Georgetown,10
200001,Maryland,3,Stanford,1
200001,Duke,1,Maryland,3
200001,Arizona,2,Michigan State,1
200001,Duke,1,Arizona,2
