season,winnerName,winnerSeed,loserName,loserSeed
201516,North Carolina,1,Florida Gulf Coast,16
201516,Providence,9,Southern California,8
201516,Indiana,5,Chattanooga,12
201516,Kentucky,4,Stony Brook,13
201516,Notre Dame,6,Michigan,11
201516,Stephen F. Austin,14,West Virginia,3
201516,Wisconsin,7,Pittsburgh,10
201516,Xavier,2,Weber State,15
201516,North Carolina,1,Providence,9
201516,Indiana,5,Kentucky,4
201516,Notre Dame,6,Stephen F. Austin,14
201516,Wisconsin,7,Xavier,2
201516,North Carolina,1,Indiana,5
201516,Notre Dame,6,Wisconsin,7
201516,North Carolina,1,Notre Dame,6
201516,Kansas,1,Austin Peay,16
201516,Connecticut,9,Colorado,8
201516,Maryland,5,South Dakota State,12
201516,Hawaii,13,University of California,4
201516,Wichita State,11,Arizona,6
201516,Miami (FL),3,Buffalo,14
201516,Iowa,7,Temple,10
201516,Villanova,2,North Carolina-Asheville,15
201516,Kansas,1,Connecticut,9
201516,Maryland,5,Hawaii,13
201516,Miami (FL),3,Wichita State,11
201516,Villanova,2,Iowa,7
201516,Kansas,1,Maryland,5
201516,Villanova,2,Miami (FL),3
201516,Villanova,2,Kansas,1
201516,Oregon,1,Holy Cross,16
201516,Saint Joseph's,8,Cincinnati,9
201516,Yale,12,Baylor,5
201516,Duke,4,North Carolina-Wilmington,13
201516,Northern Iowa,11,Texas,6
201516,Texas A&M,3,Green Bay,14
201516,Virginia Commonwealth,10,Oregon State,7
201516,Oklahoma,2,Cal State Bakersfield,15
201516,Oregon,1,Saint Joseph's,8
201516,Duke,4,Yale,12
201516,Texas A&M,3,Northern Iowa,11
201516,Oklahoma,2,Virginia Commonwealth,10
201516,Oregon,1,Duke,4
201516,Oklahoma,2,Texas A&M,3
201516,Oklahoma,2,Oregon,1
201516,Virginia,1,Hampton,16
201516,Butler,9,Texas Tech,8
201516,Little Rock,12,Purdue,5
201516,Iowa State,78,Iona,13
201516,Gonzaga,11,Seton Hall,6
201516,Utah,3,Fresno State,14
201516,Syracuse,10,Dayton,7
201516,Middle Tennessee,15,Michigan State,2
201516,Virginia,1,Butler,9
201516,Iowa State,78,Little Rock,12
201516,Gonzaga,11,Utah,3
201516,Syracuse,10,Middle Tennessee,15
201516,Virginia,1,Iowa State,78
201516,Syracuse,10,Gonzaga,11
201516,Syracuse,10,Virginia,1
201516,Villanova,2,Oklahoma,2
201516,North Carolina,1,Syracuse,10
201516,Villanova,2,North Carolina,1
