season,winnerName,winnerSeed,loserName,loserSeed
200708,North Carolina,1,Mount St. Mary's,16
200708,Arkansas,9,Indiana,8
200708,Notre Dame,5,George Mason,12
200708,Washington State,4,Winthrop,13
200708,Oklahoma,6,Saint Joseph's,11
200708,Louisville,3,Boise State,14
200708,Butler,7,South Alabama,10
200708,Tennessee,2,American,15
200708,North Carolina,1,Arkansas,9
200708,Washington State,4,Notre Dame,5
200708,Louisville,3,Oklahoma,6
200708,Tennessee,2,Butler,7
200708,North Carolina,1,Washington State,4
200708,Louisville,3,Tennessee,2
200708,North Carolina,1,Louisville,3
200708,Kansas,1,Portland State,16
200708,Nevada-Las Vegas,8,Kent State,9
200708,Villanova,12,Clemson,5
200708,Siena,13,Vanderbilt,4
200708,Kansas State,11,Southern California,6
200708,Wisconsin,3,Cal State Fullerton,14
200708,Davidson,10,Gonzaga,7
200708,Georgetown,2,Maryland-Baltimore County,15
200708,Kansas,1,Nevada-Las Vegas,8
200708,Villanova,12,Siena,13
200708,Wisconsin,3,Kansas State,11
200708,Davidson,10,Georgetown,2
200708,Kansas,1,Villanova,12
200708,Davidson,10,Wisconsin,3
200708,Kansas,1,Davidson,10
200708,Memphis,1,Texas-Arlington,16
200708,Mississippi State,8,Oregon,9
200708,Michigan State,5,Temple,12
200708,Pittsburgh,4,Oral Roberts,13
200708,Marquette,6,Kentucky,11
200708,Stanford,3,Cornell,14
200708,Miami (FL),7,Saint Mary's (CA),10
200708,Texas,2,Austin Peay,15
200708,Memphis,1,Mississippi State,8
200708,Michigan State,5,Pittsburgh,4
200708,Stanford,3,Marquette,6
200708,Texas,2,Miami (FL),7
200708,Memphis,1,Michigan State,5
200708,Texas,2,Stanford,3
200708,Memphis,1,Texas,2
200708,UCLA,1,Mississippi Valley State,16
200708,Texas A&M,9,Brigham Young,8
200708,Western Kentucky,12,Drake,5
200708,San Diego,13,Connecticut,4
200708,Purdue,6,Baylor,11
200708,Xavier,3,Georgia,14
200708,West Virginia,7,Arizona,10
200708,Duke,2,Belmont,15
200708,UCLA,1,Texas A&M,9
200708,Western Kentucky,12,San Diego,13
200708,Xavier,3,Purdue,6
200708,West Virginia,7,Duke,2
200708,UCLA,1,Western Kentucky,12
200708,Xavier,3,West Virginia,7
200708,UCLA,1,Xavier,3
200708,Kansas,1,North Carolina,1
200708,Memphis,1,UCLA,1
200708,Kansas,1,Memphis,1
