season,winnerName,winnerSeed,loserName,loserSeed
201213,Indiana,1,James Madison,16
201213,Temple,9,North Carolina State,8
201213,University of California,12,Nevada-Las Vegas,5
201213,Syracuse,4,Montana,13
201213,Butler,6,Bucknell,11
201213,Marquette,3,Davidson,14
201213,Illinois,7,Colorado,10
201213,Miami (FL),2,Pacific,15
201213,Indiana,1,Temple,9
201213,Syracuse,4,University of California,12
201213,Marquette,3,Butler,6
201213,Miami (FL),2,Illinois,7
201213,Syracuse,4,Indiana,1
201213,Marquette,3,Miami (FL),2
201213,Syracuse,4,Marquette,3
201213,Louisville,1,North Carolina A&T,16
201213,Colorado State,8,Missouri,9
201213,Oregon,12,Oklahoma State,5
201213,Saint Louis,4,New Mexico State,13
201213,Memphis,6,Saint Mary's (CA),11
201213,Michigan State,3,Valparaiso,14
201213,Creighton,7,Cincinnati,10
201213,Duke,2,Albany (NY),15
201213,Louisville,1,Colorado State,8
201213,Oregon,12,Saint Louis,4
201213,Michigan State,3,Memphis,6
201213,Duke,2,Creighton,7
201213,Louisville,1,Oregon,12
201213,Duke,2,Michigan State,3
201213,Louisville,1,Duke,2
201213,Gonzaga,1,Southern,16
201213,Wichita State,9,Pittsburgh,8
201213,Mississippi,12,Wisconsin,5
201213,La Salle,13,Kansas State,4
201213,Arizona,6,Belmont,11
201213,Harvard,14,New Mexico,3
201213,Iowa State,10,Notre Dame,7
201213,Ohio State,2,Iona,15
201213,Wichita State,9,Gonzaga,1
201213,La Salle,13,Mississippi,12
201213,Arizona,6,Harvard,14
201213,Ohio State,2,Iowa State,10
201213,Wichita State,9,La Salle,13
201213,Ohio State,2,Arizona,6
201213,Wichita State,9,Ohio State,2
201213,Kansas,1,Western Kentucky,16
201213,North Carolina,8,Villanova,9
201213,Virginia Commonwealth,5,Akron,12
201213,Michigan,4,South Dakota State,13
201213,Minnesota,11,UCLA,6
201213,Florida,3,Northwestern State,14
201213,San Diego State,7,Oklahoma,10
201213,Florida Gulf Coast,15,Georgetown,2
201213,Kansas,1,North Carolina,8
201213,Michigan,4,Virginia Commonwealth,5
201213,Florida,3,Minnesota,11
201213,Florida Gulf Coast,15,San Diego State,7
201213,Michigan,4,Kansas,1
201213,Florida,3,Florida Gulf Coast,15
201213,Michigan,4,Florida,3
201213,Louisville,1,Wichita State,9
201213,Michigan,4,Syracuse,4
201213,Louisville,1,Michigan,4
