season,winnerName,winnerSeed,loserName,loserSeed
201617,Villanova,1,Mount St. Mary's,16
201617,Wisconsin,8,Virginia Tech,9
201617,Virginia,5,North Carolina-Wilmington,12
201617,Florida,4,East Tennessee State,13
201617,Southern California,11,Southern Methodist,6
201617,Baylor,3,New Mexico State,14
201617,South Carolina,7,Marquette,10
201617,Duke,2,Troy,15
201617,Wisconsin,8,Villanova,1
201617,Florida,4,Virginia,5
201617,Baylor,3,Southern California,11
201617,South Carolina,7,Duke,2
201617,Florida,4,Wisconsin,8
201617,South Carolina,7,Baylor,3
201617,South Carolina,7,Florida,4
201617,Kansas,1,UC-Davis,16
201617,Michigan State,9,Miami (FL),8
201617,Iowa State,5,Nevada,12
201617,Purdue,4,Vermont,13
201617,Rhode Island,11,Creighton,6
201617,Oregon,3,Iona,14
201617,Michigan,7,Oklahoma State,10
201617,Louisville,2,Jacksonville State,15
201617,Kansas,1,Michigan State,9
201617,Purdue,4,Iowa State,5
201617,Oregon,3,Rhode Island,11
201617,Michigan,7,Louisville,2
201617,Kansas,1,Purdue,4
201617,Oregon,3,Michigan,7
201617,Oregon,3,Kansas,1
201617,North Carolina,1,Texas Southern,16
201617,Arkansas,8,Seton Hall,9
201617,Middle Tennessee,12,Minnesota,5
201617,Butler,4,Winthrop,13
201617,Cincinnati,6,Kansas State,11
201617,UCLA,3,Kent State,14
201617,Wichita State,10,Dayton,7
201617,Kentucky,2,Northern Kentucky,15
201617,North Carolina,1,Arkansas,8
201617,Butler,4,Middle Tennessee,12
201617,UCLA,3,Cincinnati,6
201617,Kentucky,2,Wichita State,10
201617,North Carolina,1,Butler,4
201617,Kentucky,2,UCLA,3
201617,North Carolina,1,Kentucky,2
201617,Gonzaga,1,South Dakota State,16
201617,Northwestern,8,Vanderbilt,9
201617,Notre Dame,5,Princeton,12
201617,West Virginia,4,Bucknell,13
201617,Xavier,11,Maryland,6
201617,Florida State,3,Florida Gulf Coast,14
201617,Saint Mary's,7,Virginia Commonwealth,10
201617,Arizona,2,North Dakota,15
201617,Gonzaga,1,Northwestern,8
201617,West Virginia,4,Notre Dame,5
201617,Xavier,11,Florida State,3
201617,Arizona,2,Saint Mary's,7
201617,Gonzaga,1,West Virginia,4
201617,Xavier,11,Arizona,2
201617,Gonzaga,1,Xavier,11
201617,North Carolina,1,Oregon,3
201617,Gonzaga,1,South Carolina,7
201617,North Carolina,1,Gonzaga,1
