season,winnerName,winnerSeed,loserName,loserSeed
201819,Duke,1,North Dakota State,16
201819,Central Florida,9,Virginia Commonwealth,8
201819,Liberty,12,Mississippi State,5
201819,Virginia Tech,4,Saint Louis,13
201819,Maryland,6,Belmont,11
201819,Louisiana State,3,Yale,14
201819,Minnesota,10,Louisville,7
201819,Michigan State,2,Bradley,15
201819,Duke,1,Central Florida,9
201819,Virginia Tech,4,Liberty,12
201819,Louisiana State,3,Maryland,6
201819,Michigan State,2,Minnesota,10
201819,Duke,1,Virginia Tech,4
201819,Michigan State,2,Louisiana State,3
201819,Michigan State,2,Duke,1
201819,Gonzaga,1,Fairleigh Dickinson,16
201819,Baylor,9,Syracuse,8
201819,Murray State,12,Marquette,5
201819,Florida State,4,Vermont,13
201819,Buffalo,6,Arizona State,11
201819,Texas Tech,3,Northern Kentucky,14
201819,Florida,10,Nevada,7
201819,Michigan,2,Montana,15
201819,Gonzaga,1,Baylor,9
201819,Florida State,4,Murray State,12
201819,Texas Tech,3,Buffalo,6
201819,Michigan,2,Florida,10
201819,Gonzaga,1,Florida State,4
201819,Texas Tech,3,Michigan,2
201819,Texas Tech,3,Gonzaga,1
201819,North Carolina,1,Iona,16
201819,Washington,9,Utah State,8
201819,Auburn,5,New Mexico State,12
201819,Kansas,4,Northeastern,13
201819,Ohio State,11,Iowa State,6
201819,Houston,3,Georgia State,14
201819,Wofford,7,Seton Hall,10
201819,Kentucky,2,Abilene Christian,15
201819,North Carolina,1,Washington,9
201819,Auburn,5,Kansas,4
201819,Houston,3,Ohio State,11
201819,Kentucky,2,Wofford,7
201819,Auburn,5,North Carolina,1
201819,Kentucky,2,Houston,3
201819,Auburn,5,Kentucky,2
201819,Virginia,1,Gardner-Webb,16
201819,Oklahoma,9,Mississippi,8
201819,Oregon,12,Wisconsin,5
201819,UC-Irvine,13,Kansas State,4
201819,Villanova,6,Saint Mary's,11
201819,Purdue,3,Old Dominion,14
201819,Iowa,10,Cincinnati,7
201819,Tennessee,2,Colgate,15
201819,Virginia,1,Oklahoma,9
201819,Oregon,12,UC-Irvine,13
201819,Purdue,3,Villanova,6
201819,Tennessee,2,Iowa,10
201819,Virginia,1,Oregon,12
201819,Purdue,3,Tennessee,2
201819,Virginia,1,Purdue,3
201819,Virginia,1,Auburn,5
201819,Texas Tech,3,Michigan State,2
201819,Virginia,1,Texas Tech,3
