ID,School,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
208,Oklahoma,26,7,15.54,5.48,12,4,13,1,5,5,2454,2122,859,1924,242,636,494,668,420,1184,444,281,91,420,706
214,Penn State,21,12,12.42,10.54,7,9,10,4,5,6,2535,2473,835,1962,278,757,587,768,349,1069,481,279,117,407,657
221,Princeton,16,11,-2.53,-1.88,11,3,9,1,6,7,1562,1569,540,1203,218,619,264,363,174,692,383,180,61,340,456
222,Providence,21,10,13.74,5.44,11,5,13,3,8,3,2359,2049,806,1809,249,622,498,693,391,1129,506,286,172,467,644
235,Saint Joseph’s,26,7,12.72,4.45,14,2,13,1,10,5,2625,2352,905,1879,255,716,560,808,368,1241,590,204,128,479,652
254,Southern California,24,10,16.53,10.83,11,7,13,3,7,5,2620,2420,898,1955,208,597,616,873,422,1250,514,259,151,512,617
258,Southern Utah,25,6,3.01,-3.42,13,3,13,0,9,5,2243,2015,783,1602,197,493,480,673,335,997,462,321,87,470,613
263,Stanford,31,3,25.76,9.86,16,2,13,2,11,0,2829,2226,953,1865,252,587,671,903,365,1244,568,187,108,438,778
267,Syracuse,25,9,11.14,5.82,10,6,15,2,4,5,2475,2294,885,2029,185,552,520,727,442,1311,545,325,203,441,681
268,Temple,24,13,16.2,9.77,12,4,12,5,8,6,2604,2366,926,2168,281,815,471,673,494,1322,416,270,138,307,585
272,Tennessee,22,11,15.49,10.28,8,8,13,3,6,6,2668,2496,909,1980,257,697,593,872,421,1301,528,232,191,528,712
282,Texas,25,9,14.25,8.89,12,4,16,1,6,5,2396,2211,819,1990,215,626,543,835,483,1346,414,268,191,502,771
288,UCLA,23,9,17.13,12.06,14,4,12,4,8,3,2544,2382,902,1947,190,535,550,829,441,1219,464,249,127,515,670
289,Utah State,28,6,9.97,-1.5,13,3,15,0,7,4,2404,1959,852,1755,200,513,500,743,370,1177,511,220,132,486,581
298,Virginia,20,9,18.93,8.72,9,7,15,1,5,7,2464,2168,852,1872,204,553,556,755,437,1131,420,221,98,399,590
300,Wake Forest,19,11,20.53,10.5,8,8,13,3,6,6,2296,1995,838,1815,177,494,443,609,342,1104,465,219,136,375,572
307,Western Kentucky,24,7,8.67,-1.65,14,2,13,2,9,4,2303,1889,812,1789,213,605,466,674,441,1240,452,246,155,453,588
311,Winthrop,18,13,-3.73,-7.8,11,3,11,1,5,8,2037,1917,684,1676,215,613,454,661,398,1103,351,223,78,441,610
312,Wisconsin,18,11,14.9,12.08,9,7,13,2,5,7,1723,1641,575,1349,174,477,399,568,233,869,358,172,68,337,520
316,Xavier,21,8,12.14,4.59,12,4,14,1,7,5,2130,1911,706,1653,178,587,540,768,391,1125,398,208,115,415,551
