,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
94,Florida Gulf Coast NCAA,34,26,8,0.765,2.26,-3.42,12,2,16,3,10,3,2701,2356,,1370,1007,2017,0.499,221,636,0.347,466,664,0.702,379,1269,527,207,116,421,635
96,Florida State NCAA,35,26,9,0.743,18.87,8.87,12,6,18,0,3,6,2873,2523,,1400,1036,2146,0.483,233,671,0.347,568,824,0.689,409,1324,511,259,180,415,684
97,Florida NCAA,36,27,9,0.75,22.4,11.01,14,4,9,1,8,4,2804,2394,,1455,953,2118,0.45,278,776,0.358,620,851,0.729,416,1331,450,272,167,431,661
109,Gonzaga NCAA,39,37,2,0.949,25.26,4.13,17,1,15,1,10,0,3222,2398,,1560,1149,2280,0.504,286,749,0.382,638,890,0.717,378,1587,595,265,183,448,660
131,Iona NCAA,35,22,13,0.629,1.08,-2.47,12,8,8,4,7,7,2813,2689,,1415,979,2155,0.454,342,862,0.397,513,668,0.768,338,1250,541,239,108,421,669
132,Iowa State NCAA,35,24,11,0.686,20.51,11.94,12,6,12,3,5,6,2829,2529,,1425,1031,2186,0.472,344,860,0.4,423,604,0.7,318,1219,553,272,124,355,557
137,Jacksonville State NCAA,35,20,15,0.571,-2.85,-3.24,9,7,5,5,10,9,2434,2378,,1410,857,1869,0.459,258,685,0.377,462,647,0.714,355,1244,493,157,134,477,628
140,Kansas State NCAA,35,21,14,0.6,14.8,10.48,8,10,11,5,5,6,2523,2372,,1405,869,1883,0.461,247,683,0.362,538,775,0.694,330,1132,521,271,130,453,630
141,Kansas NCAA,36,31,5,0.861,23.53,12.23,16,2,14,1,10,1,2995,2588,,1455,1071,2193,0.488,318,787,0.404,535,789,0.678,428,1393,584,250,162,456,639
143,Kent State NCAA,36,22,14,0.611,0.88,-1.63,10,8,10,6,7,5,2772,2628,,1465,986,2302,0.428,257,803,0.32,543,755,0.719,539,1454,449,230,134,465,685
144,Kentucky NCAA,38,32,6,0.842,23.88,10.49,16,2,15,2,7,3,3225,2716,,1525,1134,2396,0.473,267,757,0.353,690,980,0.704,470,1512,585,229,200,443,716
158,Louisville NCAA,34,25,9,0.735,22.47,11.15,12,6,16,1,5,5,2628,2243,,1370,952,2085,0.457,238,670,0.355,486,708,0.686,457,1343,461,227,186,374,652
165,Marquette NCAA,32,19,13,0.594,15.26,8.6,10,8,14,3,4,6,2631,2418,,1285,919,1888,0.487,336,783,0.429,457,585,0.781,280,1058,525,231,115,396,620
169,Maryland NCAA,33,24,9,0.727,12.79,8.29,12,6,13,5,8,2,2438,2246,,1325,827,1840,0.449,272,757,0.359,512,732,0.699,351,1173,472,180,154,426,613
175,Miami (FL) NCAA,33,21,12,0.636,14.48,9.57,10,8,14,2,4,6,2278,2116,,1325,813,1800,0.452,209,587,0.356,443,617,0.718,363,1176,389,213,125,417,513
177,Michigan State NCAA,35,20,15,0.571,13.67,10.5,10,8,14,2,2,7,2515,2404,,1405,905,1927,0.47,273,732,0.373,432,646,0.669,328,1275,591,151,162,490,699
178,Michigan NCAA,38,26,12,0.684,18.8,10.17,10,8,15,3,3,8,2851,2523,,1535,1002,2076,0.483,361,937,0.385,486,624,0.779,280,1111,527,220,108,348,571
179,Middle Tennessee NCAA,36,31,5,0.861,9.8,-0.48,17,1,13,2,11,2,2697,2299,,1445,1014,2077,0.488,228,622,0.367,441,631,0.699,355,1273,552,242,100,374,655
181,Minnesota NCAA,34,24,10,0.706,14.56,8.82,11,7,17,3,5,5,2556,2361,,1390,887,2037,0.435,209,610,0.343,573,806,0.711,378,1341,507,194,227,393,577
193,Mount St. Mary's NCAA,36,20,16,0.556,-4.29,-3.51,14,4,11,4,8,11,2446,2474,,1445,877,1977,0.444,261,730,0.358,431,640,0.673,276,1082,403,222,142,472,640
199,Nevada NCAA,35,28,7,0.8,10.49,2.03,14,4,13,1,8,4,2792,2496,,1405,933,2082,0.448,320,837,0.382,606,859,0.705,386,1351,559,189,152,386,581
201,New Mexico State NCAA,34,28,6,0.824,4.66,-3.82,11,3,17,1,8,4,2678,2310,,1365,913,1957,0.467,252,747,0.337,600,843,0.712,436,1339,505,166,128,465,627
203,New Orleans NCAA,32,20,12,0.625,-4.1,-5.34,13,5,11,3,7,8,2331,2215,,1300,830,1755,0.473,139,438,0.317,532,749,0.71,386,1140,500,252,97,534,562
210,North Carolina Central NCAA,34,25,9,0.735,-3.18,-12.12,13,3,11,2,11,6,2542,2159,,1360,910,2005,0.454,255,761,0.335,467,684,0.683,397,1313,480,209,112,406,587
213,North Carolina-Wilmington NCAA,35,29,6,0.829,8.06,-0.55,15,3,13,1,11,3,2967,2624,,1405,1071,2231,0.48,336,917,0.366,489,708,0.691,422,1261,564,234,115,363,699
214,North Carolina NCAA,40,33,7,0.825,24.84,11.76,14,4,16,0,6,5,3377,2824,,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711
216,North Dakota NCAA,32,22,10,0.688,-1.83,-5.45,14,4,11,2,7,6,2578,2357,,1300,926,1919,0.483,228,585,0.39,498,698,0.713,297,1146,487,251,93,419,672
224,Northern Kentucky NCAA,35,24,11,0.686,-0.17,-2.84,12,6,12,2,8,7,2659,2507,,1400,928,2037,0.456,300,859,0.349,503,740,0.68,391,1319,486,200,98,468,622
226,Northwestern NCAA,36,24,12,0.667,14.02,8.43,10,8,14,4,5,5,2558,2357,,1440,913,2094,0.436,256,747,0.343,476,637,0.747,386,1304,540,190,175,383,691
227,Notre Dame NCAA,36,26,10,0.722,17.81,9.78,12,6,16,2,5,4,2783,2494,,1445,980,2139,0.458,334,869,0.384,489,611,0.8,334,1212,566,255,134,341,533
231,Oklahoma State NCAA,33,20,13,0.606,19.19,12.22,9,9,11,5,7,5,2828,2589,,1320,957,2050,0.467,294,732,0.402,620,786,0.789,454,1215,486,252,99,432,730
236,Oregon NCAA,39,33,6,0.846,20.8,8.38,16,2,17,0,7,3,3076,2565,,1565,1091,2270,0.481,334,880,0.38,560,787,0.712,412,1431,614,253,248,454,614
246,Princeton NCAA,30,23,7,0.767,6.57,-1.84,14,0,10,1,10,4,2149,1843,,1205,772,1716,0.45,298,789,0.378,307,416,0.738,247,1003,426,200,93,298,482
247,Providence NCAA,33,20,13,0.606,11.24,7.84,10,8,15,3,4,7,2319,2207,,1325,804,1795,0.448,239,645,0.371,472,683,0.691,294,1101,471,218,98,412,569
248,Purdue NCAA,35,27,8,0.771,20.13,8.79,14,4,15,2,6,4,2790,2393,,1415,980,2044,0.479,315,782,0.403,515,680,0.757,344,1322,640,181,87,455,552
251,Rhode Island NCAA,35,25,10,0.714,12.88,4.62,13,5,13,3,7,5,2577,2288,,1405,916,2019,0.454,217,653,0.332,528,791,0.668,409,1301,467,227,206,389,725
262,Saint Mary's (CA) NCAA,34,29,5,0.853,16.75,2.19,16,2,15,2,10,1,2449,1954,,1360,892,1797,0.496,293,744,0.394,372,499,0.745,324,1205,563,143,110,365,512
273,Seton Hall NCAA,33,21,12,0.636,12.1,9.25,10,8,12,2,4,6,2417,2323,,1335,872,1949,0.447,202,598,0.338,471,733,0.643,439,1311,405,228,82,449,613
278,South Carolina NCAA,37,26,11,0.703,17.52,10.16,12,6,15,3,6,5,2707,2414,,1505,924,2197,0.421,248,733,0.338,611,874,0.699,464,1346,468,288,142,480,751
279,South Dakota State NCAA,35,18,17,0.514,-2.3,-0.66,8,8,11,3,3,12,2683,2697,,1415,881,1938,0.455,318,883,0.36,603,782,0.771,316,1229,459,180,83,453,584
284,Southern California NCAA,36,26,10,0.722,11.48,6.4,10,8,14,3,6,5,2816,2633,,1445,975,2139,0.456,283,782,0.362,583,787,0.741,387,1286,550,252,190,398,571
287,Southern Methodist NCAA,35,30,5,0.857,18.71,4.45,17,1,18,0,8,3,2599,2100,,1400,914,1934,0.473,286,705,0.406,485,696,0.697,416,1335,566,200,117,377,506
311,Texas Southern NCAA,35,23,12,0.657,-6.41,-7.81,16,2,10,0,11,11,2593,2544,,1410,866,2015,0.43,205,693,0.296,656,893,0.735,401,1228,409,250,111,407,607
317,Troy NCAA,37,22,15,0.595,-0.47,-3.36,10,8,10,4,6,10,2889,2667,,1485,982,2153,0.456,311,867,0.359,614,847,0.725,409,1362,484,221,129,462,654
320,UCLA NCAA,36,31,5,0.861,20.67,6.39,15,3,16,1,8,2,3233,2719,,1440,1210,2320,0.522,354,872,0.406,459,622,0.738,343,1386,771,212,191,404,583
325,Vanderbilt NCAA,35,19,16,0.543,13.69,10.72,10,8,11,5,5,6,2489,2385,,1405,815,1896,0.43,346,921,0.376,513,660,0.777,286,1208,450,147,133,430,581
326,Vermont NCAA,35,29,6,0.829,6.67,-3.27,16,0,16,1,11,3,2571,2174,,1400,943,1909,0.494,229,621,0.369,456,651,0.7,326,1192,476,199,151,392,555
327,Villanova NCAA,36,32,4,0.889,23.8,9.28,15,3,14,1,9,2,2779,2256,,1440,965,1948,0.495,311,843,0.369,538,681,0.79,316,1208,505,259,109,402,515
328,Virginia Commonwealth NCAA,35,26,9,0.743,11.57,3.77,14,4,15,1,7,4,2616,2343,,1420,945,2050,0.461,199,602,0.331,527,747,0.705,386,1275,525,263,138,435,728
330,Virginia Tech NCAA,33,22,11,0.667,12.77,8.38,10,8,15,2,4,6,2610,2465,,1330,887,1813,0.489,290,720,0.403,546,741,0.737,240,1068,497,131,91,398,543
331,Virginia NCAA,34,23,11,0.676,20.63,10.93,11,7,12,4,7,5,2246,1916,,1380,839,1823,0.46,232,602,0.385,336,474,0.709,297,1119,473,190,138,324,556
333,Wake Forest NCAA,33,19,14,0.576,14.19,9.8,9,9,11,3,5,8,2733,2588,,1320,923,1955,0.472,268,697,0.385,619,795,0.779,349,1199,512,183,121,389,668
337,West Virginia NCAA,37,28,9,0.757,24.45,9.67,12,6,16,2,6,4,3014,2467,,1505,1059,2333,0.454,275,759,0.362,621,907,0.685,534,1387,607,371,176,455,756
342,Wichita State NCAA,36,31,5,0.861,21.24,2.96,17,1,16,1,9,1,2916,2246,,1440,992,2114,0.469,310,769,0.403,622,848,0.733,433,1472,586,235,140,406,676
344,Winthrop NCAA,33,26,7,0.788,1.34,-6.12,15,3,13,3,12,3,2615,2322,,1350,891,1957,0.455,313,839,0.373,520,725,0.717,316,1224,423,216,169,430,605
345,Wisconsin NCAA,37,27,10,0.73,19.4,9.4,12,6,15,2,5,5,2678,2308,,1500,971,2135,0.455,283,788,0.359,453,703,0.644,460,1377,504,250,130,411,602
349,Xavier NCAA,38,24,14,0.632,14.8,11.51,9,9,12,4,4,8,2836,2711,,1525,981,2148,0.457,267,776,0.344,607,881,0.689,451,1417,559,228,100,478,708
