,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
13,Arizona NCAA,37,32,5,0.865,18.25,7.63,16,2,15,1,9,1,2833,2440,,1480,977,2048,0.477,244,625,0.39,635,830,0.765,380,1358,501,201,119,413,625
17,Arkansas NCAA,36,26,10,0.722,14.04,8.6,12,6,15,3,6,5,2855,2659,,1440,997,2165,0.461,233,638,0.365,628,825,0.761,401,1298,497,278,170,428,739
22,Baylor NCAA,35,27,8,0.771,19.75,11.87,12,6,15,2,6,4,2550,2228,,1400,921,1956,0.471,230,641,0.359,478,661,0.723,451,1329,544,180,166,469,617
34,Bucknell NCAA,35,26,9,0.743,5.89,-2.48,15,3,14,2,9,6,2669,2376,,1400,942,1961,0.48,286,754,0.379,497,730,0.681,302,1203,510,252,134,466,655
36,Butler NCAA,34,25,9,0.735,17.7,10.23,12,6,13,3,7,4,2595,2341,,1370,906,1898,0.477,261,714,0.366,522,704,0.741,287,1091,453,206,96,346,640
41,UC-Davis NCAA,36,23,13,0.639,-5.21,-4.68,11,5,11,0,6,9,2525,2506,,1455,873,2008,0.435,221,635,0.348,558,828,0.674,364,1280,461,202,118,513,688
56,Cincinnati NCAA,36,30,6,0.833,18.43,5.49,16,2,18,0,8,3,2674,2208,,1450,969,2116,0.458,264,764,0.346,472,688,0.686,437,1328,557,261,173,361,566
69,Creighton NCAA,35,25,10,0.714,17.27,8.95,10,8,13,4,7,4,2864,2549,,1400,1078,2137,0.504,304,766,0.397,404,592,0.682,289,1223,598,213,102,435,582
72,Dayton NCAA,32,24,8,0.75,12.98,4.27,15,3,15,1,7,3,2428,2126,,1285,820,1763,0.465,258,671,0.385,530,768,0.69,277,1097,500,249,128,376,601
80,Duke NCAA,37,28,9,0.757,21.56,10.91,11,7,15,1,4,6,2991,2597,,1480,1019,2144,0.475,311,822,0.378,642,842,0.762,390,1341,484,226,172,421,675
83,East Tennessee State NCAA,35,27,8,0.771,7.31,-2.11,14,4,13,2,8,5,2782,2438,,1415,960,1967,0.488,265,693,0.382,597,850,0.702,357,1269,516,293,162,519,698
