,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
307,Texas Christian NCAA,33,21,12,0.636,16.38,9.68,9,9,15,3,3,7,2708,2487,,1345,979,1973,0.496,274,694,0.395,476,674,0.706,365,1201,615,214,119,419,553
311,Texas Southern NCAA,36,16,20,0.444,-7.53,-5.53,12,6,8,2,5,17,2787,2859,,1450,925,2111,0.438,280,781,0.359,657,906,0.725,368,1301,438,207,145,453,631
313,Texas Tech NCAA,37,27,10,0.73,19.38,9.6,11,7,17,1,4,6,2759,2397,,1490,964,2096,0.46,252,702,0.359,579,823,0.704,396,1332,529,262,158,454,669
314,Texas NCAA,34,19,15,0.559,13.96,10.67,8,10,13,4,3,7,2450,2338,,1410,882,2010,0.439,245,766,0.32,441,663,0.665,358,1217,394,209,168,399,547
320,UCLA NCAA,33,21,12,0.636,12.07,6.86,11,7,14,2,3,7,2679,2507,,1350,927,2014,0.46,310,813,0.381,515,715,0.72,335,1283,495,184,131,399,592
327,Villanova NCAA,40,36,4,0.9,26.64,10.24,14,4,12,1,9,3,3463,2807,,1615,1220,2440,0.5,464,1158,0.401,559,718,0.779,380,1436,655,259,162,426,645
330,Virginia Tech NCAA,33,21,12,0.636,14.35,6.72,10,8,14,4,6,5,2634,2382,,1335,931,1865,0.499,289,745,0.388,483,681,0.709,244,1078,542,191,74,395,523
331,Virginia NCAA,34,31,3,0.912,22.21,9.07,17,1,16,1,10,1,2283,1836,,1365,848,1844,0.46,247,645,0.383,340,451,0.754,282,1099,458,232,124,290,480
337,West Virginia NCAA,37,26,11,0.703,19.88,9.36,11,7,14,3,5,5,2964,2575,,1485,1036,2374,0.436,322,911,0.353,570,744,0.766,513,1401,561,301,192,420,798
342,Wichita State NCAA,33,25,8,0.758,16.58,5.46,14,4,13,3,9,2,2731,2364,,1330,957,2009,0.476,300,787,0.381,517,700,0.739,404,1336,610,154,127,385,580
347,Wright State NCAA,35,25,10,0.714,0.58,-3.64,14,4,14,2,8,7,2500,2307,,1410,873,2019,0.432,237,703,0.337,517,723,0.715,354,1266,460,231,77,459,558
349,Xavier NCAA,35,29,6,0.829,19.08,9.45,15,3,17,1,9,2,2953,2616,,1415,1011,2055,0.492,274,736,0.372,657,843,0.779,340,1342,579,205,109,441,602
