,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
7,Alabama NCAA,36,20,16,0.556,12.34,10.64,8,10,12,4,2,8,2604,2543,,1440,910,1975,0.461,229,702,0.326,555,828,0.67,358,1290,458,228,192,513,676
12,Arizona State NCAA,32,20,12,0.625,14.37,6.56,8,10,13,4,4,6,2645,2395,,1290,888,1920,0.463,288,793,0.363,581,793,0.733,315,1126,458,209,114,343,604
13,Arizona NCAA,35,27,8,0.771,15.67,6.84,14,4,15,1,8,3,2818,2509,,1420,1009,2003,0.504,237,642,0.369,563,741,0.76,352,1277,531,173,158,426,603
17,Arkansas NCAA,35,23,12,0.657,14.76,9.85,10,8,15,2,3,7,2819,2647,,1415,1005,2119,0.474,269,681,0.395,540,793,0.681,350,1208,501,218,163,381,700
19,Auburn NCAA,34,26,8,0.765,15.97,7.29,13,5,15,1,7,4,2783,2488,,1360,906,2102,0.431,324,908,0.357,647,836,0.774,403,1290,481,252,180,411,672
34,Bucknell NCAA,35,25,10,0.714,4.48,-3.46,16,2,15,1,10,8,2837,2559,,1420,965,2050,0.471,280,804,0.348,627,872,0.719,324,1281,505,194,152,437,655
35,Buffalo NCAA,36,27,9,0.75,7.99,0.25,15,3,14,1,8,5,3047,2742,,1455,1105,2334,0.473,351,948,0.37,486,695,0.699,426,1388,597,225,146,446,755
36,Butler NCAA,35,21,14,0.6,16.92,10.55,9,9,14,3,3,7,2763,2540,,1430,1020,2155,0.473,287,805,0.357,436,562,0.776,319,1198,489,232,100,391,642
39,Cal State Fullerton NCAA,32,20,12,0.625,-0.92,-1.02,10,6,9,4,7,7,2318,2245,,1290,804,1721,0.467,167,500,0.334,543,745,0.729,276,1123,403,201,106,455,578
56,Cincinnati NCAA,36,31,5,0.861,20.25,3.53,16,2,15,1,9,2,2673,2071,,1440,944,2100,0.45,262,742,0.353,523,756,0.692,477,1413,570,256,194,404,561
58,Clemson NCAA,35,25,10,0.714,17.17,9.25,11,7,15,1,4,6,2584,2307,,1410,899,1971,0.456,288,786,0.366,498,660,0.755,310,1256,463,198,169,414,564
62,College of Charleston NCAA,34,26,8,0.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,,1385,875,1905,0.459,259,720,0.36,527,699,0.754,285,1129,387,177,119,339,563
69,Creighton NCAA,33,21,12,0.636,16.35,8.1,10,8,16,2,4,7,2756,2444,,1330,1008,2050,0.492,343,923,0.372,397,531,0.748,246,1206,588,187,88,371,501
71,Davidson NCAA,33,21,12,0.636,11.02,2.57,13,5,11,1,6,8,2519,2240,,1335,899,1874,0.48,353,907,0.389,368,461,0.798,225,1078,551,155,65,315,503
80,Duke NCAA,37,29,8,0.784,24.44,9.71,13,5,15,1,6,5,3121,2576,,1490,1125,2288,0.492,309,831,0.372,562,791,0.71,492,1519,648,275,185,460,574
96,Florida State NCAA,35,23,12,0.657,15.79,8.5,9,9,13,2,4,7,2806,2551,,1420,994,2125,0.468,273,781,0.35,543,786,0.691,393,1322,523,241,186,456,652
97,Florida NCAA,34,21,13,0.618,16.67,10.08,11,7,12,5,5,4,2577,2353,,1375,893,2065,0.432,308,832,0.37,483,673,0.718,366,1198,445,237,164,335,591
106,Georgia State NCAA,35,24,11,0.686,3.23,-2.78,12,6,11,3,9,6,2614,2356,,1415,937,2033,0.461,323,839,0.385,417,615,0.678,303,1182,455,256,160,395,639
109,Gonzaga NCAA,37,32,5,0.865,18.43,2.59,17,1,15,1,10,1,3091,2505,,1500,1125,2261,0.498,328,891,0.368,513,725,0.708,405,1477,564,234,134,420,631
121,Houston NCAA,35,27,8,0.771,15.99,4.16,14,4,15,0,6,5,2685,2271,,1400,952,2066,0.461,297,768,0.387,484,674,0.718,404,1352,505,218,106,418,737
131,Iona NCAA,34,20,14,0.588,0.76,-2.19,11,7,8,3,7,8,2702,2602,,1385,957,2076,0.461,324,846,0.383,462,626,0.738,290,1146,542,229,103,395,587
140,Kansas State NCAA,37,25,12,0.676,12.84,8.74,10,8,14,3,6,5,2630,2478,,1485,937,2025,0.463,254,745,0.341,502,684,0.734,299,1136,510,294,110,423,684
141,Kansas NCAA,39,31,8,0.795,21.39,11.87,13,5,14,3,8,3,3174,2803,,1565,1165,2366,0.492,391,974,0.401,453,640,0.708,372,1388,649,254,160,456,597
144,Kentucky NCAA,37,26,11,0.703,17.24,10.73,10,8,16,2,4,6,2840,2599,,1485,998,2115,0.472,195,546,0.357,649,930,0.698,439,1431,489,208,176,480,702
150,Lipscomb NCAA,33,23,10,0.697,-2.1,-3.8,10,4,13,2,10,7,2708,2564,,1340,924,2040,0.453,267,813,0.328,593,826,0.718,346,1276,517,216,102,493,656
152,Long Island University NCAA,35,18,17,0.514,-8.61,-8.19,10,8,12,4,5,11,2696,2674,,1405,935,2055,0.455,279,815,0.342,547,786,0.696,367,1327,442,194,111,496,687
159,Loyola (IL) NCAA,38,32,6,0.842,10.38,1.81,15,3,14,1,9,4,2721,2377,,1520,995,1963,0.507,277,700,0.396,454,626,0.725,229,1222,594,241,90,472,528
166,Marshall NCAA,36,25,11,0.694,4.21,0.44,12,6,15,2,6,8,3017,2849,,1455,1042,2232,0.467,362,1012,0.358,571,747,0.764,288,1287,615,252,209,476,617
167,Maryland-Baltimore County NCAA,36,25,11,0.694,-2.02,-3.84,12,4,15,2,9,7,2630,2466,,1440,926,2088,0.443,364,940,0.387,414,641,0.646,347,1245,547,269,87,440,592
175,Miami (FL) NCAA,32,22,10,0.688,12.83,6.96,11,7,11,3,8,4,2361,2173,,1290,875,1881,0.465,247,678,0.364,362,547,0.662,317,1113,424,210,130,367,518
177,Michigan State NCAA,35,30,5,0.857,22.41,7.1,16,2,16,1,8,1,2807,2271,,1405,991,1996,0.496,290,725,0.4,535,716,0.747,401,1439,670,143,251,459,640
178,Michigan NCAA,41,33,8,0.805,19.03,9.41,13,5,15,1,6,5,3019,2596,,1655,1092,2335,0.468,361,1011,0.357,474,717,0.661,336,1367,585,261,126,379,643
187,Missouri NCAA,33,20,13,0.606,13.81,9.19,10,8,13,3,5,6,2399,2246,,1330,794,1765,0.45,306,799,0.383,505,688,0.734,332,1225,443,170,140,469,594
190,Montana NCAA,34,26,8,0.765,6.28,-2.25,16,2,14,0,8,6,2625,2329,,1380,944,2021,0.467,186,549,0.339,551,780,0.706,400,1258,428,264,114,422,716
194,Murray State NCAA,32,26,6,0.813,6.87,-3.53,16,2,14,2,10,3,2515,2117,,1280,870,1803,0.483,271,719,0.377,504,687,0.734,340,1186,471,216,104,384,559
199,Nevada NCAA,37,29,8,0.784,14.44,4.93,15,3,14,1,11,3,3055,2703,,1500,1049,2238,0.469,354,904,0.392,603,812,0.743,339,1316,598,230,150,357,630
201,New Mexico State NCAA,34,28,6,0.824,9.06,-1.1,12,2,14,1,8,3,2572,2183,,1365,963,2104,0.458,258,773,0.334,388,603,0.643,427,1402,481,189,103,429,604
210,North Carolina Central NCAA,35,19,16,0.543,-13.19,-12.31,9,7,12,2,3,13,2520,2425,,1405,949,2060,0.461,212,640,0.331,410,597,0.687,410,1336,545,179,117,495,650
211,North Carolina-Greensboro NCAA,35,27,8,0.771,4.54,-3.87,15,3,16,1,8,6,2562,2189,,1430,924,2075,0.445,331,938,0.353,383,549,0.698,417,1307,487,267,132,481,650
212,North Carolina State NCAA,33,21,12,0.636,12.91,6.7,11,7,16,3,4,5,2682,2477,,1325,965,2054,0.47,263,707,0.372,489,703,0.696,400,1176,531,244,122,400,609
214,North Carolina NCAA,37,26,11,0.703,20.08,11.78,11,7,12,3,6,5,3018,2711,,1485,1105,2417,0.457,305,849,0.359,503,677,0.743,511,1570,674,213,151,445,587
229,Ohio State NCAA,34,25,9,0.735,17.67,9.03,15,3,16,2,6,2,2591,2297,,1375,951,1980,0.48,239,678,0.353,450,616,0.731,330,1245,499,209,132,399,595
232,Oklahoma NCAA,32,18,14,0.563,13.81,10.56,8,10,13,2,2,9,2718,2614,,1295,954,2063,0.462,300,836,0.359,510,684,0.746,337,1229,479,208,151,428,551
239,Pennsylvania NCAA,33,24,9,0.727,2.24,-3.17,12,2,11,3,9,4,2506,2274,,1355,893,1948,0.458,291,831,0.35,429,651,0.659,283,1239,508,194,92,391,566
247,Providence NCAA,35,21,14,0.6,11.12,10.23,10,8,13,4,4,7,2575,2544,,1425,899,2037,0.441,223,671,0.332,554,787,0.704,367,1247,485,238,128,430,624
248,Purdue NCAA,37,30,7,0.811,23.41,8.74,15,3,16,1,8,2,2974,2431,,1485,1033,2097,0.493,353,840,0.42,555,747,0.743,311,1295,598,211,180,399,580
250,Radford NCAA,36,23,13,0.639,-2.61,-4.08,12,6,12,2,7,10,2422,2336,,1465,850,2000,0.425,277,793,0.349,445,614,0.725,414,1244,442,226,105,441,596
251,Rhode Island NCAA,34,26,8,0.765,11.81,4.61,15,3,15,1,7,4,2583,2338,,1370,954,2096,0.455,236,670,0.352,439,630,0.697,386,1170,520,249,118,362,645
266,San Diego State NCAA,33,22,11,0.667,12.23,3.91,11,7,13,2,5,7,2545,2240,,1320,902,1967,0.459,239,709,0.337,502,702,0.715,364,1250,488,206,107,394,564
273,Seton Hall NCAA,34,22,12,0.647,15.67,10.11,10,8,14,3,5,6,2701,2512,,1370,971,2073,0.468,250,685,0.365,509,729,0.698,414,1302,527,210,117,432,614
279,South Dakota State NCAA,35,28,7,0.8,6.84,-0.38,13,1,15,0,8,5,2958,2599,,1415,1003,2147,0.467,374,927,0.403,578,759,0.762,308,1360,467,172,80,353,562
291,St. Bonaventure NCAA,34,26,8,0.765,8.87,2.61,14,4,13,1,9,4,2620,2407,,1380,884,1959,0.451,255,661,0.386,597,794,0.752,344,1208,472,239,118,391,674
295,Stephen F. Austin NCAA,35,28,7,0.8,2.67,-6.46,14,4,16,1,9,5,2819,2386,,1400,1000,2059,0.486,242,651,0.372,577,819,0.705,399,1248,498,361,107,540,765
298,Syracuse NCAA,37,23,14,0.622,12.89,10.02,8,10,14,5,4,6,2466,2360,,1500,832,1995,0.417,208,655,0.318,594,807,0.736,433,1375,395,258,198,460,611
303,Tennessee NCAA,35,26,9,0.743,18.2,10.12,13,5,13,2,8,4,2584,2301,,1410,885,2012,0.44,273,718,0.38,541,715,0.757,404,1262,550,222,156,422,680
305,Texas A&M NCAA,35,22,13,0.629,15.3,10.62,9,9,13,3,4,7,2631,2467,,1400,976,2121,0.46,230,700,0.329,449,679,0.661,429,1450,538,190,209,476,574
