,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
3,Alabama A&M NCAA,32,18,14,0.563,-11.96,-12.86,12,6,9,3,6,8,2229,2169,,,762,1899,0.401,198,656,0.302,507,827,0.613,423,1210,426,338,124,488,619
4,Alabama-Birmingham NCAA,33,22,11,0.667,10.42,4.78,10,6,11,3,7,5,2557,2371,,1330,900,1996,0.451,217,625,0.347,540,776,0.696,390,1090,516,382,99,444,646
6,Alabama NCAA,32,24,8,0.75,16.74,6.81,12,4,14,1,8,4,2426,2083,,1295,819,1694,0.483,249,632,0.394,539,732,0.736,334,1179,453,164,143,410,471
12,Arizona NCAA,37,30,7,0.811,18,8.03,15,3,15,1,8,3,2948,2579,,1495,1077,2255,0.478,253,630,0.402,541,697,0.776,493,1361,610,296,144,548,596
27,Boston College NCAA,30,25,5,0.833,14.38,6.41,13,3,16,1,7,2,2174,1935,,1215,768,1685,0.456,124,493,0.252,514,722,0.712,424,1135,527,217,123,403,453
33,Bucknell NCAA,33,23,10,0.697,2.12,-2.19,10,4,12,1,8,7,2097,1946,,1325,704,1585,0.444,218,591,0.369,471,672,0.701,306,1044,416,262,96,508,630
47,Central Florida NCAA,33,24,9,0.727,-4.91,-7.78,13,7,12,3,8,5,2304,2152,,1330,784,1702,0.461,283,759,0.373,453,651,0.696,405,1174,512,221,143,496,622
50,Charlotte NCAA,29,21,8,0.724,9.63,3.97,12,4,12,2,7,5,2257,2093,,1180,763,1767,0.432,232,630,0.368,499,730,0.684,420,1119,409,252,92,389,495
51,Chattanooga NCAA,31,20,11,0.645,-1.37,-3.59,10,6,13,3,7,7,2253,2034,,1240,795,1746,0.455,168,554,0.303,495,729,0.679,509,1284,450,231,60,535,523
53,Cincinnati NCAA,33,25,8,0.758,17.64,6.74,12,4,15,2,7,3,2505,2130,,1330,839,1923,0.436,221,634,0.349,606,878,0.69,471,1355,493,179,225,435,586
63,Connecticut NCAA,31,23,8,0.742,18.82,7.62,13,3,14,3,7,3,2419,2072,,,862,1872,0.46,154,486,0.317,541,773,0.7,478,1412,531,189,275,468,492
66,Creighton NCAA,34,23,11,0.676,10.14,3.84,11,7,11,5,7,5,2421,2207,,1370,823,1820,0.452,293,707,0.414,482,660,0.73,336,1063,483,234,111,412,598
70,Delaware State NCAA,33,19,14,0.576,-6.68,-6.89,14,4,9,1,6,11,2043,2036,,,667,1585,0.421,213,622,0.342,496,668,0.743,334,911,351,264,92,461,538
77,Duke NCAA,33,27,6,0.818,23.01,10.04,11,5,14,1,5,4,2581,2153,,,853,1915,0.445,290,763,0.38,585,821,0.713,432,1261,421,287,220,454,612
82,Eastern Kentucky NCAA,31,22,9,0.71,-2.68,-5.18,11,5,12,1,8,7,2256,2078,,1250,845,1773,0.477,194,552,0.351,372,555,0.67,360,1103,480,232,122,451,599
88,Fairleigh Dickinson NCAA,33,20,13,0.606,-4.13,-6.91,13,5,12,3,7,8,2432,2310,,,894,1975,0.453,218,626,0.348,426,640,0.666,408,1200,498,237,145,466,624
93,Florida NCAA,32,24,8,0.75,20.18,7.12,12,4,13,3,6,4,2438,2020,,1290,844,1751,0.482,244,626,0.39,506,716,0.707,366,1186,475,228,146,444,598
99,George Washington NCAA,30,22,8,0.733,10.62,1.05,11,5,10,3,8,4,2308,2021,,1205,833,1750,0.476,162,447,0.362,480,693,0.693,390,1098,484,293,128,448,528
103,Georgia Tech NCAA,32,20,12,0.625,17.21,9.78,8,8,13,3,4,6,2371,2133,,1290,849,1877,0.452,190,570,0.333,483,699,0.691,400,1248,471,265,162,483,648
105,Gonzaga NCAA,31,26,5,0.839,13.3,4.37,12,2,14,0,6,3,2454,2159,,1240,856,1702,0.503,153,403,0.38,589,797,0.739,368,1191,486,169,106,416,536
121,Illinois NCAA,39,37,2,0.949,24.1,8.47,15,1,15,0,9,1,3002,2382,,1570,1092,2258,0.484,344,877,0.392,474,651,0.728,425,1338,727,300,123,428,611
125,Iowa State NCAA,31,19,12,0.613,11.37,8.4,9,7,13,3,4,7,2112,2005,,1255,784,1794,0.437,113,387,0.292,431,632,0.682,376,1100,444,295,120,405,524
126,Iowa NCAA,33,21,12,0.636,14.97,9.34,7,9,13,3,3,6,2407,2221,,1335,841,1831,0.459,210,558,0.376,515,745,0.691,371,1196,501,247,174,476,618
134,Kansas NCAA,30,23,7,0.767,20.68,10.85,12,4,15,1,6,4,2251,1956,,1220,801,1684,0.476,198,539,0.367,451,649,0.695,350,1129,495,197,115,433,574
136,Kentucky NCAA,34,28,6,0.824,19.16,8.1,14,2,14,1,7,3,2503,2127,,1375,901,1940,0.464,218,635,0.343,483,728,0.663,417,1197,509,311,147,445,582
145,Louisiana NCAA,31,20,11,0.645,5.71,1.91,11,4,11,1,5,9,2239,2109,,,804,1802,0.446,200,601,0.333,431,654,0.659,437,1092,375,291,85,482,604
