,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
147,Louisiana State NCAA,30,20,10,0.667,11.6,7.77,12,4,14,1,4,6,2257,2142,,1225,776,1690,0.459,205,571,0.359,500,685,0.73,349,1097,442,209,127,405,490
149,Louisville NCAA,38,33,5,0.868,22.57,6.18,14,2,15,2,10,1,3066,2436,,1525,1011,2165,0.467,361,906,0.398,683,945,0.723,489,1475,590,327,148,535,701
167,Michigan State NCAA,33,26,7,0.788,20.47,7.41,13,3,14,1,6,4,2590,2159,,1335,914,1875,0.487,219,615,0.356,543,699,0.777,397,1198,565,258,87,451,640
170,Milwaukee NCAA,32,26,6,0.813,10.41,1.44,14,2,13,1,11,3,2400,2059,,,831,1859,0.447,262,735,0.356,476,677,0.703,421,1149,450,267,114,435,610
171,Minnesota NCAA,32,21,11,0.656,12.06,6.96,10,6,14,3,5,4,2175,2012,,,771,1707,0.452,170,487,0.349,463,656,0.706,373,1091,453,292,145,516,512
172,Mississippi State NCAA,34,23,11,0.676,12.55,6.05,9,7,11,2,5,5,2466,2245,,1360,870,1958,0.444,199,590,0.337,527,792,0.665,492,1389,475,232,114,503,532
180,Montana NCAA,31,18,13,0.581,-3.63,-3.49,9,5,12,2,4,10,2152,2132,,,735,1606,0.458,182,514,0.354,500,739,0.677,322,1118,424,182,93,528,533
188,Nevada NCAA,32,25,7,0.781,9.25,3.02,16,2,13,4,11,2,2225,1974,,1285,791,1730,0.457,87,322,0.27,556,786,0.707,395,1270,480,225,167,465,504
191,New Mexico NCAA,33,26,7,0.788,11.09,1.51,10,4,18,1,5,5,2492,2121,,1320,855,1733,0.493,269,688,0.391,513,755,0.679,327,1127,491,252,115,454,558
193,Niagara NCAA,30,20,10,0.667,3.12,-3.08,13,5,13,0,5,9,2537,2351,,,833,1915,0.435,270,753,0.359,601,791,0.76,471,1222,473,206,98,387,568
199,North Carolina State NCAA,35,21,14,0.6,16.16,9.16,7,9,11,6,5,6,2559,2314,,1400,871,1915,0.455,294,795,0.37,523,742,0.705,375,1121,529,260,156,435,658
201,North Carolina NCAA,37,33,4,0.892,28.42,10.66,14,2,15,0,8,2,3257,2600,,1480,1128,2260,0.499,277,687,0.403,724,998,0.725,502,1499,706,362,142,594,662
206,Northern Iowa NCAA,32,21,11,0.656,10.14,5.31,11,7,13,2,6,7,2311,2127,,1290,847,1763,0.48,226,593,0.381,391,560,0.698,283,1071,491,192,138,373,556
210,Oakland NCAA,32,13,19,0.406,-2.66,0.86,7,9,6,5,3,13,2269,2352,,1285,811,1804,0.45,201,593,0.339,446,671,0.665,384,1044,474,228,77,390,561
212,Ohio NCAA,32,21,11,0.656,5.36,1.8,11,7,13,1,4,9,2288,2174,,1290,773,1675,0.461,182,555,0.328,560,802,0.698,348,1050,374,273,86,423,571
213,Oklahoma State NCAA,33,26,7,0.788,21.4,9.68,11,5,13,1,7,4,2583,2151,,1320,911,1833,0.497,240,564,0.426,521,668,0.78,372,1121,556,242,87,453,599
214,Oklahoma NCAA,33,25,8,0.758,19.96,8.84,12,4,14,1,6,3,2480,2088,,1325,908,1907,0.476,214,576,0.372,450,652,0.69,428,1172,511,291,135,449,607
215,Old Dominion NCAA,34,28,6,0.824,5.97,-2.59,15,3,14,1,11,4,2430,2079,,1365,869,1958,0.444,210,624,0.337,482,690,0.699,409,1239,552,329,151,416,597
219,Pacific NCAA,31,27,4,0.871,8.95,1.16,18,0,12,1,13,1,2258,2011,,1250,794,1598,0.497,201,526,0.382,469,631,0.743,310,1104,462,154,96,424,455
221,Pennsylvania NCAA,29,20,9,0.69,4.71,-1.98,13,1,12,1,8,7,1982,1788,,1170,684,1580,0.433,192,563,0.341,422,640,0.659,362,1084,420,233,93,455,570
223,Pittsburgh NCAA,29,20,9,0.69,14.53,5.73,10,6,13,4,6,3,2097,1842,,1170,738,1567,0.471,175,462,0.379,446,677,0.659,414,1103,439,189,120,419,496
243,Saint Mary's (CA) NCAA,34,25,9,0.735,6.68,2.4,11,3,15,1,9,4,2373,2178,,,793,1817,0.436,234,670,0.349,553,763,0.725,425,1244,380,204,113,534,616
260,Southeastern Louisiana NCAA,33,24,9,0.727,-0.86,-5.22,13,3,13,1,8,6,2085,1842,,,768,1660,0.463,117,376,0.311,432,668,0.647,351,1017,388,300,122,460,573
262,Southern Illinois NCAA,35,27,8,0.771,11.53,5.12,15,3,15,0,8,6,2365,2123,,1400,884,1957,0.452,202,554,0.365,395,528,0.748,395,1144,472,322,101,449,684
270,Stanford NCAA,31,18,13,0.581,9.1,8.13,11,7,10,2,5,5,2173,2134,,1245,774,1778,0.435,124,363,0.342,501,680,0.737,380,1112,373,207,86,428,559
274,Syracuse NCAA,34,27,7,0.794,15.95,6.83,11,5,16,2,6,3,2548,2197,,1370,946,1956,0.484,156,499,0.313,500,750,0.667,470,1291,525,276,157,465,539
284,Texas-El Paso NCAA,35,27,8,0.771,9.61,0.91,14,4,16,2,7,4,2616,2278,,,901,1955,0.461,208,571,0.364,606,765,0.792,386,1197,579,255,104,426,581
289,Texas Tech NCAA,33,22,11,0.667,16.24,9.11,10,6,13,2,5,5,2535,2287,,1330,932,1957,0.476,145,366,0.396,526,696,0.756,368,1156,553,259,123,424,554
290,Texas NCAA,31,20,11,0.645,15.49,7.56,9,7,14,2,4,6,2384,2124,,1250,816,1789,0.456,243,627,0.388,509,730,0.697,418,1228,406,187,134,433,548
296,UCLA NCAA,29,18,11,0.621,9.16,7.09,11,7,12,3,6,5,2138,2078,,1175,748,1654,0.452,186,538,0.346,456,634,0.719,343,1068,417,169,74,464,532
297,Utah State NCAA,32,24,8,0.75,12.75,-1.47,13,5,14,1,6,5,2315,1848,,,851,1621,0.525,185,473,0.391,428,619,0.691,307,1095,549,179,92,396,441
298,Utah NCAA,35,29,6,0.829,14.01,4.54,13,1,16,0,7,3,2379,2005,,1400,837,1628,0.514,155,473,0.328,550,769,0.715,374,1194,516,211,94,503,506
301,Vermont NCAA,32,25,7,0.781,7.8,-1.95,16,2,13,0,10,6,2299,1987,,1285,805,1852,0.435,269,751,0.358,420,582,0.722,397,1208,493,216,55,380,506
302,Villanova NCAA,32,24,8,0.75,19.06,8.43,11,5,14,2,5,3,2336,1996,,,801,1840,0.435,225,626,0.359,509,692,0.736,463,1193,385,267,178,409,596
308,Wake Forest NCAA,33,27,6,0.818,20.24,10.27,13,3,16,0,8,4,2801,2441,,1340,965,1966,0.491,251,629,0.399,620,906,0.684,465,1315,531,284,118,484,640
310,Washington NCAA,35,29,6,0.829,19.77,7.66,14,4,15,0,6,5,3026,2596,,1410,1102,2271,0.485,257,670,0.384,565,771,0.733,523,1305,660,288,87,499,718
312,West Virginia NCAA,35,24,11,0.686,11.76,7.62,8,8,11,3,6,5,2501,2356,,1420,868,1930,0.45,319,885,0.36,446,601,0.742,340,1065,578,280,130,412,530
319,Winthrop NCAA,33,27,6,0.818,0.48,-6.65,15,1,16,0,9,4,2245,1961,,1330,767,1724,0.445,220,604,0.364,491,725,0.677,371,1154,477,269,125,464,616
320,Wisconsin NCAA,34,25,9,0.735,16.76,9.61,11,5,15,1,5,6,2290,2047,,1360,788,1789,0.44,250,640,0.391,464,685,0.677,342,1176,444,179,62,389,513
