,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
5,Alabama-Birmingham NCAA,36,20,16,0.556,1.94,1.62,12,6,13,4,3,8,2476,2452,,1480,873,2042,0.428,202,607,0.333,528,715,0.738,434,1322,516,237,184,482,630
8,Albany (NY) NCAA,33,24,9,0.727,-0.34,-5.18,15,1,12,3,12,5,2156,1996,,1325,729,1666,0.438,205,572,0.358,493,650,0.758,334,1111,349,187,53,381,544
13,Arizona NCAA,38,34,4,0.895,24.33,7.41,16,2,17,0,8,3,2911,2268,,1525,1009,2068,0.488,193,536,0.36,700,974,0.719,411,1399,528,275,131,419,681
17,Arkansas NCAA,36,27,9,0.75,14.07,6.79,13,5,17,2,7,5,2787,2525,,1450,978,2196,0.445,238,681,0.349,593,819,0.724,470,1290,579,277,168,430,684
22,Baylor NCAA,34,24,10,0.706,17.85,9.33,11,7,16,2,6,5,2349,2048,,1370,813,1874,0.434,236,626,0.377,487,723,0.674,497,1333,497,263,132,434,565
23,Belmont NCAA,33,22,11,0.667,0.35,-2.77,11,5,12,2,7,8,2450,2330,,1320,858,1803,0.476,329,866,0.38,405,585,0.692,307,1093,504,209,66,451,549
26,Boise State NCAA,34,25,9,0.735,10.01,1.38,14,4,13,1,8,5,2390,2045,,1385,831,1823,0.456,297,758,0.392,431,591,0.729,298,1119,409,206,79,348,582
31,Brigham Young NCAA,35,25,10,0.714,13.53,5.02,13,5,13,3,8,3,2931,2561,,1420,976,2090,0.467,300,763,0.393,679,886,0.766,421,1349,594,257,103,417,721
35,Buffalo NCAA,33,23,10,0.697,7.93,1.6,12,6,11,2,9,7,2462,2253,,1320,837,1922,0.435,199,583,0.341,589,819,0.719,420,1260,433,248,132,378,613
36,Butler NCAA,34,23,11,0.676,16.64,8.62,12,6,13,3,7,4,2346,2073,,1380,814,1882,0.433,192,540,0.356,526,767,0.686,408,1239,387,217,103,376,592
42,UC-Irvine NCAA,34,21,13,0.618,3.63,0.45,11,5,10,3,6,9,2295,2113,,1370,854,1851,0.461,217,558,0.389,370,541,0.684,329,1198,480,194,168,396,578
56,Cincinnati NCAA,34,23,11,0.676,10.72,4.4,13,5,15,3,6,5,2113,1898,,1380,761,1705,0.446,167,507,0.329,424,633,0.67,383,1178,394,222,185,432,507
60,Coastal Carolina NCAA,34,24,10,0.706,-1.02,-6.18,12,6,14,2,8,7,2438,2121,,1360,836,1899,0.44,228,633,0.36,538,780,0.69,447,1338,385,240,111,399,559
71,Davidson NCAA,32,24,8,0.75,11.97,3.19,14,4,14,1,9,4,2529,2221,,1285,898,1924,0.467,343,877,0.391,390,553,0.705,335,1144,547,171,93,303,601
72,Dayton NCAA,36,27,9,0.75,10.98,4.06,13,5,16,0,5,6,2439,2190,,1445,810,1755,0.462,239,670,0.357,580,846,0.686,255,1121,490,250,91,415,573
80,Duke NCAA,39,35,4,0.897,24.97,9.87,15,3,15,1,9,2,3091,2502,,1570,1099,2191,0.502,283,732,0.387,610,873,0.699,445,1436,588,278,149,421,607
87,Eastern Washington NCAA,35,26,9,0.743,0.79,-3.84,14,4,13,2,11,6,2820,2588,,1410,977,2045,0.478,344,860,0.4,522,719,0.726,351,1183,454,219,167,376,624
104,Georgetown NCAA,33,22,11,0.667,15.48,9.81,12,6,13,3,5,4,2340,2153,,1340,799,1753,0.456,201,569,0.353,541,769,0.704,367,1152,427,251,156,415,668
106,Georgia State NCAA,35,25,10,0.714,5.47,-2.03,15,5,12,1,8,8,2499,2184,,1415,902,1878,0.48,174,522,0.333,521,719,0.725,322,1116,479,321,143,366,642
108,Georgia NCAA,33,21,12,0.636,12.42,8.6,11,7,12,4,8,4,2250,2124,,1351,747,1730,0.432,184,538,0.342,572,826,0.692,360,1260,411,183,151,420,608
109,Gonzaga NCAA,38,35,3,0.921,21.12,5.12,17,1,15,1,10,1,2989,2343,,1525,1084,2083,0.52,264,660,0.4,557,806,0.691,391,1441,620,226,126,397,637
