,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
2,Akron NCAA,36,23,13,0.639,2.15,-1.02,9,7,14,2,5,9,2524,2365,,1465,892,2073,0.43,283,785,0.361,457,649,0.704,363,1238,520,240,129,432,692
4,Alabama-Birmingham NCAA,31,22,9,0.71,8.55,2.78,12,4,13,2,8,5,2119,1940,,1270,756,1725,0.438,239,698,0.342,368,513,0.717,352,1109,420,164,97,387,514
5,Alabama State NCAA,35,17,18,0.486,-13.37,-10.31,11,7,10,3,4,14,2146,2234,,1410,728,1841,0.395,165,583,0.283,525,870,0.603,460,1271,404,255,163,551,777
12,Arizona NCAA,38,30,8,0.789,16.54,7.99,14,4,17,0,7,4,2905,2580,,1540,969,2064,0.469,296,745,0.397,671,899,0.746,408,1319,536,197,98,484,707
13,Little Rock NCAA,36,19,17,0.528,-4.32,-2.97,7,9,10,5,3,10,2457,2426,,1455,825,1938,0.426,242,615,0.393,565,819,0.69,377,1204,433,212,89,428,740
22,Belmont NCAA,35,30,5,0.857,13.07,-4.42,19,1,12,0,12,4,2790,2178,,1410,944,2045,0.462,327,864,0.378,575,781,0.736,451,1258,575,338,118,480,729
27,Boston University NCAA,35,21,14,0.6,-2.48,-3.85,12,4,12,2,4,10,2270,2222,,1405,749,1865,0.402,265,747,0.355,507,695,0.729,414,1249,345,189,129,418,635
30,Brigham Young NCAA,37,32,5,0.865,18.65,5.76,14,2,13,1,10,1,3012,2512,,1495,1019,2267,0.449,312,865,0.361,662,865,0.765,420,1425,538,298,150,404,647
33,Bucknell NCAA,34,25,9,0.735,2.39,-3.87,13,1,14,1,10,6,2387,2174,,1365,827,1855,0.446,234,585,0.4,499,633,0.788,270,1149,491,160,106,380,612
35,Butler NCAA,38,28,10,0.737,11.53,5.02,13,5,12,2,7,6,2707,2437,,1540,919,2122,0.433,289,822,0.352,580,799,0.726,431,1337,452,226,61,416,718
43,UC-Santa Barbara NCAA,32,18,14,0.563,1.22,0.12,8,8,9,4,5,8,2170,2105,,1295,742,1636,0.454,227,611,0.372,459,610,0.752,277,1038,457,233,133,456,611
56,Cincinnati NCAA,35,26,9,0.743,15.41,6.1,11,7,15,3,7,4,2412,2086,,1405,848,1939,0.437,220,651,0.338,496,742,0.668,454,1237,497,258,129,401,605
58,Clemson NCAA,34,22,12,0.647,13.76,6.58,9,7,15,2,3,7,2330,2086,,1370,810,1827,0.443,217,630,0.344,493,703,0.701,384,1177,445,272,161,449,624
66,Connecticut NCAA,41,32,9,0.78,17.95,10.44,9,9,13,4,5,5,2967,2659,,1670,1053,2429,0.434,234,711,0.329,627,822,0.763,570,1626,534,259,228,466,646
80,Duke NCAA,37,32,5,0.865,24.51,8.32,13,3,17,0,6,4,2993,2394,,1480,1040,2206,0.471,291,778,0.374,622,826,0.753,446,1399,529,269,162,447,657
96,Florida State NCAA,34,23,11,0.676,13.48,6.45,11,5,12,3,8,5,2348,2109,,1365,827,1903,0.435,212,634,0.334,482,725,0.665,422,1332,423,288,203,541,651
97,Florida NCAA,37,29,8,0.784,16.27,7.57,13,3,14,3,8,2,2667,2345,,1515,968,2083,0.465,233,661,0.352,498,744,0.669,467,1384,521,221,131,452,545
102,George Mason NCAA,34,27,7,0.794,11.66,1.37,16,2,14,0,10,3,2474,2124,,1375,876,1861,0.471,227,574,0.395,495,718,0.689,364,1188,483,224,110,376,581
104,Georgetown NCAA,32,21,11,0.656,14.61,10.39,10,8,10,4,7,5,2258,2123,,1285,809,1703,0.475,223,631,0.353,417,568,0.734,324,1081,481,193,139,433,603
108,Georgia NCAA,33,21,12,0.636,10.43,6.13,9,7,12,4,7,4,2267,2125,,1350,823,1822,0.452,156,456,0.342,465,667,0.697,407,1243,495,211,162,444,541
109,Gonzaga NCAA,35,25,10,0.714,13.86,4.01,11,3,14,2,6,4,2684,2307,,1410,932,1947,0.479,203,548,0.37,617,810,0.762,398,1314,542,254,132,474,649
112,Hampton NCAA,33,24,9,0.727,-5.2,-8.77,11,5,8,3,8,5,2197,2070,,1340,746,1843,0.405,213,658,0.324,492,759,0.648,367,1170,387,241,185,412,604
126,Illinois NCAA,34,20,14,0.588,16.72,11.11,9,9,14,2,3,7,2413,2222,,1365,894,1910,0.468,232,600,0.387,393,539,0.729,342,1178,568,188,152,434,597
127,Indiana State NCAA,34,20,14,0.588,3.41,2.9,12,6,10,3,6,8,2253,2192,,1380,769,1793,0.429,235,649,0.362,480,676,0.71,352,1172,431,212,145,477,684
