,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
14,Arkansas-Pine Bluff NCAA,34,18,16,0.529,-8.29,-7.68,14,4,8,1,5,14,2166,2187,,1380,725,1778,0.408,141,466,0.303,575,861,0.668,422,1286,421,229,121,569,764
21,Baylor NCAA,36,28,8,0.778,17.97,8.03,11,5,15,1,6,4,2771,2362,,1450,993,2040,0.487,255,662,0.385,530,731,0.725,443,1408,508,237,242,491,639
30,Brigham Young NCAA,36,30,6,0.833,18.82,3,13,3,15,1,10,4,2992,2392,,1450,1025,2120,0.483,292,700,0.417,650,823,0.79,367,1332,567,307,126,417,621
34,Butler NCAA,38,33,5,0.868,14.37,5.08,18,0,15,0,12,1,2611,2258,,1525,845,1911,0.442,260,761,0.342,661,896,0.738,353,1241,464,267,86,456,685
41,UC-Santa Barbara NCAA,30,20,10,0.667,-0.13,-1.09,12,4,11,2,6,7,2028,1972,,1205,674,1522,0.443,205,544,0.377,475,698,0.681,268,984,414,202,92,460,572
42,University of California NCAA,35,24,11,0.686,17.29,8.26,13,5,15,1,6,6,2703,2387,,1405,966,2028,0.476,228,609,0.374,543,717,0.757,395,1241,500,198,86,421,593
55,Clemson NCAA,32,21,11,0.656,15.71,7.9,9,7,14,2,5,6,2350,2065,,1280,851,1878,0.453,216,631,0.342,432,654,0.661,420,1178,453,301,151,480,564
65,Cornell NCAA,34,29,5,0.853,8.76,-0.91,13,1,11,1,13,3,2596,2192,,1370,913,1894,0.482,326,759,0.43,393,538,0.73,349,1149,543,243,122,414,598
77,Duke NCAA,40,35,5,0.875,25.21,9.21,13,3,17,0,5,5,3079,2441,,1600,1049,2375,0.442,301,782,0.385,682,899,0.759,569,1560,555,266,162,429,722
80,East Tennessee State NCAA,35,20,15,0.571,-0.83,-1.47,13,7,9,5,9,9,2424,2362,,1405,855,1978,0.432,177,575,0.308,537,815,0.659,445,1277,382,293,112,519,673
92,Florida State NCAA,32,22,10,0.688,14.64,6.79,10,6,13,3,6,5,2183,1932,,1285,783,1734,0.452,186,557,0.334,431,669,0.644,406,1211,446,267,200,528,575
93,Florida NCAA,34,21,13,0.618,11.89,7.16,9,7,13,4,5,5,2455,2258,,1375,890,2006,0.444,203,648,0.313,472,671,0.703,455,1265,479,243,94,423,501
100,Georgetown NCAA,34,23,11,0.676,17.03,9.56,10,8,12,4,6,5,2500,2246,,1360,905,1815,0.499,212,548,0.387,478,672,0.711,333,1132,524,237,161,473,579
103,Georgia Tech NCAA,36,23,13,0.639,14.11,9.02,7,9,14,2,3,8,2621,2365,,1445,948,2064,0.459,213,587,0.363,512,779,0.657,464,1430,508,288,190,574,670
105,Gonzaga NCAA,34,27,7,0.794,12.11,3.83,12,2,14,1,6,3,2614,2291,,1375,912,1856,0.491,182,516,0.353,608,916,0.664,358,1286,456,227,142,444,614
115,Houston NCAA,35,19,16,0.543,6.74,3.48,7,9,10,5,4,9,2751,2624,,1410,958,2282,0.42,290,814,0.356,545,768,0.71,440,1185,435,329,103,315,652
133,Kansas State NCAA,37,29,8,0.784,19.88,10.28,11,5,13,3,7,2,2949,2584,,1500,981,2182,0.45,253,703,0.36,734,1098,0.668,559,1437,541,274,187,529,828
134,Kansas NCAA,36,33,3,0.917,24.68,8.25,15,1,18,0,9,2,2937,2312,,1450,1033,2111,0.489,262,648,0.404,609,871,0.699,468,1457,609,301,232,470,658
137,Kentucky NCAA,38,35,3,0.921,21.13,6.82,14,2,18,0,7,2,3012,2468,,1535,1066,2228,0.478,231,697,0.331,649,971,0.668,538,1584,573,279,273,538,641
141,Lehigh NCAA,33,22,11,0.667,-3.33,-7.79,10,4,15,2,7,8,2478,2331,,1330,842,1853,0.454,220,551,0.399,574,799,0.718,339,1201,495,203,85,429,589
151,Louisville NCAA,33,20,13,0.606,14.08,7.99,11,7,15,4,4,7,2505,2304,,1335,876,1960,0.447,262,777,0.337,491,700,0.701,478,1217,511,258,135,453,663
158,Marquette NCAA,34,22,12,0.647,15.17,8.23,11,7,13,4,6,5,2485,2198,,1380,861,1890,0.456,274,664,0.413,489,660,0.741,343,1071,516,269,72,353,580
162,Maryland NCAA,33,24,9,0.727,17.75,7.95,13,3,15,1,7,3,2629,2254,,1335,966,2052,0.471,195,510,0.382,502,689,0.729,421,1270,545,256,154,383,554
169,Michigan State NCAA,37,28,9,0.757,15.33,8.17,14,4,15,2,8,4,2658,2361,,1485,974,2068,0.471,187,543,0.344,523,764,0.685,487,1426,606,242,123,514,666
173,Minnesota NCAA,35,21,14,0.6,15.64,7.32,9,9,14,3,4,7,2533,2242,,1415,912,1949,0.468,246,617,0.399,463,661,0.7,375,1237,583,273,199,427,579
179,Missouri NCAA,34,23,11,0.676,17.39,6.36,10,6,16,2,4,6,2627,2252,,1370,926,2104,0.44,258,701,0.368,517,714,0.724,441,1200,522,371,160,432,656
182,Montana NCAA,32,22,10,0.688,3.93,-2.35,10,6,14,2,7,7,2228,1960,,1280,791,1636,0.483,210,526,0.399,436,603,0.723,283,1048,396,206,106,390,571
184,Morgan State NCAA,37,27,10,0.73,-1.18,-6.15,15,1,11,1,12,7,2813,2606,,1500,960,2239,0.429,205,617,0.332,688,983,0.7,568,1488,461,243,152,499,782
186,Murray State NCAA,36,31,5,0.861,8.69,-3.89,17,1,15,0,11,4,2753,2175,,1440,978,1961,0.499,226,599,0.377,571,821,0.695,439,1319,556,347,196,527,618
189,Nevada-Las Vegas NCAA,34,25,9,0.735,12.57,4.82,11,5,15,4,9,3,2485,2168,,1370,899,1950,0.461,231,695,0.332,456,637,0.716,337,1149,551,266,117,395,691
192,New Mexico State NCAA,34,22,12,0.647,2.06,1.66,11,5,12,3,7,8,2662,2639,,1360,919,1997,0.46,287,774,0.371,537,767,0.7,358,1212,484,203,111,437,595
193,New Mexico NCAA,35,30,5,0.857,12.49,3.84,14,2,17,1,10,2,2655,2352,,1410,887,2023,0.438,273,739,0.369,608,909,0.669,458,1347,497,232,120,387,615
207,North Texas NCAA,33,24,9,0.727,-2.49,-4.72,13,5,12,2,9,6,2437,2303,,1340,798,1748,0.457,179,538,0.333,662,921,0.719,364,1220,394,144,94,485,590
